
[00:00:00.000 --> 00:00:02.000]  我們一同低頭一個禱告
[00:00:02.000 --> 00:00:07.000]  天父當我們一同齊集在您面前
[00:00:07.000 --> 00:00:12.000]  不單止向您獻上感恩、讚美、歌頌
[00:00:12.000 --> 00:00:16.000]  讓我們深信我們每個人在您面前
[00:00:16.000 --> 00:00:19.000]  都能夠成為您所喜悅
[00:00:19.000 --> 00:00:22.000]  求主潔淨我們的心思意念
[00:00:22.000 --> 00:00:24.000]  讓我們口裡的言語
[00:00:24.000 --> 00:00:27.000]  心裡的意念都能夠蒙月立
[00:00:27.000 --> 00:00:31.000]  順著我們的禱告奉耶穌明智祈求
[00:00:31.000 --> 00:00:32.000]  阿門
[00:00:32.000 --> 00:00:37.000]  在今年和大家一起看這個恩典的時候
[00:00:37.000 --> 00:00:41.000]  我相信信耶穌的人
[00:00:41.000 --> 00:00:44.000]  應該明白什麼叫恩典
[00:00:44.000 --> 00:00:48.000]  特別是領受救恩的人
[00:00:48.000 --> 00:00:50.000]  知道恩典是什麼
[00:00:50.000 --> 00:00:56.000]  但是恩典除了我們覺得是救贖之外
[00:00:57.000 --> 00:01:02.000]  在我們領受了信耶穌得永生的訊息
[00:01:02.000 --> 00:01:06.000]  在我們確信我們已經有永生
[00:01:06.000 --> 00:01:08.000]  但是還沒有得到永生之前
[00:01:08.000 --> 00:01:11.000]  仍然留在世上活著的人來說
[00:01:11.000 --> 00:01:15.000]  生活上有沒有憂慮呢?
[00:01:15.000 --> 00:01:18.000]  有沒有困難呢?
[00:01:18.000 --> 00:01:20.000]  有沒有考驗呢?
[00:01:20.000 --> 00:01:23.000]  有沒有隱憂呢?
[00:01:23.000 --> 00:01:25.000]  有沒有試探呢?
[00:01:25.000 --> 00:01:27.000]  有沒有跌倒呢?
[00:01:27.000 --> 00:01:28.000]  有沒有失敗呢?
[00:01:28.000 --> 00:01:31.000]  剛才的金句裡面
[00:01:31.000 --> 00:01:33.000]  有歡呼的時間
[00:01:33.000 --> 00:01:35.000]  也有哭泣的時間
[00:01:35.000 --> 00:01:39.000]  當然每個人的際遇都不同
[00:01:39.000 --> 00:01:43.000]  有人認為他一生裡面是歡呼時間比較多
[00:01:43.000 --> 00:01:47.000]  有人認為他一生裡面都是哭泣比較多
[00:01:47.000 --> 00:01:50.000]  但是聖經的應許
[00:01:50.000 --> 00:01:52.000]  我們真正的信仰
[00:01:52.000 --> 00:01:56.000]  就是有哭泣而有歡呼
[00:01:56.000 --> 00:02:03.000]  神有怒氣是主眼之間
[00:02:03.000 --> 00:02:06.000]  神有恩典是一生之救
[00:02:06.000 --> 00:02:10.000]  若然我們在信仰上面
[00:02:10.000 --> 00:02:14.000]  單單只是看了神有恩典
[00:02:14.000 --> 00:02:18.000]  忘記了神有怒氣
[00:02:18.000 --> 00:02:22.000]  恐怕我們的所謂信仰
[00:02:22.000 --> 00:02:27.000]  會跟一般拜偶像的人沒什麼分別
[00:02:27.000 --> 00:02:31.000]  因為他們都知道
[00:02:31.000 --> 00:02:35.000]  行善作惡
[00:02:35.000 --> 00:02:37.000]  然後根據他們的行為
[00:02:37.000 --> 00:02:41.000]  來定奪上善不惡的神
