
[00:00:00.000 --> 00:00:02.000]  提醒姐妹,早晨
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:06.000]  今朝早
[00:00:06.000 --> 00:00:08.000]  我們崇拜的詩歌
[00:00:08.000 --> 00:00:10.000]  美不美麗
[00:00:10.000 --> 00:00:12.000]  很美麗
[00:00:12.000 --> 00:00:14.000]  我們再一次多謝詩班
[00:00:14.000 --> 00:00:16.000]  獻唱
[00:00:16.000 --> 00:00:18.000]  不單止詩班獻唱得好
[00:00:18.000 --> 00:00:20.000]  今朝早的
[00:00:20.000 --> 00:00:22.000]  詩歌
[00:00:22.000 --> 00:00:24.000]  一首《你真偉大》
[00:00:24.000 --> 00:00:26.000]  第二首是
[00:00:26.000 --> 00:00:28.000]  《難以解釋》
[00:00:28.000 --> 00:00:30.000]  這兩首歌感不感動
[00:00:30.000 --> 00:00:32.000]  很感動
[00:00:32.000 --> 00:00:34.000]  非常好
[00:00:34.000 --> 00:00:36.000]  感恩上帝給我們
[00:00:36.000 --> 00:00:38.000]  這麼好的詩歌
[00:00:38.000 --> 00:00:40.000]  令我們敬拜的心
[00:00:40.000 --> 00:00:42.000]  可以很傳言
[00:00:42.000 --> 00:00:44.000]  將我們的
[00:00:44.000 --> 00:00:46.000]  感恩獻情給天父
[00:00:46.000 --> 00:00:48.000]  牧師
[00:00:48.000 --> 00:00:50.000]  今朝和大家
[00:00:50.000 --> 00:00:52.000]  思想和讀的經文
[00:00:52.000 --> 00:00:54.000]  是比較冷門一點
[00:00:54.000 --> 00:00:56.000]  記著
[00:00:56.000 --> 00:00:58.000]  我們在月紅福音
[00:00:58.000 --> 00:01:00.000]  我們試一下
[00:01:00.000 --> 00:01:02.000]  一起讀這三節的經文
[00:01:02.000 --> 00:01:04.000]  預備起
[00:01:04.000 --> 00:01:06.000]  我留下平安給你們
[00:01:06.000 --> 00:01:08.000]  我把我的平安賜給你們
[00:01:08.000 --> 00:01:10.000]  我所賜的
[00:01:10.000 --> 00:01:12.000]  的不像世人所賜的
[00:01:12.000 --> 00:01:14.000]  你們心裡
[00:01:14.000 --> 00:01:16.000]  不要憂愁
[00:01:16.000 --> 00:01:18.000]  也不要膽怯
[00:01:18.000 --> 00:01:20.000]  那日就是
[00:01:20.000 --> 00:01:22.000]  七日的第一日
[00:01:22.000 --> 00:01:24.000]  晚上
[00:01:24.000 --> 00:01:26.000]  猶太人所在的地方
[00:01:26.000 --> 00:01:28.000]  門都關了
[00:01:28.000 --> 00:01:30.000]  耶穌內
[00:01:30.000 --> 00:01:32.000]  站在當中
[00:01:32.000 --> 00:01:34.000]  對他們說
[00:01:34.000 --> 00:01:36.000]  願你們平安
[00:01:36.000 --> 00:01:38.000]  說了者話
[00:01:38.000 --> 00:01:40.000]  他把手和肋骨
[00:01:40.000 --> 00:01:42.000]  給他們學
