
[00:00:00.000 --> 00:00:03.940]  我們《啟示錄》講了兩年
[00:00:03.940 --> 00:00:06.980]  我不曉得今天算不算是完全篇
[00:00:06.980 --> 00:00:09.400]  因為已經到了二十二章了
[00:00:09.400 --> 00:00:13.120]  但是二十二章我沒有辦法後面全部講
[00:00:13.120 --> 00:00:14.900]  我今天因為時間關係
[00:00:14.900 --> 00:00:18.840]  我就特別把後面二十二章的最後面的這一段
[00:00:18.840 --> 00:00:20.680]  裡面一個很重要的主題
[00:00:20.680 --> 00:00:22.160]  也是整個《啟示錄》
[00:00:22.160 --> 00:00:25.560]  甚至整個新約聖經裡面一個非常重要的主題
[00:00:25.560 --> 00:00:29.280]  就是主耶穌要再來
[00:00:29.280 --> 00:00:32.080]  所以《啟示錄》裡面
[00:00:32.080 --> 00:00:34.720]  你看講了很多這些災難的事情
[00:00:34.720 --> 00:00:36.120]  等一下我們會談
[00:00:36.120 --> 00:00:39.480]  但是最重要要講到一件事情就是什麼
[00:00:39.480 --> 00:00:44.260]  就是主耶穌要來了
[00:00:44.260 --> 00:00:47.480]  今天我們當中可能有一些你新來的朋友
[00:00:47.480 --> 00:00:49.560]  你可是主耶穌來跟我有什麼關係
[00:00:49.560 --> 00:00:52.400]  主耶穌來也許對你來講你沒有什麼感覺
[00:00:52.400 --> 00:00:53.280]  但是我請問你
[00:00:53.280 --> 00:00:57.360]  如果末日要來了跟你有沒有關係 有沒有?
[00:00:57.360 --> 00:00:59.280]  是吧
[00:00:59.280 --> 00:01:03.560]  那我們是不是都感覺到末日迫近了?
[00:01:03.560 --> 00:01:06.000]  以前也許不覺得 對不對?
[00:01:06.000 --> 00:01:09.960]  但是這些年來你會發現越來越清楚地讓我們看見
[00:01:09.960 --> 00:01:11.720]  好像末日要來臨了
[00:01:11.720 --> 00:01:14.120]  但是對我們基督徒來講
[00:01:14.120 --> 00:01:17.960]  末日的來臨好像這是一個比較消極
[00:01:17.960 --> 00:01:21.240]  好像這是一個比較沉重的一件事情
[00:01:21.240 --> 00:01:23.760]  但是末日的來臨卻是什麼?
[00:01:23.760 --> 00:01:27.240]  主耶穌要來了 Amen!
[00:01:27.240 --> 00:01:34.200]  那聖經裡面很多次講到主耶穌要來
[00:01:34.200 --> 00:01:41.640]  那麼在這裡 在啟示錄有六次說到主必快來
[00:01:41.640 --> 00:01:51.640]  在啟示錄第二章 第三章 十一章 二十二章就講了三次
[00:01:51.640 --> 00:01:57.640]  在這個聖經裡面講到說主必快來
[00:01:57.640 --> 00:02:02.520]  就是說聖經什麼時候開始講主必快來?
[00:02:02.520 --> 00:02:05.160]  什麼時候開始講?
[00:02:05.160 --> 00:02:08.440]  請問耶穌是什麼時候的人?
[00:02:08.440 --> 00:02:12.000]  耶穌在世上的時候是什麼時候?
[00:02:12.000 --> 00:02:14.360]  兩千年前 對不對?
[00:02:14.360 --> 00:02:20.360]  所以那麼在主後使徒們把耶穌的這些的生平也好
[00:02:20.360 --> 00:02:25.160]  保羅把這些的義工寫完成了這個新約
[00:02:25.160 --> 00:02:30.520]  到現在也已經是兩千年了 是不是?
[00:02:30.520 --> 00:02:32.760]  也將近兩千年了
[00:02:32.760 --> 00:02:34.360]  那現在為什麼換句話說
[00:02:34.360 --> 00:02:39.600]  聖經裡面講到說主耶穌快來 這個快啊 多快啊?
[00:02:39.600 --> 00:02:43.480]  兩千年過去了
[00:02:43.480 --> 00:02:46.000]  所以可能有些人就會覺得說
[00:02:46.000 --> 00:02:50.760]  到底這個快是多快啊?
[00:02:50.760 --> 00:02:56.360]  兩千年都過去了 到底多快啊?
[00:02:56.360 --> 00:02:59.240]  這個快跟你我的概念不太一樣
[00:02:59.240 --> 00:03:01.600]  而且你我的時間表也不太一樣
[00:03:01.600 --> 00:03:04.640]  你我的時間表跟上帝的時間表也不一樣
[00:03:04.640 --> 00:03:08.480]  主看千年如一日 是不是?
[00:03:08.480 --> 00:03:10.040]  一日如千年
[00:03:10.040 --> 00:03:12.640]  那對我們來講一千年
[00:03:12.640 --> 00:03:16.200]  我能夠活一百歲就不錯了 是不是?
[00:03:16.200 --> 00:03:20.960]  跟你旁邊說活一百歲就不錯了
[00:03:20.960 --> 00:03:22.920]  還一千年了
[00:03:22.920 --> 00:03:25.280]  所以你知道我們都很短視
[00:03:25.280 --> 00:03:26.880]  因為我們活的時間
[00:03:26.880 --> 00:03:30.240]  我們的時間短 所以我們常常很短視
[00:03:30.240 --> 00:03:32.200]  可是我們今天要從聖經裡面
[00:03:32.200 --> 00:03:35.680]  從神的角度來看這件事情
[00:03:35.680 --> 00:03:37.280]  主耶穌說祂快來
[00:03:37.280 --> 00:03:40.200]  其實這個快在原文裡面
[00:03:40.200 --> 00:03:43.080]  祂這個字表明的是一個
[00:03:43.080 --> 00:03:45.640]  這是一個怎麼講呢?
[00:03:45.640 --> 00:03:48.360]  這是一個短期的
[00:03:48.360 --> 00:03:52.360]  這是一個不會遲延的 不會delay的
[00:03:52.360 --> 00:03:56.720]  快速的 這個意思
[00:03:56.720 --> 00:04:01.040]  那聖經沒有講說這個快有多快 是不是?
[00:04:01.040 --> 00:04:03.880]  所以兩千年過去了
[00:04:03.880 --> 00:04:06.080]  但是主耶穌可不可能
[00:04:06.080 --> 00:04:07.720]  在我們今天講到的時候
[00:04:07.720 --> 00:04:10.240]  在主日聚會的時候 祂就降臨了
[00:04:10.240 --> 00:04:12.640]  可不可能?
[00:04:12.640 --> 00:04:15.240]  可能啊
[00:04:15.240 --> 00:04:20.440]  可能嗎?
[00:04:20.440 --> 00:04:21.960]  坦白說
[00:04:21.960 --> 00:04:26.520]  這個問題如果根據聖經上面的話
[00:04:26.520 --> 00:04:28.400]  等一下我會帶大家來看
[00:04:28.400 --> 00:04:30.960]  主耶穌再來的預兆
[00:04:30.960 --> 00:04:33.280]  那我們就可以知道了
[00:04:33.280 --> 00:04:37.120]  主耶穌再來有什麼預兆?
[00:04:37.120 --> 00:04:39.280]  耶穌在馬太福音24章
[00:04:39.280 --> 00:04:41.120]  講到主耶穌再來之前
[00:04:41.120 --> 00:04:45.400]  會有一些的徵兆或者說預兆 對不對?
[00:04:45.400 --> 00:04:48.640]  那我們來看看
[00:04:48.640 --> 00:04:51.160]  第一個預兆是什麼?
[00:04:51.160 --> 00:04:51.960]  第一個就是
[00:04:51.960 --> 00:04:54.640]  好 我們一起來看這段聖經
[00:04:54.640 --> 00:04:56.080]  我們一起來看這段聖經
[00:04:56.080 --> 00:04:57.200]  來 我們一起來讀好不好?
[00:04:57.200 --> 00:04:58.440]  來 預備請
[00:04:58.440 --> 00:05:02.160]  他說 因為將來有好些人冒我的名來
[00:05:02.160 --> 00:05:06.760]  說我是基督 並且要迷惑許多人
[00:05:06.760 --> 00:05:09.960]  那時人要把你們陷在患難裡
[00:05:09.960 --> 00:05:11.680]  也要殺害你們
[00:05:11.680 --> 00:05:15.200]  你們又要為我的名被萬民恨惡
[00:05:15.200 --> 00:05:17.720]  那時必有許多人跌倒
[00:05:17.720 --> 00:05:21.320]  也要彼此陷害 彼此恨惡
[00:05:21.320 --> 00:05:25.600]  且有好些假先知起來 迷惑多人
[00:05:25.600 --> 00:05:26.640]  這一段聖經裡面
[00:05:26.640 --> 00:05:29.600]  馬太福音24章第9節到11節
[00:05:29.600 --> 00:05:32.400]  首先講到第一個
[00:05:32.400 --> 00:05:35.200]  主耶穌再來之前會有的徵兆
[00:05:35.200 --> 00:05:37.920]  從宗教方面來講是什麼呢?
[00:05:37.920 --> 00:05:44.040]  就是會有假基督 假先知會顯現出來
[00:05:44.040 --> 00:05:49.840]  這個呢
[00:05:49.840 --> 00:05:53.200]  這一對
[00:05:53.200 --> 00:05:56.320]  我不知道要不要算他是夫婦 為什麼呢?
[00:05:56.320 --> 00:06:00.240]  因為這個是東方閃電
[00:06:00.240 --> 00:06:04.720]  現在他們改名叫全能神的教主
[00:06:04.720 --> 00:06:09.280]  叫做趙黎山
[00:06:09.280 --> 00:06:13.560]  這個女的叫什麼 楊向冰
[00:06:13.560 --> 00:06:15.840]  這個當然就是
[00:06:15.840 --> 00:06:19.840]  他們在中國的時候呢
[00:06:19.840 --> 00:06:25.120]  這個叫做趙黎山
[00:06:25.120 --> 00:06:28.680]  他就自己開始了一個教會
[00:06:28.680 --> 00:06:31.000]  這個教會發展得很快
