
[00:00:00.000 --> 00:00:02.240]  主持人:各位弟兄姊妹,你們好!
[00:00:02.240 --> 00:00:05.440]  我們今天來崇拜的時候很特別,
[00:00:05.440 --> 00:00:08.680]  很可能我們不同的弟兄姊妹在不同的地方,
[00:00:08.680 --> 00:00:10.280]  包括在海外裡面,
[00:00:10.280 --> 00:00:12.280]  我們一起來去敬拜,
[00:00:12.280 --> 00:00:14.120]  但是也求神幫助我們,
[00:00:14.120 --> 00:00:16.320]  因為我們的主是無所不在的,
[00:00:16.320 --> 00:00:17.720]  讓我們能夠知道,
[00:00:17.720 --> 00:00:19.200]  特別在我們理性上面,
[00:00:19.200 --> 00:00:20.520]  我們要提醒自己,
[00:00:20.520 --> 00:00:22.640]  今天神在我們當中,
[00:00:22.640 --> 00:00:26.440]  我們來到看這個轉播或者直播的時候,
[00:00:26.440 --> 00:00:28.640]  不要忘記神與我們同在,
[00:00:28.640 --> 00:00:30.440]  所以有時候可能在家裡,
[00:00:30.440 --> 00:00:31.960]  我們會較為輕鬆一點,
[00:00:31.960 --> 00:00:33.680]  聽聽道,去一下廁所,
[00:00:33.680 --> 00:00:35.200]  或者拿一些東西來吃,
[00:00:35.200 --> 00:00:37.760]  如果我們確認這個也是敬拜的時候,
[00:00:37.760 --> 00:00:40.640]  就讓我們一起來去尊敬我們的神,
[00:00:40.640 --> 00:00:43.000]  我們一起來領受神的話語之前,
[00:00:43.000 --> 00:00:44.840]  我們先低頭禱告,
[00:00:44.840 --> 00:00:47.120]  天問求祢自己親自用祢的話語,
[00:00:47.120 --> 00:00:49.240]  成為我們的提醒和幫助,
[00:00:49.240 --> 00:00:50.920]  求主祢自己親自眷顧,
[00:00:50.920 --> 00:00:52.240]  帶領我們以後的時間,
[00:00:52.240 --> 00:00:55.480]  讓祢的說話成為我們的教導,
[00:00:55.480 --> 00:00:58.200]  讓我們懂得如何遵守神祢的話語,
[00:00:58.200 --> 00:00:59.920]  以致我們在困難當中,
[00:00:59.920 --> 00:01:02.360]  應如出基督祢的善如微,
[00:01:02.360 --> 00:01:05.200]  求神祢來帶我們去使用孩子所說的信息,
[00:01:05.200 --> 00:01:06.680]  成為眾人的幫助,
[00:01:06.680 --> 00:01:08.400]  祈禱賴奉主德聖的名,
[00:01:08.400 --> 00:01:09.920]  阿們。
[00:01:09.920 --> 00:01:12.800]  我想在香港過去這八九個月裡面,
[00:01:12.800 --> 00:01:15.360]  大家經歷了很多困難的時間,
[00:01:15.360 --> 00:01:17.240]  很多傷痛的時間,
[00:01:17.240 --> 00:01:22.000]  因為送中的條例引發了政治上的不滿,
[00:01:22.000 --> 00:01:25.160]  引致人與人之間產生很多的決裂,
[00:01:25.160 --> 00:01:27.840]  再加上現在武漢的疫情,
[00:01:27.840 --> 00:01:30.720]  讓我們在生活上很困難,
[00:01:30.720 --> 00:01:35.560]  在困難之中我們如何面對呢?
[00:01:35.560 --> 00:01:37.960]  如何過渡呢?
