
[00:00:00.000 --> 00:00:03.120]  其實爸爸也不容易做的,不過呢
[00:00:03.120 --> 00:00:05.620]  今天母親節,不知為何找我講
[00:00:05.620 --> 00:00:08.080]  應該找張牧師有兩個兒子
[00:00:08.080 --> 00:00:10.740]  應該他也說得對,會貼切一點
[00:00:10.740 --> 00:00:15.320]  這個星期早兩天就是三八婦女節
[00:00:15.320 --> 00:00:17.020]  今天又是母親節主日
[00:00:17.020 --> 00:00:20.080]  這星期真是婦女威風
[00:00:20.080 --> 00:00:25.660]  我們這些男兄弟兄就沒有什麼位置了
[00:00:25.660 --> 00:00:28.760]  剛才松柏哲也提過
[00:00:28.760 --> 00:00:30.760]  我們為何英國獨有呢
[00:00:30.760 --> 00:00:32.400]  其實英國是傳統
[00:00:32.400 --> 00:00:35.680]  英國的母親節才是正宗
[00:00:35.680 --> 00:00:38.840]  其他的那些是A4來的
[00:00:38.840 --> 00:00:42.400]  這個母親節主日是母親節日
[00:00:42.400 --> 00:00:45.720]  是在教會傳統的教會日曆是有的
[00:00:45.720 --> 00:00:50.160]  是母親是復活節前第三個星期日
[00:00:50.160 --> 00:00:54.720]  其實當時有些婦女是嫁到其他地方
[00:00:54.720 --> 00:01:02.000]  很遠的地方,在那天就會回來自己的娘家
[00:01:02.000 --> 00:01:05.320]  媽媽的教會一起去崇拜
[00:01:05.320 --> 00:01:07.320]  所以是一個宗教節日
[00:01:07.320 --> 00:01:12.120]  後來就傳到美國,美國世俗化
[00:01:12.120 --> 00:01:15.360]  就搞了一個叫做母親節,是學玩樂的
[00:01:15.360 --> 00:01:18.560]  那就是五月,香港也是跟從了美國
[00:01:18.560 --> 00:01:21.520]  那些父親說不划算,為何有母親沒有父親呢
[00:01:21.520 --> 00:01:25.080]  就變成了六月,就是這個原因
[00:01:25.080 --> 00:01:31.960]  今天講母親節,有一個故事
[00:01:31.960 --> 00:01:35.000]  就是一個母親節的早上
[00:01:35.000 --> 00:01:41.640]  兒子問父親,爸爸,為何今天你煮早餐
[00:01:41.640 --> 00:01:43.080]  父親怎麼回答他呢
[00:01:43.080 --> 00:01:45.720]  今天是母親節嘛
[00:01:45.720 --> 00:01:48.080]  兒子很不明白,很疑惑地問
[00:01:48.080 --> 00:01:51.440]  難道其他日子天天都是父親節嗎
[00:01:51.440 --> 00:01:54.600]  你明白嗎,為什麼不笑
[00:01:54.600 --> 00:01:56.920]  就是媽媽不容易做
[00:01:56.920 --> 00:02:02.280]  平時一年三百六十四天都是媽媽煮早餐
[00:02:02.280 --> 00:02:05.200]  唯一的一天,爸爸就做
[00:02:05.200 --> 00:02:08.320]  大家都同意的,我也同意,我不是母親
[00:02:08.320 --> 00:02:10.640]  但其實有一個原因
[00:02:10.640 --> 00:02:12.080]  可能有些人問,我都不是母親
[00:02:12.080 --> 00:02:14.800]  但其實每一個人都有母親
[00:02:14.800 --> 00:02:18.440]  除非你是水酸悟空,石頭爆出來
[00:02:18.440 --> 00:02:20.200]  相信不然你一定有母親
[00:02:20.200 --> 00:02:22.800]  媽媽真的不容易做
[00:02:22.800 --> 00:02:24.440]  你聽媽媽說的
[00:02:24.440 --> 00:02:27.200]  其實有些人說是時候去香港
[00:02:27.200 --> 00:02:29.720]  很多媽媽都要出去上班
[00:02:29.720 --> 00:02:33.960]  經常都說,媽媽做兩份工作
[00:02:33.960 --> 00:02:38.000]  白天上班後,晚上又要上班
[00:02:38.000 --> 00:02:42.360]  不像爸爸,上班後就放工,不用做了
[00:02:42.360 --> 00:02:43.800]  是很真實的
[00:02:43.800 --> 00:02:49.560]  一個母親的職責不是照顧九晚五
[00:02:49.560 --> 00:02:51.960]  又不說放幾點
[00:02:51.960 --> 00:02:57.680]  即是24小時,24/7,on call都要做
[00:02:57.680 --> 00:03:03.560]  尤其是單親的母親就更加清楚
[00:03:03.560 --> 00:03:06.440]  父親也是她,母親也是她
[00:03:06.440 --> 00:03:09.920]  真是忙到可以說踢腳
[00:03:09.920 --> 00:03:15.120]  但不知為何,通常離婚的官員
[00:03:15.120 --> 00:03:17.240]  當然是判子女給媽媽
[00:03:17.240 --> 00:03:19.680]  除非有甚麼特殊情況
[00:03:19.680 --> 00:03:22.480]  我以為是一個祝福,其實是一個奏作
[00:03:22.480 --> 00:03:24.720]  原來是奏餐夢
[00:03:24.720 --> 00:03:26.320]  爸爸可以不用理會
[00:03:26.320 --> 00:03:31.160]  最多每個月給幾磅銀的贍養費就可以了
[00:03:31.160 --> 00:03:36.520]  事實上,媽媽真的很偉大
[00:03:36.520 --> 00:03:41.280]  爸爸做到的事,媽媽也做到的
[00:03:41.280 --> 00:03:43.720]  可能會做得更加好
[00:03:43.720 --> 00:03:47.120]  但媽媽做到的事,爸爸未必做到
[00:03:47.120 --> 00:03:49.760]  肯定有時候做不到
[00:03:49.760 --> 00:03:52.040]  爸爸不懂得生孩子,不懂得餵人奶
[00:03:52.040 --> 00:03:55.760]  所以這個世界就不會有公平
[00:03:55.760 --> 00:03:57.680]  就算你說甚麼女權運動也好
[00:03:57.680 --> 00:03:59.000]  現在的人變性也好
[00:03:59.000 --> 00:04:03.920]  這是改變不了的自然界定律
[00:04:03.920 --> 00:04:07.160]  不是的,你說我家的裝修
[00:04:07.160 --> 00:04:09.480]  游泳、活燈泡
[00:04:09.480 --> 00:04:12.440]  都是爸爸做的,通常是爸爸做的
[00:04:12.440 --> 00:04:13.480]  為甚麼呢?
[00:04:13.480 --> 00:04:16.800]  因為媽媽給爸爸機會發揮一下才能
[00:04:16.800 --> 00:04:18.640]  你以為媽媽不懂嗎?
[00:04:18.640 --> 00:04:21.640]  否則爸爸下班回來就沒工作了
[00:04:21.640 --> 00:04:24.840]  躺在沙發上看球賽、看新聞
[00:04:24.840 --> 00:04:27.840]  六塊腹肌很快就變成一塊
[00:04:27.840 --> 00:04:30.440]  就給他一點工作,對吧?
[00:04:30.440 --> 00:04:32.760]  說著說著
[00:04:32.760 --> 00:04:38.680]  為甚麼爸爸這麼有興趣看時事
[00:04:38.680 --> 00:04:42.520]  這麼多理論
[00:04:42.520 --> 00:04:45.440]  經常對著電視看新聞,看這看那
[00:04:45.440 --> 00:04:47.600]  有個媽媽跟別人說
[00:04:47.600 --> 00:04:51.800]  她說家裡的小事是媽媽負責的
[00:04:51.800 --> 00:04:55.760]  大事就留給爸爸負責
