
[00:00:00.000 --> 00:00:04.000]  請繼續翻開剛才我們讀這段經文
[00:00:04.000 --> 00:00:10.000]  提摩太后書第三章十四到十七節
[00:00:10.000 --> 00:00:13.000]  剛才讀這段經文裏面
[00:00:13.000 --> 00:00:16.000]  我相信大家對於第十六節就很熟悉了
[00:00:16.000 --> 00:00:19.000]  聖經都是神所默示的
[00:00:19.000 --> 00:00:21.000]  於教訓督澤使人歸正
[00:00:21.000 --> 00:00:24.000]  教導人學而都是有益的
[00:00:24.000 --> 00:00:26.000]  很多時我們讀到這段經文
[00:00:26.000 --> 00:00:28.000]  就會講到聖經是神所默示
[00:00:28.000 --> 00:00:30.000]  聖經對我們的益處在哪裏
[00:00:30.000 --> 00:00:32.000]  接著第十七節
[00:00:32.000 --> 00:00:35.000]  有時我們反而會少少忽略了
[00:00:35.000 --> 00:00:38.000]  第十七節請大家再跟我讀一次
[00:00:38.000 --> 00:00:40.000]  第十七節請
[00:00:40.000 --> 00:00:42.000]  叫屬神的人得以完全
[00:00:42.000 --> 00:00:45.000]  預備行各樣的善事
[00:00:45.000 --> 00:00:46.000]  再第一次
[00:00:46.000 --> 00:00:48.000]  叫屬神的人得以完全
[00:00:48.000 --> 00:00:51.000]  預備行各樣的善事
[00:00:51.000 --> 00:00:53.000]  其實我今日很集中
[00:00:53.000 --> 00:00:56.000]  希望講第十七節
[00:00:56.000 --> 00:00:58.000]  是叫屬神的人
[00:00:58.000 --> 00:01:00.000]  得以完全
[00:01:00.000 --> 00:01:03.000]  預備行各樣的善事
[00:01:03.000 --> 00:01:04.000]  為甚麼呢
[00:01:04.000 --> 00:01:06.000]  因為讀了聖經
[00:01:06.000 --> 00:01:07.000]  我們都知道
[00:01:07.000 --> 00:01:09.000]  聖經對我們的益處
[00:01:09.000 --> 00:01:11.000]  對我們個人裏面有甚麼好處
[00:01:11.000 --> 00:01:14.000]  神的話語讓我們能夠認識真理
[00:01:14.000 --> 00:01:16.000]  認識生命
[00:01:16.000 --> 00:01:18.000]  得著福音
[00:01:18.000 --> 00:01:20.000]  得著永恆的生命
[00:01:20.000 --> 00:01:22.000]  但繼續我們讀聖經的時候
[00:01:22.000 --> 00:01:24.000]  原來有一個目標
[00:01:24.000 --> 00:01:26.000]  叫屬神的人
[00:01:26.000 --> 00:01:28.000]  得以完全
[00:01:28.000 --> 00:01:30.000]  預備行各樣的善事
[00:01:30.000 --> 00:01:32.000]  所以
[00:01:32.000 --> 00:01:33.000]  今日的題目是
[00:01:33.000 --> 00:01:36.000]  裝備自己承擔使命
[00:01:36.000 --> 00:01:38.000]  這裏面有提醒我們
[00:01:38.000 --> 00:01:40.000]  我們向神的說話
[00:01:40.000 --> 00:01:41.000]  裝備我們自己
[00:01:41.000 --> 00:01:44.000]  承擔神要我們所作的善功
[00:01:44.000 --> 00:01:46.000]  第一方面
[00:01:46.000 --> 00:01:48.000]  叫屬神的人
[00:01:48.000 --> 00:01:50.000]  屬神的人
[00:01:50.000 --> 00:01:52.000]  誰是屬神的人呢
[00:01:52.000 --> 00:01:56.000]  誰是屬神的人呢
[00:01:56.000 --> 00:01:58.000]  這裏我相信
[00:01:58.000 --> 00:02:00.000]  我們每一個基督徒都要認清
[00:02:00.000 --> 00:02:01.000]  我們的身份
[00:02:01.000 --> 00:02:03.000]  你和我
[00:02:03.000 --> 00:02:05.000]  都是屬神的人
[00:02:05.000 --> 00:02:07.000]  是不是
[00:02:07.000 --> 00:02:09.000]  手針特別夾頭
