
[00:00:00.000 --> 00:00:02.500]  今天我們分享的題目叫做
[00:00:02.500 --> 00:00:05.000]  "還在吃奶嗎?"
[00:00:05.000 --> 00:00:09.800]  開始的時候分享我過去曾經有一個在電梯裡面的經歷
[00:00:09.800 --> 00:00:11.940]  有一次當我進電梯的時候
[00:00:11.940 --> 00:00:14.600]  我就看到有一個家庭在裡面
[00:00:14.600 --> 00:00:17.720]  有一個大概十一、二歲的小朋友
[00:00:17.720 --> 00:00:20.000]  這個小朋友就不斷跟媽媽說
[00:00:20.000 --> 00:00:22.400]  "媽媽!媽媽!你幫我吧!"
[00:00:22.400 --> 00:00:23.720]  媽媽就這樣回答
[00:00:23.720 --> 00:00:26.400]  "我不是教了你嗎?你自己來吧"
[00:00:26.400 --> 00:00:30.600]  誰知道那個小朋友就不斷拉著媽媽
[00:00:30.600 --> 00:00:33.800]  "不行!不行!我一定要媽媽你幫我!"
[00:00:33.800 --> 00:00:36.000]  媽媽就怎樣也不肯幫他
[00:00:36.000 --> 00:00:40.200]  過了幾秒,那個小朋友就爆哭了
[00:00:40.200 --> 00:00:41.600]  他一邊哭的時候就說
[00:00:41.600 --> 00:00:44.200]  "媽媽!媽媽!我要你幫我!"
[00:00:44.200 --> 00:00:45.400]  我一邊在電梯裡面想想
[00:00:45.400 --> 00:00:49.200]  他到底其實想媽媽幫他做什麼呢?
[00:00:49.200 --> 00:00:50.800]  於是他再哭的時候就說
[00:00:50.800 --> 00:00:54.800]  "不行!我要媽媽幫我洗澡!"
[00:00:54.800 --> 00:00:58.000]  於是那一刻我就內裡出了一句話
[00:00:58.000 --> 00:01:00.400]  誰知道我還沒說的時候
[00:01:00.400 --> 00:01:03.600]  就已經有我旁邊的一位婆婆就說
[00:01:03.600 --> 00:01:05.600]  "哎呀!真是醜死怪了!"
[00:01:05.600 --> 00:01:09.200]  "這麼大了還自己不會洗澡!"
[00:01:09.200 --> 00:01:11.800]  你猜猜這個小朋友聽了這句話之後
[00:01:11.800 --> 00:01:13.400]  他有什麼回應呢?
[00:01:13.400 --> 00:01:15.800]  "哦!我知道了!我回家洗澡了!"
[00:01:15.800 --> 00:01:16.800]  是不是這樣?
[00:01:16.800 --> 00:01:19.800]  當然不是了!他爆哭得更加大聲
[00:01:19.800 --> 00:01:23.200]  "啊!我要媽媽幫我洗澡了!"
[00:01:23.200 --> 00:01:26.600]  我不知道我們有沒有聽過類似的例子
[00:01:26.600 --> 00:01:29.400]  以前我在英國讀寄宿學校的時候
[00:01:29.400 --> 00:01:31.800]  有一些新入學校的師弟
[00:01:31.800 --> 00:01:34.400]  居然是不會綁鞋帶的
[00:01:34.400 --> 00:01:37.600]  不知道是不是他家裡打算送他進去寄宿學校
[00:01:37.600 --> 00:01:40.200]  就叫寄宿學校教他綁鞋帶了
[00:01:40.200 --> 00:01:42.400]  也聽過一些小朋友的故事
[00:01:42.400 --> 00:01:44.400]  小朋友去到超級市場
[00:01:44.400 --> 00:01:47.200]  看到一些葡萄就很愕然了
[00:01:47.200 --> 00:01:52.200]  就說"為什麼葡萄居然有紅色的皮呢?"
[00:01:52.200 --> 00:01:56.800]  因為原來他家裡大部分都是傭人姐姐幫他切葡萄
[00:01:56.800 --> 00:02:01.000]  所以他不知道原來葡萄是有紅色的皮的
[00:02:01.000 --> 00:02:05.600]  很多時候我們聽見這些故事都覺得很好笑
[00:02:05.600 --> 00:02:09.800]  但是當我們去反思我們屬靈生命的時候
[00:02:09.800 --> 00:02:14.200]  其實我們的屬靈生命也可能有類似的狀況
[00:02:14.200 --> 00:02:17.200]  我不知道你有沒有聽過這些說話
[00:02:17.200 --> 00:02:21.600]  有些人說"嘩!原來他說他是基督徒來的"
[00:02:21.600 --> 00:02:25.000]  "還上了十多年的教會"
[00:02:25.000 --> 00:02:26.800]  或者有些人會跟他說
[00:02:26.800 --> 00:02:32.200]  "你知不知道原來是誰誰都是基督徒來的"
[00:02:32.200 --> 00:02:36.600]  很多時候我們聽到這些說話
[00:02:36.600 --> 00:02:41.800]  通常都是發現原來他的人的生命不像一個基督徒
[00:02:41.800 --> 00:02:43.000]  所以當有一個人說
[00:02:43.000 --> 00:02:46.000]  "嘩!原來他是基督徒還上了十多年的教會"
[00:02:46.000 --> 00:02:47.000]  或者有些人說
[00:02:47.000 --> 00:02:49.400]  "嘩!這個人原來是基督徒來的"
[00:02:49.400 --> 00:02:52.600]  其實是因為我們覺得這個人不像一個基督徒
[00:02:52.600 --> 00:02:54.600]  但是他說他自己是基督徒
[00:02:54.600 --> 00:02:55.600]  所以我們都要想
[00:02:55.600 --> 00:02:57.000]  究竟我們自己
[00:02:57.000 --> 00:02:59.200]  當我們告訴別人我們是基督徒的時候
