
[00:00:00.000 --> 00:00:04.360]  前一陣子看了一篇關於Mega Church
[00:00:04.360 --> 00:00:09.720]  就是超過兩千人以上的超大型教會
[00:00:09.720 --> 00:00:13.820]  關於這種超大型教會的一種報道
[00:00:13.820 --> 00:00:17.660]  裏面有幾個統計數字是很有意思的
[00:00:17.660 --> 00:00:20.220]  第一個講到在美國
[00:00:20.220 --> 00:00:25.600]  現在有越來越多所謂超大型教會的興起
[00:00:25.600 --> 00:00:30.900]  在1960年的時候每一百萬人才有一間超大型的教會
[00:00:30.900 --> 00:00:35.820]  現在每二十萬人就有一間超大型的教會
[00:00:35.820 --> 00:00:36.980]  第二
[00:00:36.980 --> 00:00:39.620]  有越來越多的年輕人
[00:00:39.620 --> 00:00:43.960]  是湧入到Mega Church超大型的教會
[00:00:43.960 --> 00:00:49.020]  因爲比較能夠滿足他們多元化的一種需求
[00:00:49.020 --> 00:00:49.740]  第三
[00:00:49.740 --> 00:00:53.620]  這種超大型的教會增長的比例
[00:00:53.620 --> 00:00:56.540]  是比小型教會更高
[00:00:56.540 --> 00:00:59.020]  這個有些時候讓我們感覺很驚訝
[00:00:59.020 --> 00:01:01.460]  以爲小型教會增長比較快
[00:01:01.460 --> 00:01:02.380]  其實不是
[00:01:02.380 --> 00:01:07.060]  超大型教會增長的比例是更高過小型教會
[00:01:07.060 --> 00:01:07.900]  換句話說
[00:01:07.900 --> 00:01:13.420]  超大型教會是有更大持續成長的動力在那裏
[00:01:13.420 --> 00:01:13.860]  第四
[00:01:13.860 --> 00:01:17.180]  越年輕的超大型的教會
[00:01:17.180 --> 00:01:19.700]  越快速的增長
[00:01:19.700 --> 00:01:20.940]  根據他們的統計
[00:01:20.940 --> 00:01:27.100]  目前在美國只有19%的超大型教會
[00:01:27.100 --> 00:01:30.420]  是成立了二十年以內的
[00:01:30.420 --> 00:01:32.220]  所以你千萬不要以爲我們教會太老了
[00:01:32.220 --> 00:01:33.420]  不是咧
[00:01:33.420 --> 00:01:34.220]  已經二十年
[00:01:34.220 --> 00:01:34.660]  你覺得好老
[00:01:34.660 --> 00:01:35.620]  No No No
[00:01:35.620 --> 00:01:36.620]  根據這個統計
[00:01:36.620 --> 00:01:41.460]  只有19%的超大型教會是二十年以內的
[00:01:41.460 --> 00:01:41.980]  換句話說
[00:01:41.980 --> 00:01:42.980]  我們還很年輕
[00:01:42.980 --> 00:01:47.180]  跟你們說我們還很年輕啊
[00:01:47.180 --> 00:01:49.340]  可見的面對未來
[00:01:49.340 --> 00:01:54.180]  我們教會還是有許多發展的空間
[00:01:54.180 --> 00:01:57.140]  成長的潛力在這裏
[00:01:57.140 --> 00:02:00.460]  所以千萬不要停止來夢想
[00:02:00.460 --> 00:02:04.900]  以爲神在過去二十年已經成就這麼多奇妙的作爲
[00:02:04.900 --> 00:02:08.300]  大概神所能做的就僅此而已
[00:02:08.300 --> 00:02:09.740]  其實你錯了
[00:02:09.740 --> 00:02:13.620]  無論神在過去做多少奇妙的工作
[00:02:13.620 --> 00:02:17.980]  面對未來神所要做的還是遠超過今天
[00:02:17.980 --> 00:02:21.980]  我們坐在這裏所求所想的
[00:02:21.980 --> 00:02:23.100]  最近我讀一本書
[00:02:23.100 --> 00:02:26.620]  那個書名只有一個字就是If
[00:02:26.620 --> 00:02:31.380]  如果我就發現光是問這一個問題
[00:02:31.380 --> 00:02:38.540]  If就能夠打開我們生命當中多少想象的空間
[00:02:38.540 --> 00:02:42.900]  如果我們成長到五千人
[00:02:42.900 --> 00:02:48.100]  那麼這個教會將會是怎麼樣一種光景呢
[00:02:48.100 --> 00:02:53.180]  如果神的復興真的降臨在我們中間
[00:02:53.180 --> 00:02:54.540]  那麼我們的城市
[00:02:54.540 --> 00:02:58.860]  我們的社區將有怎麼樣一種轉換呢
[00:02:58.860 --> 00:03:04.300]  如果我們真的進入到影響世界的七個領域
[00:03:04.300 --> 00:03:09.380]  那麼這個整個世界將會有怎麼樣一種改變呢
[00:03:09.380 --> 00:03:11.620]  想到過沒有
[00:03:11.620 --> 00:03:14.740]  不要以爲是不可能
[00:03:14.740 --> 00:03:18.340]  在神永遠沒有難成的事情
[00:03:18.340 --> 00:03:19.380]  Amen
[00:03:19.380 --> 00:03:23.900]  所以求主幫助我們永遠不要停止夢想
[00:03:23.900 --> 00:03:27.660]  求主幫助我們永遠不要停止夢想
[00:03:27.660 --> 00:03:33.060]  這爲什麼我們在年度計劃會爲明年做一個主題的時候
[00:03:33.060 --> 00:03:35.580]  我們就定下明年的主題是
[00:03:35.580 --> 00:03:40.260]  童心建造迎接復興的降臨
[00:03:40.260 --> 00:03:43.060]  我們相信神在未來的日子裏面
[00:03:43.060 --> 00:03:47.500]  要在我們中間要做更大更廣的事情
[00:03:47.500 --> 00:03:49.540]  所以我們要一同來夢想
[00:03:49.540 --> 00:03:55.100]  一同來建造童心建造迎接復興
[00:03:55.100 --> 00:03:58.020]  那你說我們要建造什麼呢
[00:03:58.020 --> 00:04:01.100]  除了繼續來建造成榮耀的教會之外
[00:04:01.100 --> 00:04:05.700]  我們更需要場地上的擴充
[00:04:05.700 --> 00:04:11.700]  因爲場地跟夢想的實現是不可分的
[00:04:11.700 --> 00:04:14.500]  在過去十幾年當我們搬進這個新的場地
[00:04:14.500 --> 00:04:17.780]  是神借的賜給我們現有的場地
[00:04:17.780 --> 00:04:23.380]  讓我們在夢想裏面能夠繼續不斷的前進
[00:04:23.380 --> 00:04:27.020]  但如今的確我們將會來到一個關口
[00:04:27.020 --> 00:04:30.820]  那就現有的場地呈現一個飽和的狀態
[00:04:30.820 --> 00:04:32.980]  如果不早做打算
[00:04:32.980 --> 00:04:35.060]  不早做擴展的計劃
[00:04:35.060 --> 00:04:38.700]  我們就會限制我們自己的成長
[00:04:38.700 --> 00:04:40.620]  我記得有一次我聽到一個牧者的分享
[00:04:40.620 --> 00:04:42.540]  讓我很受感動
[00:04:42.540 --> 00:04:46.100]  他說教會存在的目的
[00:04:46.100 --> 00:04:51.340]  是爲了那些還沒有來到教會的人
[00:04:51.340 --> 00:04:52.100]  我再次說
[00:04:52.100 --> 00:04:55.140]  他說教會存在的目的
[00:04:55.140 --> 00:05:00.260]  是爲了那些還沒有來到教會的人
[00:05:00.260 --> 00:05:02.780]  哇 你能夠看得那麼遠嗎
[00:05:02.780 --> 00:05:04.220]  弟兄姐妹
[00:05:04.220 --> 00:05:05.940]  說到說你只看見我的需要
[00:05:05.940 --> 00:05:08.020]  我在這裏的需要
[00:05:08.020 --> 00:05:10.700]  你能夠看得那麼遠嗎
[00:05:10.700 --> 00:05:13.540]  教會的存在不是爲你
[00:05:13.540 --> 00:05:17.980]  是爲那些還沒有來到這裏的人
[00:05:17.980 --> 00:05:21.460]  是爲那些將要降臨的復興
[00:05:21.460 --> 00:05:23.860]  不是爲現在的需要
[00:05:23.860 --> 00:05:29.180]  是爲那些將要臨到上帝的工作
[00:05:29.180 --> 00:05:29.620]  弟兄姐妹
[00:05:29.620 --> 00:05:35.700]  新的夢想永遠是需要場地跟設施的配合
[00:05:35.700 --> 00:05:39.540]  所以今天早上讓我再一次回到神所給我們的託付
[00:05:39.540 --> 00:05:42.180]  Shakina Glory的鑑定計劃
[00:05:42.180 --> 00:05:45.060]  我們再一次來思想這樣一個鑑定計劃
[00:05:45.060 --> 00:05:46.140]  從三方面來講
[00:05:46.140 --> 00:05:47.860]  第一個
