
[00:00:00.000 --> 00:00:03.080]  我們一起再次在神的面前
[00:00:03.080 --> 00:00:04.600]  恭迎祂的仰望祂
[00:00:04.600 --> 00:00:06.920]  給我們祂的話語
[00:00:06.920 --> 00:00:08.800]  天父我們仰望祢
[00:00:08.800 --> 00:00:10.400]  實在我們很需要
[00:00:10.400 --> 00:00:13.160]  很渴望去聽到祢的聲音
[00:00:13.160 --> 00:00:16.560]  願這個港台所發出的聲音
[00:00:16.560 --> 00:00:19.160]  真的能夠有主祢的聖靈
[00:00:19.160 --> 00:00:22.000]  引領祢的話語在裏面
[00:00:22.000 --> 00:00:25.080]  讓我們聽到不單單是人的聲音
[00:00:25.080 --> 00:00:28.360]  而是父神祢透過祢的僕人
[00:00:28.360 --> 00:00:29.840]  宣講的話語
[00:00:29.840 --> 00:00:33.000]  聖靈求祢在我們心中工作
[00:00:33.000 --> 00:00:35.000]  引導我們進入真理
[00:00:35.000 --> 00:00:36.680]  明白祢的話語
[00:00:36.680 --> 00:00:39.080]  禱告奉基督耶穌聖名
[00:00:39.080 --> 00:00:40.240]  阿們
[00:00:40.240 --> 00:00:44.240]  今日的講題是
[00:00:44.240 --> 00:00:46.480]  「以父的事為念」
[00:00:46.480 --> 00:00:51.720]  不知道你記不記得你自己
[00:00:51.720 --> 00:00:55.760]  小學的第一課是教甚麼的
[00:00:57.200 --> 00:01:00.400]  昨天說「山高高的山」
[00:01:00.400 --> 00:01:01.800]  「海」
[00:01:01.800 --> 00:01:03.720]  「大海大大的海」
[00:01:03.720 --> 00:01:05.040]  好像是這樣
[00:01:05.040 --> 00:01:06.320]  我記得
[00:01:06.320 --> 00:01:10.080]  應該我自己印象中就是
[00:01:10.080 --> 00:01:11.640]  「天亮了」
[00:01:11.640 --> 00:01:13.760]  接著
[00:01:13.760 --> 00:01:15.040]  「上學去」
[00:01:15.040 --> 00:01:17.680]  大概是這樣
[00:01:17.680 --> 00:01:20.640]  但是在香港教育之下
[00:01:20.640 --> 00:01:21.600]  小朋友
[00:01:21.600 --> 00:01:25.680]  我相信未到小學已經懂得一個字
[00:01:25.680 --> 00:01:28.400]  就是「爭」
[00:01:28.400 --> 00:01:30.480]  因為我兒子
[00:01:30.480 --> 00:01:31.600]  兩歲而已
[00:01:31.600 --> 00:01:33.040]  只會說話
[00:01:33.040 --> 00:01:35.680]  他見到姐姐在吃雪糕
[00:01:35.680 --> 00:01:37.160]  他就說「爭」
[00:01:37.160 --> 00:01:39.640]  就叫出來
[00:01:39.640 --> 00:01:41.600]  所以我們這些小朋友
[00:01:41.600 --> 00:01:45.160]  很小的時候我們已經教他們
[00:01:45.160 --> 00:01:48.160]  在起跑線上爭
[00:01:48.160 --> 00:01:51.160]  所以今天你見到街上那麼多人
[00:01:51.160 --> 00:01:53.200]  口罩又爭
[00:01:53.200 --> 00:01:55.720]  其實是廁紙又爭
[00:01:55.720 --> 00:01:58.240]  是因為我們從小就教育
[00:01:58.240 --> 00:02:00.120]  要爭要贏
[00:02:00.120 --> 00:02:03.200]  但是猶太人的第一課是甚麼呢?
[00:02:03.200 --> 00:02:08.720]  是「要聽」
[00:02:08.720 --> 00:02:11.320]  在哪裡來的呢?
[00:02:11.320 --> 00:02:16.400]  原來猶太人有一個傳統叫「Shema」
[00:02:16.400 --> 00:02:19.040]  「Shema」就是「要聽」
[00:02:19.040 --> 00:02:20.880]  在希伯來文是「要聽」
[00:02:20.880 --> 00:02:26.800]  其實是來自《新名記》和《文素記》的三段經文
[00:02:26.800 --> 00:02:30.400]  都是上帝很清楚的教導摩西
[00:02:30.400 --> 00:02:33.200]  帶領以色列人的時候
[00:02:33.200 --> 00:02:37.280]  要留心的事
[00:02:37.280 --> 00:02:39.600]  「以色列人要聽
[00:02:39.600 --> 00:02:42.600]  耶和華你們的神是獨一的主
[00:02:42.600 --> 00:02:47.080]  要盡心盡性盡力愛耶和華你的神」
[00:02:47.080 --> 00:02:51.760]  這就是他們「Shema」的來源
[00:02:51.760 --> 00:02:55.680]  猶太人會繼續在那段經文裏面
[00:02:55.680 --> 00:02:58.800]  聽到要將神的話語
[00:02:58.800 --> 00:03:00.480]  存在心裏面
[00:03:00.480 --> 00:03:02.400]  留在意中
[00:03:02.400 --> 00:03:05.480]  經常去紀念神的話語
[00:03:05.480 --> 00:03:08.760]  又要將它帶在手上為記號
