
[00:00:00.000 --> 00:00:02.380]  但是你明白那個問題
[00:00:02.380 --> 00:00:03.920]  那個問題就是說
[00:00:03.920 --> 00:00:11.840]  他其實不是用一個很廣的角度去明白路德記
[00:00:11.840 --> 00:00:12.800]  我再次強調
[00:00:12.800 --> 00:00:17.740]  我想你們真的想回整個聖經的重心
[00:00:17.740 --> 00:00:18.940]  天國的彌臨
[00:00:18.940 --> 00:00:20.540]  耶穌基督的彌臨
[00:00:20.540 --> 00:00:23.560]  最後在耶穌基督的十字架上面
[00:00:23.560 --> 00:00:25.980]  天國來了
[00:00:25.980 --> 00:00:29.160]  而路德記是指向這件事
[00:00:29.160 --> 00:00:30.700]  而在耶穌基督
[00:00:30.700 --> 00:00:32.280]  我們怎麼應用呢?
[00:00:32.280 --> 00:00:35.960]  就是在耶穌基督十字架的影子之下
[00:00:35.960 --> 00:00:39.680]  我們如何去活今生的人
[00:00:39.680 --> 00:00:43.120]  我想給你一點挑戰
[00:00:43.120 --> 00:00:45.980]  就是當你應用的時候
[00:00:45.980 --> 00:00:48.240]  不要這麼想你自己
[00:00:48.240 --> 00:00:51.160]  不是以自我為中心的應用
[00:00:51.160 --> 00:00:53.840]  而是以天國為中心的應用
[00:00:53.840 --> 00:00:57.560]  你大概有聽過這句名言
[00:00:58.360 --> 00:00:59.840]  J.F.K
[00:00:59.840 --> 00:01:01.420]  John F. Kennedy
[00:01:01.420 --> 00:01:03.520]  他說的那句名言是什麼呢?
[00:01:03.520 --> 00:01:06.660]  Ask not what your country can do for you
[00:01:06.660 --> 00:01:09.240]  Ask what you can do for your country
[00:01:09.240 --> 00:01:12.660]  不要問你國家可以幫你做些什麼
[00:01:12.660 --> 00:01:15.180]  問你可以為你國家做些什麼
[00:01:15.180 --> 00:01:17.140]  你明白我說的
[00:01:17.140 --> 00:01:20.280]  不要說上帝可以為我做些什麼
[00:01:20.280 --> 00:01:21.240]  而是說
[00:01:21.240 --> 00:01:24.140]  我可以為上帝做些什麼
[00:01:24.140 --> 00:01:24.840]  OK
[00:01:24.840 --> 00:01:28.440]  但是這也不是我想說的
[00:01:28.440 --> 00:01:31.360]  這句話不是合乎聖經的模式
[00:01:31.360 --> 00:01:34.120]  我想慢慢幫你明白合乎聖經的模式
[00:01:34.120 --> 00:01:35.920]  我想你想的不是
[00:01:35.920 --> 00:01:38.360]  Ask not what Jesus can do for you
[00:01:38.360 --> 00:01:39.820]  and ask what you can do for Jesus
[00:01:39.820 --> 00:01:41.160]  不是
[00:01:41.160 --> 00:01:44.840]  雖然我是想你為耶穌而活
[00:01:44.840 --> 00:01:45.500]  OK
[00:01:45.500 --> 00:01:48.420]  但是聖經的模式應該是什麼呢?
[00:01:48.420 --> 00:01:49.760]  聖經的模式是
[00:01:49.760 --> 00:01:53.440]  Ask what Jesus has already done for you
[00:01:54.240 --> 00:01:55.440]  然後
[00:01:55.440 --> 00:01:59.160]  Then ask what you can do for him in return
[00:01:59.160 --> 00:02:00.040]  你明白嗎?
[00:02:00.040 --> 00:02:01.640]  聖經的模式是什麼呢?
[00:02:01.640 --> 00:02:03.300]  第一件事先想
[00:02:03.300 --> 00:02:05.440]  耶穌為你做了些什麼
[00:02:05.440 --> 00:02:07.540]  是一件大事
[00:02:07.540 --> 00:02:09.940]  而那件大事最後
[00:02:09.940 --> 00:02:12.280]  成為了你生命的一種動力
[00:02:12.280 --> 00:02:16.880]  然後你再問我如何回報祂為我所做的一切
[00:02:16.880 --> 00:02:18.680]  你明白了嗎?
[00:02:18.680 --> 00:02:19.400]  所以
[00:02:19.400 --> 00:02:20.860]  不是Ask not
[00:02:20.860 --> 00:02:21.640]  是Ask
[00:02:21.640 --> 00:02:22.720]  你是要問的
[00:02:22.720 --> 00:02:24.000]  你是要知道的
[00:02:24.000 --> 00:02:25.000]  要知道的是什麼呢?
[00:02:25.000 --> 00:02:26.260]  耶穌為你做了什麼
[00:02:26.260 --> 00:02:28.400]  然後你才有動力為耶穌而生
[00:02:28.400 --> 00:02:28.900]  OK
[00:02:28.900 --> 00:02:30.560]  我給你另一個引述
[00:02:30.560 --> 00:02:34.320]  這是C.T. Stutt的引述
[00:02:34.320 --> 00:02:36.140]  C.T. Stutt是一位宣教士
[00:02:36.140 --> 00:02:37.600]  很有名的宣教士
[00:02:37.600 --> 00:02:39.160]  他很想去中國
[00:02:39.160 --> 00:02:40.600]  不過他在中國不太行
[00:02:40.600 --> 00:02:41.960]  去了印度
[00:02:41.960 --> 00:02:43.600]  去了非洲
[00:02:43.600 --> 00:02:44.920]  他有一句話
[00:02:44.920 --> 00:02:47.000]  就是反映了剛才那句話
[00:02:47.000 --> 00:02:47.800]  就是說
[00:02:47.800 --> 00:02:51.400]  If Jesus Christ be God and die for me
