
[00:00:00.000 --> 00:00:02.140]  好 我們讀一段聖經
[00:00:02.140 --> 00:00:05.840]  詩篇126篇 第1到第6節
[00:00:05.840 --> 00:00:09.680]  這裡說 當耶和華將那些被擄的帶回西安的時候
[00:00:09.680 --> 00:00:11.940]  我們好像做夢的人
[00:00:11.940 --> 00:00:14.680]  我們滿口喜笑滿舌歡呼的時候
[00:00:14.680 --> 00:00:19.120]  外邦中就有人說耶和華為他們行了大事
[00:00:19.120 --> 00:00:21.240]  耶和華果然為我們行了大事
[00:00:21.240 --> 00:00:22.840]  我們就歡喜
[00:00:22.840 --> 00:00:25.500]  耶和華 求祢使我們被擄的人歸回
[00:00:25.500 --> 00:00:28.280]  好像南地的河水復流
[00:00:28.280 --> 00:00:30.960]  流淚灑腫的必歡呼收割
[00:00:30.960 --> 00:00:34.220]  那帶腫流淚出去的必要歡歡樂樂
[00:00:34.220 --> 00:00:35.620]  帶河捆回來
[00:00:35.620 --> 00:00:37.620]  我們就讀到這裡
[00:00:37.620 --> 00:00:38.760]  時間過得很快
[00:00:38.760 --> 00:00:43.980]  我們搬進Shakina Glory新堂已經6年了
[00:00:43.980 --> 00:00:47.220]  剛才我們看見建堂工程的回顧影片
[00:00:47.220 --> 00:00:52.880]  心中真的還是充滿了數不盡的感謝跟讚美
[00:00:52.880 --> 00:00:55.220]  我還記得在2015年
[00:00:55.220 --> 00:00:58.320]  在教會慶祝20週年的慶典當中
[00:00:58.320 --> 00:01:01.560]  我們提出了要興建這個Shakina Glory
[00:01:01.560 --> 00:01:04.220]  這個新的會堂的計劃
[00:01:04.220 --> 00:01:05.520]  在那個時候
[00:01:05.520 --> 00:01:10.280]  這只不過還是一個有一天的夢想而已
[00:01:10.280 --> 00:01:13.520]  但今天你我已經坐在這個新堂裡
[00:01:13.520 --> 00:01:15.680]  一同敬拜這位又真又活的真神
[00:01:15.680 --> 00:01:20.480]  你們 神果然為我們成就大事
[00:01:20.480 --> 00:01:22.880]  我就想到就好像當年以色列人
[00:01:22.880 --> 00:01:24.760]  當他們從被擄的巴比倫
[00:01:24.760 --> 00:01:26.480]  回到耶路撒冷的時候
[00:01:26.480 --> 00:01:30.760]  他們不也是感覺像做夢的人一樣不是嗎
[00:01:30.760 --> 00:01:33.420]  按人看怎麼可能呢
[00:01:33.420 --> 00:01:37.960]  但我們的神真是一位獨行其事的神
[00:01:37.960 --> 00:01:41.560]  祂永遠按照祂自己的旨意行事
[00:01:41.560 --> 00:01:44.620]  也做成祂自己的工作
[00:01:44.620 --> 00:01:46.280]  所以今天當我們在這裡
[00:01:46.280 --> 00:01:48.380]  一邊我們來回顧
[00:01:48.380 --> 00:01:52.280]  神在我們Shakina Glory建堂工程所一切的恩典
[00:01:52.280 --> 00:01:57.660]  真的是看見在過去神帶領我們走過多少神跡路
