
[00:00:00.000 --> 00:00:05.480]  我們繼續不成長一群的系列
[00:00:05.480 --> 00:00:07.480]  我們今天會讀希伯來書
[00:00:07.480 --> 00:00:10.780]  第六章十三至十五節
[00:00:10.780 --> 00:00:12.780]  我們一起大聲去讀
[00:00:12.780 --> 00:00:13.780]  1 2 3
[00:00:13.780 --> 00:00:16.780]  當初神應許阿伯拉罕的時候
[00:00:16.780 --> 00:00:20.780]  因為沒有比自己更大可以指著起誓的
[00:00:20.780 --> 00:00:22.780]  就指著自己起誓
[00:00:22.780 --> 00:00:25.780]  說 論福 我必賜大福給你
[00:00:25.780 --> 00:00:28.780]  論子孫 我必叫你的子孫多起來
[00:00:28.780 --> 00:00:30.780]  這樣 阿伯拉罕記
[00:00:30.780 --> 00:00:34.780]  恆久忍耐就得了所應許的弟兄姊妹
[00:00:34.780 --> 00:00:37.780]  在這段經文裏面有三方面我們要注意的
[00:00:37.780 --> 00:00:41.280]  第一 就是神應許的屬性
[00:00:41.280 --> 00:00:44.280]  有沒有人試過發誓?
[00:00:44.280 --> 00:00:46.780]  這裡說神向自己發誓
[00:00:46.780 --> 00:00:50.280]  證明他的應許是必定肯定可以得的
[00:00:50.280 --> 00:00:51.280]  行不行?
[00:00:51.280 --> 00:00:53.780]  人很多時候都不行的
[00:00:53.780 --> 00:00:55.280]  知不知道為什麼?
[00:00:55.280 --> 00:00:57.780]  我就要承諾我自己了
[00:00:57.780 --> 00:00:58.780]  在Order Nation的時候
[00:00:58.780 --> 00:01:00.280]  你們不是很支持我嗎?
[00:01:00.280 --> 00:01:03.280]  走過來又送禮物又給卡
[00:01:03.280 --> 00:01:05.280]  我那時候跟自己
[00:01:05.280 --> 00:01:06.780]  答應自己一件事
[00:01:06.780 --> 00:01:08.780]  我一定要每一個人
[00:01:08.780 --> 00:01:11.780]  手寫一張卡給你們
[00:01:11.780 --> 00:01:15.780]  結果之後兩個星期病得很辛苦
[00:01:15.780 --> 00:01:17.780]  之後很忙
[00:01:17.780 --> 00:01:19.780]  然後就開始想
[00:01:19.780 --> 00:01:22.780]  不是啊 如果我寫了給我的朋友
[00:01:22.780 --> 00:01:24.280]  又忘記寫給你
[00:01:24.280 --> 00:01:25.780]  你會不開心的
[00:01:25.780 --> 00:01:27.780]  不如所有人都不要寫了
[00:01:27.780 --> 00:01:30.780]  所以今天在這裏謝謝你們
[00:01:30.780 --> 00:01:32.780]  一次過
[00:01:32.780 --> 00:01:34.780]  人是信不過的
[00:01:34.780 --> 00:01:36.780]  但是神呢
[00:01:36.780 --> 00:01:37.780]  信得過的
[00:01:37.780 --> 00:01:40.780]  他的承諾是必定可以得的
[00:01:40.780 --> 00:01:42.780]  第二就是應許的內容
[00:01:42.780 --> 00:01:44.780]  當然今天不是叫你生小孩
[00:01:44.780 --> 00:01:45.780]  我們一會兒會說
[00:01:45.780 --> 00:01:48.780]  我們今天要留意一下應許的內容
[00:01:48.780 --> 00:01:51.780]  然後就是我們怎樣去回應
[00:01:51.780 --> 00:01:52.780]  弟兄姊妹
[00:01:52.780 --> 00:01:54.780]  阿伯拉罕怎樣回應?
[00:01:54.780 --> 00:01:56.780]  恆久忍耐
[00:01:56.780 --> 00:01:57.780]  一起唸一次
[00:01:57.780 --> 00:01:59.780]  恆久忍耐
[00:01:59.780 --> 00:02:01.780]  這個恆久忍耐
[00:02:01.780 --> 00:02:02.780]  做了之後
[00:02:02.780 --> 00:02:05.780]  就真的得著了所承諾
[00:02:05.780 --> 00:02:06.780]  承諾的
[00:02:06.780 --> 00:02:08.780]  恆久忍耐這個字
[00:02:08.780 --> 00:02:10.780]  是大有內頭的
[00:02:10.780 --> 00:02:12.780]  因為在語法上
[00:02:12.780 --> 00:02:14.780]  如果他只有一個動詞
[00:02:14.780 --> 00:02:17.780]  然後就說完成了的完成式
[00:02:17.780 --> 00:02:18.780]  他就可以說
[00:02:18.780 --> 00:02:19.780]  他忍完了
[00:02:19.780 --> 00:02:21.780]  然後就得到了
[00:02:21.780 --> 00:02:22.780]  但是你看到
[00:02:22.780 --> 00:02:24.780]  他這個字
[00:02:24.780 --> 00:02:26.780]  恆久忍耐這個字
[00:02:26.780 --> 00:02:28.780]  Marco V. Macias就是用eris
[00:02:28.780 --> 00:02:30.780]  就是完成了
[00:02:30.780 --> 00:02:31.780]  active
[00:02:31.780 --> 00:02:32.780]  主動的
[00:02:32.780 --> 00:02:33.780]  participle
[00:02:33.780 --> 00:02:34.780]  是一個分詞
[00:02:34.780 --> 00:02:37.780]  這個分詞告訴我們有一個形容
[00:02:37.780 --> 00:02:39.780]  不是只是告訴你
[00:02:39.780 --> 00:02:40.780]  完了就算了
[00:02:40.780 --> 00:02:42.780]  他想我們focus
[00:02:42.780 --> 00:02:43.780]  阿伯拉罕
[00:02:43.780 --> 00:02:45.780]  恆久忍耐這個character
[00:02:45.780 --> 00:02:47.780]  行不行?
[00:02:47.780 --> 00:02:48.780]  就是說這個character
