
[00:00:00.000 --> 00:00:03.000]  哇 牧師今天搞什麼 搞土告吹捏
[00:00:03.000 --> 00:00:04.180]  今天當然是講土告的
[00:00:04.180 --> 00:00:06.180]  不過一件事 想一想
[00:00:06.180 --> 00:00:11.320]  剛剛土告 通常一個狀態就是
[00:00:11.320 --> 00:00:14.880]  開聲的時候 一路講着講着
[00:00:14.880 --> 00:00:16.880]  你就會發現一個情況就是
[00:00:16.880 --> 00:00:20.220]  會越來越多東西 還是越來越少東西
[00:00:20.220 --> 00:00:23.520]  多東西講 還是越來越少東西
[00:00:23.520 --> 00:00:26.160]  越多 有人少 有人多 有人少
[00:00:26.160 --> 00:00:28.520]  但是我接觸的朋友通常是越來越少的
[00:00:28.520 --> 00:00:32.480]  還有一樣東西 就是整體來講
[00:00:32.480 --> 00:00:36.040]  通常你越祈是越大聲還是小聲
[00:00:36.040 --> 00:00:38.040]  小聲的 小聲的我不太在意
[00:00:38.040 --> 00:00:40.040]  反而是越祈越少東西的
[00:00:40.040 --> 00:00:42.560]  越祈越少東西 繼續下去的
[00:00:42.560 --> 00:00:44.560]  就算你 我五樣 我五件事
[00:00:44.560 --> 00:00:47.840]  我每件事開箱 十件事都寫下來
[00:00:47.840 --> 00:00:49.840]  我一路隨着時間祈
[00:00:49.840 --> 00:00:52.320]  一件事 兩件事 三件事就去了
[00:00:52.320 --> 00:00:53.400]  當然不是的 牧師
[00:00:53.400 --> 00:00:54.920]  我一路祈禱的時候 聖靈又提醒我
[00:00:54.920 --> 00:00:56.680]  繼續有些事是土告的
[00:00:56.680 --> 00:00:57.680]  我繼續加上去
[00:00:57.680 --> 00:00:58.680]  好 感謝神
[00:00:58.680 --> 00:00:59.320]  OK 行不行
[00:00:59.320 --> 00:01:00.200]  有時不是的
[00:01:00.200 --> 00:01:02.040]  我們去到現實裏面
[00:01:02.040 --> 00:01:03.640]  是不是每一次土告裏面
[00:01:03.640 --> 00:01:05.800]  都是一路越祈越多呢
[00:01:05.800 --> 00:01:07.080]  我估計在現實裏面
[00:01:07.080 --> 00:01:08.880]  不必然可以這樣的
[00:01:08.880 --> 00:01:10.200]  說什麼呢
[00:01:10.200 --> 00:01:11.080]  第一件事
[00:01:11.080 --> 00:01:14.080]  剛剛說祈禱手的土告
[00:01:14.080 --> 00:01:15.840]  如果回到聖經的處境理解
[00:01:15.840 --> 00:01:18.200]  我們會說這是悟性的土告
[00:01:18.200 --> 00:01:21.360]  悟性的土告不是說我們頓悟什麼
[00:01:21.360 --> 00:01:24.040]  而是說我們能夠理解
[00:01:24.040 --> 00:01:24.880]  聽得明白
[00:01:24.880 --> 00:01:27.760]  能夠了解 用我們的理智
[00:01:27.760 --> 00:01:29.200]  掌握到的一件事
[00:01:29.200 --> 00:01:30.320]  就是悟性了
[00:01:30.320 --> 00:01:31.000]  OK 行不行
[00:01:31.000 --> 00:01:32.440]  因爲同樣的字
[00:01:32.440 --> 00:01:33.800]  在保羅的表達裏面
[00:01:33.800 --> 00:01:35.880]  又說對悟性有沒有果效
[00:01:35.880 --> 00:01:37.600]  他一路在用悟性
[00:01:37.600 --> 00:01:39.040]  他同一時間在唱幾件事
[00:01:39.040 --> 00:01:41.280]  就是我們能夠理解
[00:01:41.280 --> 00:01:42.360]  能夠了解的
[00:01:42.360 --> 00:01:43.520]  就是這樣的土告
[00:01:43.520 --> 00:01:44.280]  OK 行不行
[00:01:44.280 --> 00:01:45.720]  但是在事實裏面
[00:01:45.720 --> 00:01:47.400]  當我們講土告的時候
[00:01:47.400 --> 00:01:49.320]  有一個真實的情況
[00:01:49.320 --> 00:01:50.720]  有不少的基督徒
[00:01:50.720 --> 00:01:52.440]  我們只是停頓在這裏
[00:01:52.440 --> 00:01:57.040]  而根本我們沒有時間花在看聖經本來的教導
[00:01:57.040 --> 00:01:59.520]  我們再看前書14章
[00:01:59.520 --> 00:02:02.960]  14-15節
[00:02:02.960 --> 00:02:04.520]  我們讀多一次好嗎
[00:02:04.520 --> 00:02:06.360]  我若用方言土告
[00:02:06.360 --> 00:02:08.000]  是我的靈土告
[00:02:08.000 --> 00:02:10.160]  但我的悟性沒有果效
[00:02:10.160 --> 00:02:12.000]  這卻怎麼樣呢
[00:02:12.000 --> 00:02:13.520]  我要用靈土告
[00:02:13.520 --> 00:02:15.240]  也要用悟性土告
[00:02:15.240 --> 00:02:16.760]  我要用靈歌唱
[00:02:16.760 --> 00:02:18.240]  也要用悟性歌唱
[00:02:18.240 --> 00:02:19.440]  留意15節
[00:02:19.440 --> 00:02:20.840]  他好像在講四件事
[00:02:20.840 --> 00:02:22.240]  但簡單來講兩件事
[00:02:22.240 --> 00:02:23.600]  他說我用靈土告
[00:02:23.600 --> 00:02:25.960]  也要用靈歌唱
[00:02:25.960 --> 00:02:27.240]  我用悟性土告
[00:02:27.240 --> 00:02:29.400]  也要用悟性歌唱
[00:02:29.400 --> 00:02:30.880]  如果你簡單地說
[00:02:30.880 --> 00:02:32.680]  其實土告和歌唱
[00:02:32.680 --> 00:02:34.440]  根本是同一件事
[00:02:34.440 --> 00:02:35.680]  你留意一件事
[00:02:35.680 --> 00:02:36.800]  我在講的東西
[00:02:36.800 --> 00:02:39.640]  都是有音律和拍子的
[00:02:39.640 --> 00:02:40.880]  音樂也是
[00:02:40.880 --> 00:02:41.600]  OK行不行
[00:02:41.600 --> 00:02:43.120]  所以簡單來講
[00:02:43.120 --> 00:02:45.520]  基督徒走到神面前的時間
[00:02:45.520 --> 00:02:46.800]  我們的溝通
[00:02:46.800 --> 00:02:47.440]  是在講
[00:02:47.440 --> 00:02:48.480]  我們用靈
[00:02:48.480 --> 00:02:51.000]  也同樣用悟性
[00:02:51.000 --> 00:02:52.840]  很長一段時間教會里
[00:02:52.840 --> 00:02:54.680]  很多時候在悟性的教導裏
[00:02:54.680 --> 00:02:57.000]  我們都出了法寶
[00:02:57.000 --> 00:02:59.160]  很努力在建立
[00:02:59.160 --> 00:03:02.040]  我們悟性土告的能力和方法
[00:03:02.040 --> 00:03:03.200]  但另一件事就是
[00:03:03.200 --> 00:03:04.360]  有不少時候
[00:03:04.360 --> 00:03:06.240]  我們好像忘卻了
[00:03:06.240 --> 00:03:08.160]  我們好像忘卻了
[00:03:08.160 --> 00:03:09.920]  在靈裏面土告這件事
[00:03:09.920 --> 00:03:10.640]  當然
[00:03:10.640 --> 00:03:11.240]  你說不是啊
[00:03:11.240 --> 00:03:13.200]  牧師初信栽培裏面
[00:03:13.200 --> 00:03:16.320]  教我們全被土告的循環
[00:03:16.320 --> 00:03:18.280]  你記不記得
