
[00:00:00.000 --> 00:00:01.640]  鼎姐妹 早安
[00:00:01.640 --> 00:00:07.820]  好 大家看到這裡有很多「福」字
[00:00:07.820 --> 00:00:10.020]  大家想不想得到福氣
[00:00:10.020 --> 00:00:13.880]  想吧 每個人都想
[00:00:13.880 --> 00:00:17.600]  不過在過去的一年半載裡
[00:00:17.600 --> 00:00:22.280]  世界各地都出現了各種不同的動盪局面
[00:00:22.280 --> 00:00:25.420]  遠的有烏克蘭
[00:00:25.420 --> 00:00:27.840]  泰國的反政府示威
[00:00:27.840 --> 00:00:29.980]  馬航的突然失蹤
[00:00:30.000 --> 00:00:32.140]  歲月號的沉沒
[00:00:32.140 --> 00:00:36.760]  近的有台灣的反服務示威
[00:00:36.760 --> 00:00:39.660]  香港的新聞工作者無故被襲
[00:00:39.660 --> 00:00:42.160]  政改的爭拗
[00:00:42.160 --> 00:00:44.800]  性傾向歧視法案的爭議
[00:00:44.800 --> 00:00:48.140]  還有香港的貧富懸殊的問題越來越厲害
[00:00:48.140 --> 00:00:50.100]  現在已經是世界的第一
[00:00:50.100 --> 00:00:55.200]  全世界似乎都面對著政治的動盪
[00:00:55.200 --> 00:00:58.500]  經濟不穩 民不聊生 道德敗壞
[00:00:58.900 --> 00:01:00.640]  在個人的層面
[00:01:00.640 --> 00:01:04.000]  現在我們的生活似乎越來越不容易
[00:01:04.000 --> 00:01:06.640]  家庭關係的緊張
[00:01:06.640 --> 00:01:08.960]  甚至很多的臨場的慘劇
[00:01:08.960 --> 00:01:11.760]  工作的壓力越來越大
[00:01:11.760 --> 00:01:14.560]  我們會對前途有很多的擔憂
[00:01:14.560 --> 00:01:17.880]  個人情緒方面也都面臨很多的崩潰
[00:01:17.880 --> 00:01:20.600]  身處在這樣的世界
[00:01:20.600 --> 00:01:22.900]  我們到底怎樣可以得福
[00:01:22.900 --> 00:01:25.160]  怎樣可以安居樂業
[00:01:25.160 --> 00:01:28.640]  怎樣可以得到真正的平安福樂呢
[00:01:29.240 --> 00:01:32.760]  今天講的這篇經文
[00:01:32.760 --> 00:01:37.440]  其實就是要帶大家去找出這個蒙福之道
[00:01:37.440 --> 00:01:42.520]  經文頭兩節就告訴我們
[00:01:42.520 --> 00:01:45.320]  怎樣可以得福
[00:01:45.320 --> 00:01:48.360]  怎樣可以成為一個有福的人呢
[00:01:48.360 --> 00:01:51.240]  經文這樣說
[00:01:51.240 --> 00:01:52.720]  不從愛人的計謀
[00:01:52.720 --> 00:01:54.280]  不站罪人的道路
[00:01:54.280 --> 00:01:56.320]  不坐蝕萬人的座位
[00:01:56.320 --> 00:01:58.320]  為喜愛耶和華的律法
[00:01:58.320 --> 00:02:01.160]  昼夜思想者人便為有福
[00:02:01.160 --> 00:02:04.320]  大家留意有三個動詞
[00:02:04.320 --> 00:02:06.120]  不從、不站、不坐
[00:02:06.120 --> 00:02:08.600]  這三個動詞
[00:02:08.600 --> 00:02:10.960]  它描述的是這個有福的人
[00:02:10.960 --> 00:02:13.560]  他避開不做的事
[00:02:13.560 --> 00:02:15.000]  就是無論如何
[00:02:15.000 --> 00:02:17.160]  他們都不會跟從這些惡人
[00:02:17.160 --> 00:02:19.560]  他不會跟他們同行同坐
[00:02:19.560 --> 00:02:22.160]  而同時間大家都留意
[00:02:22.160 --> 00:02:23.800]  三個的名詞
[00:02:23.800 --> 00:02:25.920]  計謀、道路、座位
[00:02:26.080 --> 00:02:28.680]  其實就是帶出人離開神
[00:02:28.680 --> 00:02:31.000]  去效法世界的三部曲
[00:02:31.000 --> 00:02:34.800]  首先我們會接受這些惡人的建議
[00:02:34.800 --> 00:02:37.840]  接著我們就會用他們的方法
[00:02:37.840 --> 00:02:39.960]  最後我們就慣性
[00:02:39.960 --> 00:02:41.920]  我們會採納他們那些
[00:02:41.920 --> 00:02:44.720]  生活上不太妥當的態度
[00:02:44.720 --> 00:02:47.280]  但是一個有福的人
[00:02:47.280 --> 00:02:49.800]  絕對不會聽從惡人的詭計
[00:02:49.800 --> 00:02:53.120]  或者是採納他們任何的行為或者觀點
[00:02:53.640 --> 00:02:57.360]  相反他更加是喜愛耶和華的律法
[00:02:57.360 --> 00:02:58.920]  晝夜思想
[00:02:58.920 --> 00:03:01.440]  要在全部的生活
[00:03:01.440 --> 00:03:03.880]  包括我們的心思意念
[00:03:03.880 --> 00:03:06.040]  我們做人的方向
[00:03:06.040 --> 00:03:08.440]  和我們的角色定位裏面
[00:03:08.440 --> 00:03:12.240]  跟這些惡人、罪人、褻瀆人
[00:03:12.240 --> 00:03:14.000]  來劃清界線
[00:03:14.000 --> 00:03:15.600]  唯一的方法就是
