
[00:00:00.000 --> 00:00:02.500]  弟兄姊妹,祖內平安
[00:00:02.500 --> 00:00:06.800]  我們能夠再次靠神的恩典
[00:00:06.800 --> 00:00:09.000]  能夠來到一起的話
[00:00:09.000 --> 00:00:11.000]  來學習祂的話
[00:00:11.000 --> 00:00:13.000]  因為聖靈引導我們
[00:00:13.000 --> 00:00:16.000]  叫我們在學習祂的話的時候
[00:00:16.000 --> 00:00:21.000]  我們能夠明白並且進入這個話裡頭
[00:00:21.000 --> 00:00:24.000]  叫我們的靈性能夠得到慰養
[00:00:25.000 --> 00:00:30.000]  我們先有一個簡短的禱告
[00:00:30.000 --> 00:00:34.000]  愛我們的神,我們感謝祢
[00:00:34.000 --> 00:00:37.000]  祢給我們有機會再來到祢面前
[00:00:37.000 --> 00:00:39.000]  一同來學習祢的話
[00:00:39.000 --> 00:00:43.000]  願祢的靈自由的運行在我們當中
[00:00:43.000 --> 00:00:47.000]  叫我們無論是分享的,是聽的
[00:00:47.000 --> 00:00:50.000]  都在祢面前一起的蒙恩
[00:00:50.000 --> 00:00:53.000]  願祢在中間為大
[00:00:53.000 --> 00:00:56.000]  叫我們的心都能來歸向祢
[00:00:56.000 --> 00:00:58.000]  我們這樣禱告感謝
[00:00:58.000 --> 00:01:02.000]  是奉耶穌基督的名,阿門
[00:01:02.000 --> 00:01:08.000]  弟兄姊妹
[00:01:08.000 --> 00:01:14.000]  我們今天要來到傳道書的第七講
[00:01:14.000 --> 00:01:16.000]  第七講的題目就是
[00:01:16.000 --> 00:01:20.000]  智慧與順服全病
[00:01:20.000 --> 00:01:23.000]  我們今天要學習的就是在
[00:01:23.000 --> 00:01:27.000]  傳道書的第八章第一節
[00:01:27.000 --> 00:01:31.000]  到第九章的第十節
[00:01:31.000 --> 00:01:38.000]  傳道書的八章一節到九章的十節
[00:01:38.000 --> 00:01:40.000]  這段我們要講到
[00:01:40.000 --> 00:01:46.000]  分享到智慧跟順服全病的關係
[00:01:47.000 --> 00:01:54.000]  我們先來讀第八章的開始的三節聖經
[00:01:54.000 --> 00:02:00.000]  傳道書第八章第一節說
[00:02:00.000 --> 00:02:02.000]  誰如智慧人靈
[00:02:02.000 --> 00:02:06.000]  誰知道事情的解釋呢
[00:02:06.000 --> 00:02:09.000]  人的智慧使他臉發光
[00:02:09.000 --> 00:02:14.000]  並使他臉上的爆氣改變
[00:02:14.000 --> 00:02:18.000]  我勸你遵守王的命令
[00:02:18.000 --> 00:02:23.000]  既知神啟示,理當如此
[00:02:23.000 --> 00:02:27.000]  不要計較離開王的面前
[00:02:27.000 --> 00:02:29.000]  不要固執行惡
[00:02:29.000 --> 00:02:35.000]  因為他凡事都隨自己的心意而行
[00:02:35.000 --> 00:02:38.000]  我們先讀這幾節聖經
[00:02:38.000 --> 00:02:40.000]  下面的經文
[00:02:40.000 --> 00:02:45.000]  我們分享到哪裡的話我們再一起來讀
[00:02:45.000 --> 00:02:50.000]  第八章的第一節就有這樣的一個問題
[00:02:50.000 --> 00:02:53.000]  誰如智慧人呢
[00:02:53.000 --> 00:02:57.000]  誰知道事情的解釋呢
[00:02:57.000 --> 00:03:02.000]  可以說第七章的結尾
[00:03:02.000 --> 00:03:09.000]  是要尋求智慧人對這些事情的解釋
[00:03:09.000 --> 00:03:13.000]  那麼誰是真正的有智慧的人呢
[00:03:13.000 --> 00:03:18.000]  能夠從這些問題中間
[00:03:18.000 --> 00:03:20.000]  能夠找到道路
