
[00:00:00.000 --> 00:00:06.340]  OK,今天就都很快了,五月了,是不是?
[00:00:06.340 --> 00:00:11.100]  這個月已經五月了,有沒有覺得很快?
[00:00:11.100 --> 00:00:13.700]  過去那五個月你做了什麼呢?
[00:00:13.700 --> 00:00:19.620]  數一數,1,2,3,4,5,都不知道,接著就五月了,是不是?
[00:00:19.620 --> 00:00:25.080]  五月的時候,今天想特別跟大家去講一個題目,
[00:00:25.080 --> 00:00:29.720]  這個題目叫做五旬節,有沒有人聽過五旬節?
[00:00:29.720 --> 00:00:34.520]  有聽過,是不是?有沒有人在五旬節教會的以前?
[00:00:34.520 --> 00:00:39.360]  有,OK,那就對了,這些是五月份,
[00:00:39.360 --> 00:00:44.660]  五月份就是五旬節,當然不是五月份才回教會,是不是?
[00:00:44.660 --> 00:00:53.780]  五旬節在聖經裡面其實有一個特別的意思,這個節期,
[00:00:53.780 --> 00:01:00.620]  當然它和Mother's Day有時候在現實上競爭不了,是不是?
[00:01:00.620 --> 00:01:06.120]  但是五旬節在聖經裡面的地位是不可以忽視的,
[00:01:06.120 --> 00:01:12.040]  所以都跟大家去講一講,除了復活節,我們是有五旬節,
[00:01:12.040 --> 00:01:15.680]  五旬節可以說是教會的一個誕生的日子,
[00:01:15.680 --> 00:01:24.040]  英文叫做Pentecost,Pentecost,你們應該聽過這個字,是教會誕生的一天。
[00:01:24.040 --> 00:01:31.000]  如果你記得耶穌基督復活之後,祂不是馬上升天的,是不是?
[00:01:31.000 --> 00:01:34.060]  祂復活之後,祂怎樣?
[00:01:34.060 --> 00:01:37.880]  耶穌基督復活之後,祂和門徒顯現,
[00:01:37.880 --> 00:01:44.440]  在這個《使徒行傳》裡面告訴我們,祂和門徒大概顯現了多少天?
[00:01:44.440 --> 00:01:46.940]  有沒有人記得?
[00:01:46.940 --> 00:01:50.440]  是的,是40天的,在那裡寫,
[00:01:50.440 --> 00:01:56.340]  那就是說,祂一個多月復活之後,一個多月在那裡,
[00:01:56.340 --> 00:02:02.840]  在這個40天裡面,祂有好幾句話是特別在聖經裡面記載的,
[00:02:02.840 --> 00:02:05.780]  當然了,祂有講很多東西,因為在那40天裡面,
[00:02:05.780 --> 00:02:11.000]  祂就和祂的門徒去談論天國的事,在聖經裡面說。
[00:02:11.000 --> 00:02:15.720]  如果你記得耶穌基督在這40天裡面,
[00:02:15.720 --> 00:02:21.540]  首先祂就說過,祂就說大使命,
[00:02:21.540 --> 00:02:27.500]  祂說所有人,你們要去,使萬民作我的門徒。
[00:02:27.500 --> 00:02:30.340]  因為上帝很願意每一個人,
[00:02:30.340 --> 00:02:34.900]  包括我們今天在座的每一位,都成為祂的門徒。
[00:02:34.900 --> 00:02:40.740]  而作為祂的門徒,祂這裡說到要奉聖父、聖子、聖靈的名,
[00:02:40.740 --> 00:02:47.460]  給他們施洗、施浸,當然了,這個也是很應該的。
