
[00:00:00.000 --> 00:00:02.680]  英勇姐妹早安
[00:00:02.680 --> 00:00:05.520]  母親節快樂
[00:00:05.520 --> 00:00:07.760]  美國人最喜歡說
[00:00:07.760 --> 00:00:10.600]  April shower bring May flower
[00:00:10.600 --> 00:00:13.920]  四月的雨帶來五月的花
[00:00:13.920 --> 00:00:14.880]  所以感謝主
[00:00:14.880 --> 00:00:19.840]  我們在這種春暖花開的季節向我們的母親們致敬
[00:00:19.840 --> 00:00:21.880]  這實在是非常溫馨
[00:00:21.880 --> 00:00:23.560]  美好的事情
[00:00:23.560 --> 00:00:28.320]  那看見我們的孩子們向媽媽們獻花
[00:00:28.320 --> 00:00:30.200]  唱詩
[00:00:30.200 --> 00:00:32.000]  親愛的媽媽們
[00:00:32.000 --> 00:00:34.520]  你覺不覺得
[00:00:34.520 --> 00:00:39.920]  在我們得到這個尊榮的同時
[00:00:39.920 --> 00:00:42.720]  我們也要感謝我們的天父
[00:00:42.720 --> 00:00:43.920]  把這麼可愛
[00:00:43.920 --> 00:00:46.120]  這麼好的孩子們給我們
[00:00:46.120 --> 00:00:51.440]  甚至我們在主裏頭的弟兄姊妹也是我們的家人
[00:00:51.440 --> 00:00:53.200]  Hallelujah 感謝主
[00:00:53.200 --> 00:00:57.600]  那當我們在享受我們孩子的愛的時候呢
[00:00:57.600 --> 00:01:01.360]  我們是不是也有一份屬靈的責任
[00:01:01.360 --> 00:01:05.600]  我們要爲下一代預備傳承
[00:01:05.600 --> 00:01:13.680]  要問你自己如何能夠在這個末後的世代裏頭爲神預備合用的器皿
[00:01:13.680 --> 00:01:14.920]  讓我們低頭禱告
[00:01:14.920 --> 00:01:20.000]  親愛天父主耶穌聖靈法
[00:01:20.000 --> 00:01:23.040]  還是我們感謝你
[00:01:23.040 --> 00:01:26.840]  真是在這個歡喜的季節裏面
[00:01:26.840 --> 00:01:30.200]  當我們看到我們的孩子都這麼的愛我們
[00:01:30.200 --> 00:01:33.200]  向我們獻上尊榮
[00:01:33.200 --> 00:01:35.120]  詩歌花朵
[00:01:35.120 --> 00:01:35.440]  主啊
[00:01:35.440 --> 00:01:38.560]  我們也想到主你的愛
[00:01:38.560 --> 00:01:41.240]  主你也是那樣的愛我們
[00:01:41.240 --> 00:01:41.560]  主啊
[00:01:41.560 --> 00:01:44.720]  真是當我們在清晨的早上
[00:01:44.720 --> 00:01:47.120]  我們在這裏敬拜讚美的時候
[00:01:47.120 --> 00:01:48.440]  主
[00:01:48.440 --> 00:01:50.240]  你也在笑嗎
[00:01:50.240 --> 00:01:55.520]  所以說我們再一次的將今天的時間獻在主你的手中
[00:01:55.520 --> 00:01:57.000]  願你開我們的心
[00:01:57.000 --> 00:01:58.440]  對我們說話
[00:01:58.440 --> 00:02:01.680]  讓我們不只是在享受做母親的喜樂
[00:02:01.680 --> 00:02:04.840]  我們也看到我們做母親的責任
[00:02:04.840 --> 00:02:05.400]  謝謝你
[00:02:05.400 --> 00:02:06.320]  主耶穌
[00:02:06.320 --> 00:02:08.200]  奉耶穌的名祈禱
[00:02:08.200 --> 00:02:08.560]  阿妹
[00:02:08.560 --> 00:02:11.040]  嗯
[00:02:11.040 --> 00:02:15.560]  我是一個很愛看電視的人
[00:02:15.560 --> 00:02:18.560]  那有一個影集呢
[00:02:18.560 --> 00:02:21.760]  是在演這個FBI的警探
[00:02:21.760 --> 00:02:27.520]  那他們FBI是在保護這個社會的安全
[00:02:27.520 --> 00:02:30.000]  維持秩序啊
[00:02:30.000 --> 00:02:31.560]  做很多的事情
