
[00:00:00.000 --> 00:00:06.000]  主持人:各位好,今天想和大家分享一個題目是「忍耐到底」,
[00:00:06.000 --> 00:00:14.000]  經文是雅各書的五章七至十一節,先和大家講一個片段,
[00:00:14.000 --> 00:00:21.000]  記得在很多年前,有些機會可以去到喜寧洲做一些報道的工作,
[00:00:21.000 --> 00:00:27.000]  當時能夠去到一個少年人的地方,他們不是正式的監禁,
[00:00:27.000 --> 00:00:32.000]  不過也是一個地方他們要在那裡戒毒等等,
[00:00:32.000 --> 00:00:39.000]  很多少年人因為他們有吸毒的問題,所以都去到那個地方要接受一些生命的重整,
[00:00:39.000 --> 00:00:42.000]  我們有機會在那裡去做報道的工作,
[00:00:42.000 --> 00:00:46.000]  很深的印象見到很多少年人他們為什麼要吸毒,
[00:00:46.000 --> 00:00:51.000]  因為他們生命沒有任何的方向,不知道自己應該要做些什麼,
[00:00:51.000 --> 00:00:59.000]  但當他們在毒品吸入的時間,他們的生命可以突然跳到另一個世界,
[00:00:59.000 --> 00:01:05.000]  他們可以離開世上一切的痛苦,暫時有一個喘息的空間。
[00:01:05.000 --> 00:01:11.000]  曾經和一個少年人聊過天,他大概也是十幾歲,中學生的年紀,
[00:01:11.000 --> 00:01:16.000]  我問他你出去之後你會做什麼,他說我都不知道自己做什麼,
[00:01:16.000 --> 00:01:20.000]  我都沒有什麼想做,其實我沒有什麼方向感,
[00:01:20.000 --> 00:01:25.000]  他說他覺得自己的生命其實很沒有盼望,什麼都不想做,
[00:01:25.000 --> 00:01:28.000]  我說你為什麼會這樣覺得你自己的生命很沒有盼望,
[00:01:28.000 --> 00:01:34.000]  他說我好像自己走了一個隧道一樣,那個隧道很黑,
[00:01:34.000 --> 00:01:38.000]  我看不到盡頭,我一路走,我都試過努力走,
[00:01:38.000 --> 00:01:43.000]  不過一路走,其實都是黑漆漆的,什麼都看不到,
[00:01:43.000 --> 00:01:48.000]  我被他的圖畫震撼了我的心,
[00:01:48.000 --> 00:01:53.000]  因為當一個人很沒有盼望的時候,他很絕望的時候,
[00:01:53.000 --> 00:01:58.000]  他覺得自己好像一個黑暗的世界,他很想走出這個黑暗的地方,
[00:01:58.000 --> 00:02:03.000]  但是他永遠都找不到一個光明的出路,
[00:02:03.000 --> 00:02:10.000]  有時候我想人去到一個低谷,去到一個困難,去到一個試煉的時間,
[00:02:10.000 --> 00:02:15.000]  他覺得自己生命很多的艱難的時候,
[00:02:15.000 --> 00:02:22.000]  其實沒有什麼盼望的東西能夠讓他重新振作,
[00:02:22.000 --> 00:02:26.000]  人好像活在一個黑暗的世界裡面,很沒有盼望,
[00:02:26.000 --> 00:02:29.000]  今天這段經文其實都是提到一班基督徒,
[00:02:29.000 --> 00:02:32.000]  他們都面對一個很艱難的狀況,
