
[00:00:00.000 --> 00:00:02.960]  來到這位神的面前是這位喜樂的神
[00:00:02.960 --> 00:00:05.680]  所以你要歡喜快樂來讚美祂
[00:00:05.680 --> 00:00:08.720]  不要讓你的感覺來決定你
[00:00:08.720 --> 00:00:12.080]  要讓你的意志你的信心來決定你的人生
[00:00:12.080 --> 00:00:16.400]  這是非常重要的一個操練
[00:00:16.400 --> 00:00:20.000]  每一天我們需要學習這樣子來過生活
[00:00:20.000 --> 00:00:23.840]  否則這個世界很多的問題各式各樣的難處
[00:00:23.840 --> 00:00:26.240]  會排山倒海的來壓在你身上
[00:00:26.240 --> 00:00:28.000]  你靠自己沒有辦法的
[00:00:28.000 --> 00:00:33.360]  一定要每一天靠著祂來得勝喜樂
[00:00:33.360 --> 00:00:37.920]  這是菲律賓書整個的一個重要主題就是喜樂
[00:00:37.920 --> 00:00:39.760]  十四次講到喜樂
[00:00:39.760 --> 00:00:41.360]  保羅一再提喜樂
[00:00:41.360 --> 00:00:45.280]  所以我們在這裡讀這卷書的時候很重要
[00:00:45.280 --> 00:00:47.200]  雖然保羅也提到難處
[00:00:47.200 --> 00:00:51.680]  雖然保羅也提到人生的問題
[00:00:51.680 --> 00:01:01.280]  保羅說我忘記背後努力面前向著標杆直跑
[00:01:01.280 --> 00:01:04.880]  這是上次我們的信息對不對
[00:01:04.880 --> 00:01:08.800]  保羅把這一切過去曾經在纏繞他的
[00:01:08.800 --> 00:01:12.400]  不管是過去的傷害過去的失敗
[00:01:12.400 --> 00:01:14.720]  他都不斷地忘掉
[00:01:14.720 --> 00:01:17.920]  甚至把過去那些成功的經驗
[00:01:17.920 --> 00:01:21.040]  哇 希伯來所生的希伯來人是不是
[00:01:21.040 --> 00:01:24.000]  他是在加瑪烈的門下受教
[00:01:24.000 --> 00:01:28.160]  他是哈佛大學最高等的學院裡面的
[00:01:28.160 --> 00:01:31.440]  法學系的高材生
[00:01:31.440 --> 00:01:35.600]  他把這些通通地忘記
[00:01:35.600 --> 00:01:38.320]  親愛的同志們
[00:01:38.320 --> 00:01:42.400]  不但但是忘記而且努力面前
[00:01:42.400 --> 00:01:45.120]  向著什麼直跑
[00:01:45.120 --> 00:01:46.720]  誰是標杆
[00:01:46.720 --> 00:01:48.800]  耶穌基督是我們的標杆
[00:01:48.800 --> 00:01:52.560]  跟你旁邊說耶穌是你的標杆
[00:01:52.560 --> 00:01:53.520]  親愛的同志們
[00:01:53.520 --> 00:01:56.480]  所以保羅講完這個之後
[00:01:56.480 --> 00:01:58.480]  他接著他就說
[00:01:58.480 --> 00:02:05.840]  弟兄們你們要一同效法我
[00:02:05.840 --> 00:02:12.800]  也要留意看那些照我們榜樣行的人
[00:02:12.800 --> 00:02:16.000]  好 保羅說你們要效法我
[00:02:16.000 --> 00:02:18.320]  保羅在這個地方講的效法我
[00:02:18.320 --> 00:02:19.600]  是不是
