
[00:00:00.000 --> 00:00:01.600]  各位頂子妹
[00:00:01.600 --> 00:00:05.880]  如果要你去形容你今天所看到的世界
[00:00:05.880 --> 00:00:08.800]  或者你所經歷的人生
[00:00:08.800 --> 00:00:11.320]  你如何去回應呢
[00:00:11.320 --> 00:00:13.360]  你如何去表述呢
[00:00:13.360 --> 00:00:15.080]  看這幅圖好不好
[00:00:15.080 --> 00:00:23.720]  這個世界是充滿天災人禍
[00:00:23.720 --> 00:00:29.720]  這幅圖是緬甸左排地震之後的情景
[00:00:29.720 --> 00:00:35.000]  一個不是經常有地震的國家
[00:00:35.000 --> 00:00:38.680]  竟然遇上這麼嚴重的地震
[00:00:38.680 --> 00:00:42.120]  帶來數以千計的人死亡
[00:00:42.120 --> 00:00:44.520]  其實怎止是緬甸
[00:00:44.520 --> 00:00:49.000]  很多地方充滿天災人禍
[00:00:49.000 --> 00:00:51.560]  或者極端的天氣
[00:00:51.560 --> 00:00:56.240]  令我震撼原來創造主是這麼偉大
[00:00:56.240 --> 00:01:00.080]  是這麼威嚴的 是令人震懾的
[00:01:00.080 --> 00:01:02.400]  這就是我們看到的世界
[00:01:02.400 --> 00:01:04.720]  除此之外還有什麼
[00:01:04.720 --> 00:01:07.680]  看看下幅圖
[00:01:07.680 --> 00:01:11.600]  這是經歷過戰火的也門
[00:01:11.600 --> 00:01:16.200]  是可以看到的真正的戰爭
[00:01:16.200 --> 00:01:21.080]  這個戰爭帶來很多無辜的人家破人亡
[00:01:21.080 --> 00:01:25.760]  同時間也仇恨心中
[00:01:25.760 --> 00:01:29.720]  一輩子都要記住這個仇恨
[00:01:29.720 --> 00:01:32.760]  其實除了有煙的戰火
[00:01:32.760 --> 00:01:36.320]  其實世界上有很多無煙的戰火
[00:01:36.320 --> 00:01:39.680]  包括什麼呢
[00:01:39.680 --> 00:01:43.800]  包括以下這幅圖所顯示的
[00:01:43.800 --> 00:01:46.960]  有些戰爭叫做無煙的戰爭
[00:01:46.960 --> 00:01:51.440]  貿易戰或者叫做關稅戰
[00:01:51.440 --> 00:01:55.600]  帶來的是生活陷入困境
[00:01:55.600 --> 00:01:58.480]  很多人因為這兩國的對撼
[00:01:58.480 --> 00:02:00.920]  帶來生活很多的艱難
[00:02:00.920 --> 00:02:03.040]  苦不堪言
[00:02:03.040 --> 00:02:05.800]  除了兩個大國帶來的戰爭之外
[00:02:05.800 --> 00:02:08.920]  其實人與人之間也有很多戰爭
[00:02:08.920 --> 00:02:11.480]  看看這兩幅圖
[00:02:11.480 --> 00:02:15.320]  左邊的我們稱它為口水戰
[00:02:15.320 --> 00:02:18.880]  右邊的我稱它為攻心戰
