
[00:00:00.000 --> 00:00:02.000]  各位大紀元姐妹平安
[00:00:02.000 --> 00:00:08.220]  今天是《提摩太前書》系列講道的第二講
[00:00:08.220 --> 00:00:12.200]  上星期侯姑娘已經講了《提摩太前書》的很多背景
[00:00:12.200 --> 00:00:14.700]  今天不侵脆重複了
[00:00:14.700 --> 00:00:18.440]  但是倘若大家繼續打開聖經的話
[00:00:18.440 --> 00:00:21.360]  從《提摩太前書》一章三至十節
[00:00:21.360 --> 00:00:24.220]  我們會看到當時的背景就是
[00:00:24.220 --> 00:00:26.880]  很多異教、異端、假教師
[00:00:26.880 --> 00:00:30.940]  各樣與正道無關的爭論
[00:00:30.940 --> 00:00:33.960]  不敬虔、不道德、不合法
[00:00:33.960 --> 00:00:38.120]  各樣犯罪的事情竟然在擾亂教會
[00:00:38.120 --> 00:00:41.640]  甚至有人是凋棄良心
[00:00:41.640 --> 00:00:46.900]  妄讀應該可以使他得救的真道
[00:00:46.900 --> 00:00:50.640]  《提摩太前書》三章十四十五節
[00:00:50.640 --> 00:00:52.860]  剛才主席與我們讀的經文
[00:00:52.860 --> 00:00:57.260]  講出了保羅寫信給提摩太太的原因
[00:00:57.260 --> 00:00:59.280]  保羅說:倘若我單言日走
[00:00:59.280 --> 00:01:01.520]  你也可以知道在神的家中
[00:01:01.520 --> 00:01:03.120]  當怎樣行
[00:01:03.120 --> 00:01:05.460]  這家就是永生神的教會
[00:01:05.460 --> 00:01:08.060]  真理的柱石和根基
[00:01:08.060 --> 00:01:15.840]  用一個簡單的禱告
[00:01:15.840 --> 00:01:19.020]  願二萬人得救並且明白真道的主
[00:01:19.020 --> 00:01:20.640]  我們讚美你
[00:01:20.640 --> 00:01:22.360]  我們敬拜你
[00:01:22.360 --> 00:01:24.820]  求你賜下恩光
[00:01:24.820 --> 00:01:26.520]  幫助我們的兒女
[00:01:26.520 --> 00:01:30.040]  讓我們也能夠明白聖經
[00:01:30.040 --> 00:01:33.380]  讓我們知道在你再來之前
[00:01:33.380 --> 00:01:37.000]  我們當如何行事為人
[00:01:37.000 --> 00:01:38.740]  奉耶穌基督之名禱告
[00:01:38.740 --> 00:01:41.500]  阿門
[00:01:41.500 --> 00:01:44.820]  大概十年前有一本是繪籍人口的書籍
[00:01:44.820 --> 00:01:48.420]  相信很多人都看過
[00:01:48.420 --> 00:01:50.640]  《標竿人生》裡面
[00:01:50.640 --> 00:01:54.100]  默克利牧師提出了一個很重要的問題
[00:01:54.100 --> 00:01:56.900]  我究竟為何而活
[00:01:56.900 --> 00:01:58.460]  很多人因為看了這本書
[00:01:58.460 --> 00:02:00.820]  重新思想人生的目的
[00:02:00.820 --> 00:02:05.380]  不少人因此而沉默耶穌基督
[00:02:05.380 --> 00:02:07.420]  加入教會
[00:02:07.420 --> 00:02:10.820]  無論我們從什麼原因加入教會
[00:02:10.820 --> 00:02:12.640]  回到教會一段時間
[00:02:12.640 --> 00:02:14.020]  不知道你有沒有想過
[00:02:14.020 --> 00:02:18.160]  又或者有沒有人問過你
[00:02:18.160 --> 00:02:21.240]  究竟何謂教會?
[00:02:21.240 --> 00:02:25.700]  教會的存在有什麼目的?
[00:02:25.700 --> 00:02:27.180]  要達成這些目的
[00:02:27.180 --> 00:02:31.140]  究竟教會當作何事?
[00:02:31.140 --> 00:02:33.200]  我今天和大家
[00:02:33.200 --> 00:02:35.640]  和《齊摩太前書》第二和第三章
[00:02:35.640 --> 00:02:36.940]  就是思考這三個
[00:02:36.940 --> 00:02:39.940]  What? Why? 和 How? 的問題
[00:02:39.940 --> 00:02:41.020]  我們講的題目是
[00:02:41.020 --> 00:02:44.660]  「在神的家當怎樣行」
[00:02:44.660 --> 00:02:47.340]  「在神的家當怎樣行」第一點
[00:02:47.340 --> 00:02:52.900]  究竟何謂教會?
[00:02:52.900 --> 00:02:55.580]  如果我們打開《齊摩太前書》第一章
[00:02:55.580 --> 00:02:59.640]  我們會發覺很多東西擺在我們眼前
[00:02:59.640 --> 00:03:01.260]  我們可能沒有留意到
[00:03:01.260 --> 00:03:03.540]  但是一講你就會看到
[00:03:03.540 --> 00:03:06.860]  原來保羅在《齊摩太前書》一章
[00:03:06.860 --> 00:03:09.260]  是佈下天羅地網
[00:03:09.260 --> 00:03:13.540]  寫了很多與「救恩」和「福音」有關的字詞
[00:03:13.540 --> 00:03:14.420]  不單止第一章
[00:03:14.420 --> 00:03:16.180]  第二章、第三章都有
[00:03:16.180 --> 00:03:18.100]  我們再看看
[00:03:18.100 --> 00:03:20.060]  保羅在一章十一至十四節
[00:03:20.060 --> 00:03:21.980]  其實是講了他自己簡單的
[00:03:21.980 --> 00:03:25.140]  「救恩」和「蒙損召」的見證
[00:03:25.140 --> 00:03:26.100]  更重要的是
[00:03:26.100 --> 00:03:29.900]  在第一章一開始劈頭就是「救主神」
[00:03:29.900 --> 00:03:35.460]  然後連續兩次重覆「基督耶穌」的稱號
[00:03:35.460 --> 00:03:37.220]  「基督」是甚麼?
[00:03:37.220 --> 00:03:38.060]  「基督」是甚麼?
[00:03:38.060 --> 00:03:39.820]  「基督」是「救主」
[00:03:39.820 --> 00:03:41.260]  「救主」「基督」的稱號
[00:03:41.260 --> 00:03:44.100]  也在其餘的經文不斷地重覆
[00:03:44.100 --> 00:03:47.100]  單在第一章已經重覆了起碼六、七次
[00:03:47.100 --> 00:03:48.180]  一章二節
[00:03:48.180 --> 00:03:49.540]  「恩順主」
[00:03:49.540 --> 00:03:53.580]  還有一個是帶著「福音」意味很濃厚的祝福語
[00:03:53.580 --> 00:03:55.220]  「願因為」
[00:03:55.220 --> 00:03:56.860]  「救恩」是「因為」
[00:03:56.860 --> 00:03:58.380]  是神的憐憫
[00:03:58.380 --> 00:04:00.100]  與神和好的
[00:04:00.100 --> 00:04:02.460]  平安從父神我們的主
[00:04:02.460 --> 00:04:05.340]  基督耶穌歸於你
[00:04:05.340 --> 00:04:06.100]  十一節
[00:04:06.100 --> 00:04:07.180]  榮耀的福音
[00:04:07.180 --> 00:04:08.340]  一章十五節
[00:04:08.340 --> 00:04:11.820]  基督耶穌降世為要拯救罪人
[00:04:11.820 --> 00:04:15.100]  十六節 信祂得永生
[00:04:15.100 --> 00:04:16.500]  二章四節
[00:04:16.500 --> 00:04:19.740]  神願以萬人得救明白真道
[00:04:19.740 --> 00:04:22.220]  降世為人的基督耶穌
[00:04:22.220 --> 00:04:24.780]  寫字基作萬人的贖價
[00:04:24.780 --> 00:04:26.020]  三章十六節
[00:04:26.020 --> 00:04:27.820]  神在肉身顯現
[00:04:27.820 --> 00:04:28.940]  被聖靈稱義
[00:04:28.940 --> 00:04:30.300]  被天使看見
[00:04:30.300 --> 00:04:31.700]  被傳於外邦
[00:04:31.700 --> 00:04:33.140]  被世人信服
[00:04:33.140 --> 00:04:35.460]  被接載榮耀裡
[00:04:35.460 --> 00:04:38.660]  整個救恩和傳福音的信息全說了
[00:04:38.660 --> 00:04:41.820]  耶穌基督道成肉身
[00:04:41.820 --> 00:04:43.940]  以義代替不義
[00:04:43.940 --> 00:04:45.340]  天使來侍奉神
[00:04:45.340 --> 00:04:47.980]  在抗疫當中
[00:04:47.980 --> 00:04:49.300]  還有呢
[00:04:49.300 --> 00:04:51.460]  耶穌基督成就救恩
[00:04:51.460 --> 00:04:52.980]  復活
[00:04:52.980 --> 00:04:54.460]  復活的信息
[00:04:54.460 --> 00:04:56.100]  在主升天之後
[00:04:56.100 --> 00:04:58.020]  被傳於外邦
[00:04:58.020 --> 00:05:02.780]  被歷代世人接受
[00:05:02.780 --> 00:05:06.260]  相信
[00:05:06.260 --> 00:05:07.380]  神升天
[00:05:07.380 --> 00:05:09.100]  接載榮耀裡
[00:05:09.100 --> 00:05:10.020]  這個榮耀
[00:05:10.020 --> 00:05:11.820]  他日還要再臨
[00:05:11.820 --> 00:05:12.900]  整個故事
[00:05:12.900 --> 00:05:16.100]  全部都是關於福音和救恩
[00:05:16.100 --> 00:05:17.860]  這麼密集的福音字句
[00:05:17.860 --> 00:05:23.620]  究竟保羅想做什麼?
[00:05:23.620 --> 00:05:24.820]  這麼重要的字句
