
[00:00:00.000 --> 00:00:04.060]  「恩典之路」確是在人生不同的階段
[00:00:04.060 --> 00:00:05.920]  無論是結婚的時候
[00:00:05.920 --> 00:00:08.020]  甚至是在喪禮的時候
[00:00:08.020 --> 00:00:10.400]  你發覺都會唱這首歌
[00:00:10.400 --> 00:00:14.980]  我們人生任何階段都需要「恩典」
[00:00:14.980 --> 00:00:16.840]  你錯信也好
[00:00:16.840 --> 00:00:18.360]  信了主也好
[00:00:18.360 --> 00:00:20.940]  你是傳道人或者不是傳道人
[00:00:20.940 --> 00:00:22.620]  我都告訴你你需要什麼
[00:00:22.620 --> 00:00:25.040]  是救贖主耶穌的「恩典」
[00:00:25.040 --> 00:00:27.760]  因為這份「恩典」是真真實實
[00:00:27.760 --> 00:00:30.140]  我們每個人都要不單止明白
[00:00:30.140 --> 00:00:33.940]  而且要經歷 要活出來
[00:00:33.940 --> 00:00:36.360]  我昨天晚上11點多
[00:00:36.360 --> 00:00:39.700]  收到我兒時的一個好朋友
[00:00:39.700 --> 00:00:41.600]  是我的死黨 一個弟兄
[00:00:41.600 --> 00:00:43.340]  一個WhatsApp
[00:00:43.340 --> 00:00:48.860]  他很少這麼晚會發訊息給我
[00:00:48.860 --> 00:00:50.000]  11點多
[00:00:50.000 --> 00:00:52.020]  對很多人可能不是很晚
[00:00:52.020 --> 00:00:53.520]  特別是香港人
[00:00:53.520 --> 00:00:55.300]  但我收到的時候
[00:00:55.300 --> 00:00:59.380]  我突然間覺得他無端發一個這樣的訊息給我
[00:00:59.380 --> 00:01:00.680]  你知道是什麼嗎
[00:01:00.680 --> 00:01:02.940]  「新加坡航空公司」
[00:01:02.940 --> 00:01:05.040]  「有免費機票」
[00:01:05.040 --> 00:01:06.420]  「快點上網」
[00:01:06.420 --> 00:01:08.740]  「兩張免費的」
[00:01:08.740 --> 00:01:11.300]  我一看到 嘩 這麼棒
[00:01:11.300 --> 00:01:14.360]  我馬上就點進去
[00:01:14.360 --> 00:01:15.080]  怎麼看呢
