
[00:00:00.000 --> 00:00:02.000]  這是今天的題目
[00:00:02.000 --> 00:00:05.760]  過去 現在 跟將來
[00:00:05.760 --> 00:00:11.020]  請問一下你們當中有學過
[00:00:11.020 --> 00:00:13.400]  在小學 在初中 在高中
[00:00:13.400 --> 00:00:17.320]  有學過中文的 文法的 舉手一下
[00:00:17.320 --> 00:00:21.200]  哇 不少人啊 不少人這樣
[00:00:21.200 --> 00:00:27.740]  你們家裡有中文的 文法書的 舉手一下
[00:00:28.780 --> 00:00:31.700]  哇 以後借一本給我看一下
[00:00:31.700 --> 00:00:33.700]  還沒看過中文
[00:00:33.700 --> 00:00:37.640]  中文的時態 就是這個時間
[00:00:37.640 --> 00:00:39.640]  過去 將來
[00:00:39.640 --> 00:00:41.880]  而且 平常是這樣
[00:00:41.880 --> 00:00:43.880]  我們中文就是說
[00:00:43.880 --> 00:00:45.880]  昨天我去教會
[00:00:45.880 --> 00:00:47.880]  昨天就代表過去了 對不對
[00:00:47.880 --> 00:00:50.380]  昨天我去教會
[00:00:50.380 --> 00:00:53.040]  然後今天我去教會 對不對
[00:00:53.040 --> 00:00:56.000]  我們這個動詞就不用改變了 對不對
[00:00:56.000 --> 00:00:58.000]  明天我去教會
[00:00:58.000 --> 00:01:00.000]  所以 這個過去
[00:01:00.000 --> 00:01:03.000]  就是用今天 昨天 將來
[00:01:03.000 --> 00:01:05.000]  但是英文就很複雜
[00:01:05.000 --> 00:01:07.000]  英文你就要思想一下
[00:01:07.000 --> 00:01:09.000]  請問一下 你現在在講英文的時候
[00:01:09.000 --> 00:01:11.000]  特別是講這個動詞的時候
[00:01:11.000 --> 00:01:13.000]  你需要思考一下
[00:01:13.000 --> 00:01:15.000]  到底要用這個 past tense
[00:01:15.000 --> 00:01:17.000]  還是這個 participle
[00:01:17.000 --> 00:01:19.000]  你還要思考的 請舉手一下
[00:01:19.000 --> 00:01:23.000]  不用思考的 請舉手一下
[00:01:23.000 --> 00:01:25.000]  不用思考的就很厲害了
[00:01:25.000 --> 00:01:27.000]  不用思考的有兩種
[00:01:27.000 --> 00:01:29.000]  都全部用現在式
[00:01:29.000 --> 00:01:33.000]  那一種就是
[00:01:33.000 --> 00:01:35.000]  還要想一下
[00:01:35.000 --> 00:01:37.000]  有時候知道要唸出來真是不容易
[00:01:37.000 --> 00:01:39.000]  特別是我們要想一下
[00:01:39.000 --> 00:01:41.000]  這到底是過去還是過去
[00:01:41.000 --> 00:01:43.000]  完成式
[00:01:43.000 --> 00:01:45.000]  在這個希臘文
[00:01:45.000 --> 00:01:47.000]  就是新約是用希臘文所寫的
[00:01:47.000 --> 00:01:49.000]  希臘文的時態
[00:01:49.000 --> 00:01:51.000]  是非常的重要
[00:01:51.000 --> 00:01:53.000]  對這個新約聖經的
[00:01:53.000 --> 00:01:55.000]  學生來講
[00:01:55.000 --> 00:01:57.000]  要特別注重這個時態
[00:01:57.000 --> 00:01:59.000]  那希臘文的這個時態
[00:01:59.000 --> 00:02:01.000]  是很複雜的
[00:02:01.000 --> 00:02:03.000]  我讀希臘文的時候
[00:02:03.000 --> 00:02:05.000]  真是覺得 哇 這麼複雜
