
[00:00:00.000 --> 00:00:04.200]  好啦!咁我哋呢,言歸正傳就睇返《彼得前書》啦
[00:00:04.200 --> 00:00:07.800]  星期六嘅上晝,就會同大家用解經式嘅講道
[00:00:07.800 --> 00:00:09.400]  嚟睇《彼得前書》
[00:00:09.400 --> 00:00:11.400]  今日我哋喺《徐時後命》
[00:00:11.400 --> 00:00:13.400]  彼得話畀我哋聽
[00:00:13.400 --> 00:00:16.600]  一個人如果熱心行善嘅時候呢
[00:00:16.600 --> 00:00:19.400]  神必定嘅會嚟帶去祝福
[00:00:19.400 --> 00:00:21.400]  熱心行善嘅時候
[00:00:21.400 --> 00:00:23.400]  唔會有人嚟到加害我哋
[00:00:23.400 --> 00:00:26.000]  縱使有人加害我哋都好啦
[00:00:26.000 --> 00:00:29.200]  神都會嚟到為我哋嚟帶去補償
[00:00:29.200 --> 00:00:31.200]  會護庇我哋
[00:00:31.200 --> 00:00:35.000]  佢甚至話為義受苦嘅人係有福嘅
[00:00:35.000 --> 00:00:37.600]  好啦!特別喺呢段經文裏面
[00:00:37.600 --> 00:00:39.000]  彼得提醒我哋
[00:00:39.000 --> 00:00:41.000]  有陣時我哋唔好驚人啊
[00:00:41.000 --> 00:00:43.000]  人好容易會威嚇我哋
[00:00:43.000 --> 00:00:46.400]  有人會驚,於是就會嚟去轉軚
[00:00:46.400 --> 00:00:48.600]  但係神話你要驚嘅係神
[00:00:48.600 --> 00:00:50.000]  而唔係人
[00:00:50.000 --> 00:00:53.200]  所以佢話我哋就需要嚟帶去行善
[00:00:53.200 --> 00:00:55.400]  呢個係我上一個月呢
[00:00:55.400 --> 00:00:58.800]  所講嘅善道難行嘅道
[00:00:58.800 --> 00:01:01.000]  咁大家可以上網聽返嘅
[00:01:01.000 --> 00:01:03.400]  好啦!但係跟住彼得就講
[00:01:03.400 --> 00:01:05.800]  你要隨時準備
[00:01:05.800 --> 00:01:07.600]  俾人挑戰你
[00:01:07.600 --> 00:01:09.200]  挑戰你嘅生活
[00:01:09.200 --> 00:01:10.800]  挑戰你嘅信仰
[00:01:10.800 --> 00:01:12.800]  質疑你所信嘅事
[00:01:12.800 --> 00:01:15.600]  當人哋嚟帶去詢問我哋
[00:01:15.600 --> 00:01:17.400]  了解我哋嘅信仰
[00:01:17.400 --> 00:01:19.000]  或佢出於善意
[00:01:19.000 --> 00:01:21.200]  或者出於惡意嘅時候
[00:01:21.200 --> 00:01:23.600]  你會點樣去面對呢?
[00:01:23.600 --> 00:01:25.800]  我唔知弟兄姊妹
[00:01:25.800 --> 00:01:27.400]  你有冇經歷過
[00:01:27.400 --> 00:01:29.400]  隨時可能俾你嘅同事
[00:01:29.400 --> 00:01:31.000]  俾你嘅家人
[00:01:31.000 --> 00:01:32.800]  或者一啲嘅朋友
[00:01:32.800 --> 00:01:34.400]  去問你信仰
[00:01:34.400 --> 00:01:37.000]  有陣時係出於善意嘅查詢
[00:01:37.000 --> 00:01:40.000]  有陣時係出於惡意嘅挑戰
[00:01:40.000 --> 00:01:42.000]  你點樣去回應佢呢?
[00:01:42.000 --> 00:01:44.600]  係咪姐係話你去問個牧師啦咁樣
[00:01:44.600 --> 00:01:47.600]  定還是有陣時我哋啞口無言
[00:01:47.600 --> 00:01:49.400]  或者係唯唯諾諾
[00:01:49.400 --> 00:01:51.200]  或者係口若懸河嘅
[00:01:51.200 --> 00:01:53.200]  去回應佢呢咁樣
[00:01:53.200 --> 00:01:55.400]  好!我哋會嚟睇呢段經文
[00:01:55.400 --> 00:01:58.000]  去教導我哋點樣去面對
[00:01:58.000 --> 00:01:59.200]  我哋先再嚟讀
[00:01:59.200 --> 00:02:02.200]  譬如前書第三章嘅第十五節
[00:02:02.200 --> 00:02:04.200]  我哋一齊嚟大學去再讀第十五節
[00:02:04.200 --> 00:02:05.200]  我哋一齊嚟讀出
[00:02:05.200 --> 00:02:07.400]  《基督教宗教主義主義》
[00:02:07.400 --> 00:02:08.800]  《基督教律政》
[00:02:08.800 --> 00:02:10.600]  《基督教主義主義主義》
[00:02:10.600 --> 00:02:12.400]  《基督教律政》
[00:02:12.400 --> 00:02:14.400]  《基督教主義主義主義》
[00:02:14.400 --> 00:02:17.800]  《基督教主義主義主義》
[00:02:17.800 --> 00:02:20.400]  呢度有兩方面唔同嘅心態
[00:02:20.400 --> 00:02:21.400]  第一就係
[00:02:21.400 --> 00:02:24.000]  尊基督為聖
[00:02:24.000 --> 00:02:27.600]  佢話今日當你嚟大學尊基督為聖嘅時候
