
[00:00:00.000 --> 00:00:05.640]  好,我們再看這個話題,我們正在談健康的教會
[00:00:05.640 --> 00:00:07.760]  第一個問題想問大家的
[00:00:07.760 --> 00:00:12.700]  一個健康的教會,當然就是一班健康的基督徒來組成,對吧?
[00:00:12.700 --> 00:00:20.740]  一個健康的基督徒應該是怎樣的?
[00:00:20.740 --> 00:00:24.540]  好像醫生報告那樣,是不是?最近有沒有看醫生?
[00:00:24.540 --> 00:00:30.540]  有啊,是不是?我去了check up(檢查)了,醫生就跟我說,你小心一點
[00:00:30.540 --> 00:00:34.840]  有些東西是不等待入口的,你就不要放入口,ok?
[00:00:34.840 --> 00:00:39.380]  他就說,你都不小了,是不是?應該留意一下你自己
[00:00:39.380 --> 00:00:44.220]  接著你又睡得不好,是不是?加起來買了很多東西,你就玩完了
[00:00:44.220 --> 00:00:51.180]  他就給了我一個報告,我就說,ok,有些東西是需要承認的,是不是?
[00:00:51.180 --> 00:00:58.980]  我自己都有在生活上,或者在食譜上,一些調整
[00:00:58.980 --> 00:01:02.980]  吃的東西少了等等,吃的東西少了不是因為窮
[00:01:02.980 --> 00:01:06.480]  吃的東西少了是因為有些東西是放不入口的,那就算了,ok?
[00:01:06.480 --> 00:01:09.780]  我就不吃這麼多我喜歡吃的東西
[00:01:09.780 --> 00:01:15.380]  一個medical report,聖經給我們教會基督徒
[00:01:15.380 --> 00:01:22.380]  到時候有一個medical report,去check check,到底你是不是健康
[00:01:22.380 --> 00:01:25.580]  check check到底是不是healthy
[00:01:25.580 --> 00:01:29.380]  我記得在這個series裡面問過這個問題
[00:01:29.380 --> 00:01:35.680]  是不是信得耶穌來的,就知道,很明白
[00:01:35.680 --> 00:01:41.580]  一個健康的教會,一個健康的屬靈生命,就應該是怎樣的?
[00:01:41.580 --> 00:01:46.680]  是不是信得耶穌來的,就知道,不是吧?
[00:01:46.680 --> 00:01:53.180]  可能是初信的,更加清楚,就是shame on us,right?
[00:01:53.180 --> 00:01:57.080]  有時候是信得耶穌來的,反而不太知道,是不是?
[00:01:57.080 --> 00:02:02.380]  問一問健康的基督徒是怎樣的?一個健康的教會應該是怎樣的?ok?
[00:02:02.380 --> 00:02:08.580]  健康的教會應該是怎樣的?舉個例子
[00:02:08.580 --> 00:02:12.180]  一個好的餐館,應該是怎樣的?
[00:02:12.180 --> 00:02:15.180]  是不是那個menu什麼都有?
[00:02:15.180 --> 00:02:19.180]  是不是有成千樣menu,你進去選的時候,不知道怎麼選的?
[00:02:19.180 --> 00:02:20.780]  有沒有去過那些餐館?
[00:02:20.780 --> 00:02:28.380]  百多個menu item,不知道怎麼選,選了15分鐘都沒選到
