
[00:00:00.000 --> 00:00:02.480]  今天 我們就好像這裏所說
[00:00:02.480 --> 00:00:05.080]  萬事如意 如主的心意
[00:00:05.080 --> 00:00:08.000]  燒口常開 願我們有喜樂平安的心
[00:00:08.000 --> 00:00:09.800]  當我們打開主的話語的時候
[00:00:09.800 --> 00:00:11.000]  願主打開我們的心
[00:00:11.000 --> 00:00:12.840]  我們先做一個禱告
[00:00:12.840 --> 00:00:16.840]  親愛的主 今天我們來聆聽禰的話語 禰的道
[00:00:16.840 --> 00:00:20.120]  當我們今天打開禰的話語的時候
[00:00:20.120 --> 00:00:22.360]  求主給我們一個共經的心
[00:00:22.360 --> 00:00:25.120]  謙卑的心 來領受禰的話語
[00:00:25.120 --> 00:00:27.000]  以致我們能夠被轉化
[00:00:27.000 --> 00:00:30.080]  我們的生命可以更加的消化基督
[00:00:30.080 --> 00:00:31.760]  願禰的名字得榮耀
[00:00:31.760 --> 00:00:35.200]  這樣禱告封主 明求 阿面
[00:00:35.200 --> 00:00:37.120]  過去幾年很多人就說
[00:00:37.120 --> 00:00:40.080]  我們都面對很多的危機
[00:00:40.080 --> 00:00:42.520]  不懂你有沒有同感
[00:00:42.520 --> 00:00:44.400]  很多的各地的報章
[00:00:44.400 --> 00:00:46.960]  通常都會在年底的時候
[00:00:46.960 --> 00:00:48.680]  都會選出一個字
[00:00:48.680 --> 00:00:51.560]  就是說他們叫一年的代表的字
[00:00:51.560 --> 00:00:55.280]  最近在臺灣 還有在日本
[00:00:55.280 --> 00:00:57.120]  還有中國大陸他們的報章
[00:00:57.120 --> 00:00:59.960]  也會選出一些字眼
[00:00:59.960 --> 00:01:02.200]  有其中一個字是危機的危
[00:01:02.200 --> 00:01:04.000]  危險的危 那個字
[00:01:04.000 --> 00:01:06.480]  還有另外一個是疫情那個疫
[00:01:06.480 --> 00:01:09.240]  那比較多地方選的那個字是疫
[00:01:09.240 --> 00:01:12.280]  因爲他們認爲過去幾年
[00:01:12.280 --> 00:01:14.600]  無論在世界各地不同的國家
[00:01:14.600 --> 00:01:15.840]  不同的地方
[00:01:15.840 --> 00:01:18.960]  他們都面對無論是健康上面的
[00:01:18.960 --> 00:01:23.200]  經濟上面的社會變化上面的危機
[00:01:23.200 --> 00:01:25.040]  弟兄姐妹你有這種感覺嗎
[00:01:25.040 --> 00:01:27.000]  好像世界好像是
