
[00:00:00.000 --> 00:00:06.000]  我以前曾經講過說,其實在聖經裏面舊約最難讀的一卷書就是雅歌
[00:00:06.000 --> 00:00:09.000]  那麼新約最難讀的是啓示錄
[00:00:09.000 --> 00:00:14.000]  但是我也不知道爲什麼終於來到了雅歌的系列
[00:00:14.000 --> 00:00:18.000]  其實我信主這麼久,全世間侍奉已經七年了
[00:00:18.000 --> 00:00:22.000]  這只是第一次能夠在講臺上有機會講雅歌
[00:00:22.000 --> 00:00:26.000]  我都很少碰這本書,所以也要花很多的時間去讀
[00:00:26.000 --> 00:00:29.000]  那麼其實雅歌很難讀,因爲雅歌有一個
[00:00:29.000 --> 00:00:32.000]  其中有一個最難讀的地方是因爲
[00:00:32.000 --> 00:00:38.000]  你知道雅歌是一篇愛情的詩,那麼它的原作不是中文
[00:00:38.000 --> 00:00:42.000]  那麼因爲原作不是中文,詩有這個特性就是
[00:00:42.000 --> 00:00:47.000]  凡是你離開了原作的文字,那種美妙的特色就會不見
[00:00:47.000 --> 00:00:52.000]  就比方說,舉個例子,你想想看如果我們的唐詩三百首
[00:00:52.000 --> 00:00:57.000]  很出名,但是如果你有沒有看過唐詩三百首英文版
[00:00:57.000 --> 00:01:02.000]  那如果你讀過,你就知道說完全失去那個味道
[00:01:02.000 --> 00:01:05.000]  你們看英文版的那個什麼
[00:01:05.000 --> 00:01:08.000]  抬頭望明月,低頭試故鄉
[00:01:08.000 --> 00:01:11.000]  然後你翻成英文,I raise my head and look at the moon
[00:01:11.000 --> 00:01:14.000]  And I bow down my head and think about my hometown
[00:01:14.000 --> 00:01:19.000]  然後外國人聽到就覺得這什麼爛詩,還名詩呢
[00:01:19.000 --> 00:01:23.000]  但是不是因爲這首詩本身的問題
[00:01:23.000 --> 00:01:26.000]  是因爲它的原作是中文
[00:01:26.000 --> 00:01:29.000]  一旦翻成英文就失去了原本詩那個味道
[00:01:29.000 --> 00:01:32.000]  所以有時候你讀雅歌的時候,你讀得奇奇怪怪
[00:01:32.000 --> 00:01:35.000]  就是你讀中文版的雅歌,無論你怎麼讀
