
[00:00:00.000 --> 00:00:06.360]  看到每一位今天都是高高興興 快快樂樂 環環喜喜 健健康康的
[00:00:06.360 --> 00:00:08.360]  是不是
[00:00:08.360 --> 00:00:11.280]  其實我們每一個都非常健康
[00:00:11.280 --> 00:00:15.480]  從老的到小 男的到女的 都很健康
[00:00:15.480 --> 00:00:17.480]  是的 感謝神
[00:00:17.480 --> 00:00:21.320]  那麼這是一個積極的正面的思想跟態度
[00:00:21.320 --> 00:00:24.040]  尤其我們在今天這個世代
[00:00:24.040 --> 00:00:27.760]  我最近在看《啟示錄》
[00:00:27.760 --> 00:00:35.480]  他在第六章講到說 白馬出來了 紅馬出來了 黑馬出來了 灰馬出來了
[00:00:35.480 --> 00:00:41.040]  其實那個是第一印跟第二印 三四印的時候
[00:00:41.040 --> 00:00:43.440]  那個白馬不是耶穌基督的白馬
[00:00:43.440 --> 00:00:46.440]  那也是一個戰爭
[00:00:46.440 --> 00:00:48.440]  紅馬也是戰爭
[00:00:48.440 --> 00:00:51.440]  所以希望不要發生
[00:00:51.440 --> 00:00:55.760]  戰爭兩個地方會發生
[00:00:55.760 --> 00:00:57.760]  然後黑馬
[00:00:57.760 --> 00:00:59.760]  他是說是
[00:00:59.760 --> 00:01:03.760]  經濟出了問題 還有飢荒來到
[00:01:03.760 --> 00:01:08.760]  所以也希望不是因為貿易戰 或者是整個經濟衰退
[00:01:08.760 --> 00:01:11.760]  那灰馬 是說瘟疫要來
[00:01:11.760 --> 00:01:15.760]  又看到這個網路上面那個消息
[00:01:15.760 --> 00:01:17.760]  看得心都灰了
[00:01:17.760 --> 00:01:19.760]  越看越怕
[00:01:19.760 --> 00:01:21.760]  是不是
[00:01:21.760 --> 00:01:24.760]  其實呢 今天我就要來跟各位來講
[00:01:24.760 --> 00:01:28.760]  積極正面的思想跟態度
[00:01:28.760 --> 00:01:30.760]  因為我們知道
[00:01:30.760 --> 00:01:32.760]  每一個危機呀
[00:01:32.760 --> 00:01:34.760]  都是轉機
[00:01:34.760 --> 00:01:35.760]  您知道嗎
[00:01:35.760 --> 00:01:37.760]  當我們進入
