
[00:00:00.000 --> 00:00:03.440]  歡迎大家來到我們的「周六常大」
[00:00:03.440 --> 00:00:05.240]  三個星期之前
[00:00:05.240 --> 00:00:08.680]  我們開始了一個新的講道系列
[00:00:08.680 --> 00:00:12.280]  是主耶穌基督的主禱文
[00:00:12.280 --> 00:00:15.240]  主禱文在聖經的哪一道呢?
[00:00:15.240 --> 00:00:18.840]  在《馬太福音》的第六章
[00:00:18.840 --> 00:00:22.480]  就是在《馬太福音》第五章和第七章之間
[00:00:22.480 --> 00:00:28.040]  也就是在耶穌登山補訓中心的部分
[00:00:28.320 --> 00:00:32.120]  《馬太福音》第六章是關於什麼呢?
[00:00:32.120 --> 00:00:36.800]  簡單來說是關於耶穌的一刹教導
[00:00:36.800 --> 00:00:39.960]  如果你就這樣看你的中文聖經或者你的英文聖經
[00:00:39.960 --> 00:00:44.000]  就是將耶穌對不同的教導列舉出來
[00:00:44.000 --> 00:00:46.280]  耶穌論施捨
[00:00:46.280 --> 00:00:47.960]  耶穌論禱告
[00:00:47.960 --> 00:00:49.360]  耶穌論禁食
[00:00:49.360 --> 00:00:50.960]  耶穌論財寶
[00:00:50.960 --> 00:00:54.080]  耶穌論憂慮
[00:00:54.080 --> 00:00:56.240]  如果你只是這樣讀的時候
[00:00:56.240 --> 00:01:00.560]  你根本沒有辦法讀到《馬太福音》第六章的焦點
[00:01:00.560 --> 00:01:05.320]  《馬太福音》第六章真正的焦點是天父
[00:01:05.320 --> 00:01:08.760]  天父
[00:01:08.760 --> 00:01:15.480]  是耶穌在介紹我們所認識的上帝是天父
[00:01:15.480 --> 00:01:19.440]  於是在第一部分你看到最後天父的賞賜
[00:01:19.440 --> 00:01:20.640]  天父的賞賜
[00:01:20.640 --> 00:01:23.200]  第二部分、第三部分天父的賞賜
[00:01:23.200 --> 00:01:25.880]  第四部分天父的財寶
[00:01:25.880 --> 00:01:27.560]  或者是天上的財寶
[00:01:27.560 --> 00:01:31.960]  最後天父都知道
[00:01:31.960 --> 00:01:35.360]  馬太在介紹給我們認識
[00:01:35.360 --> 00:01:38.120]  上帝究竟是我們的誰
[00:01:38.120 --> 00:01:43.320]  馬太也是將登山部份的宗心放在禱告那裏
[00:01:43.320 --> 00:01:46.640]  登山部份的宗心《馬太福音》第六章
[00:01:46.640 --> 00:01:49.200]  教導我們如何禱告
[00:01:49.200 --> 00:01:51.480]  怎樣不禱告
