
[00:00:00.000 --> 00:00:04.300]  第一章已經講了很多「耶穌是甚麼?耶穌是誰?」
[00:00:04.300 --> 00:00:06.300]  「耶穌是太初的道」
[00:00:06.300 --> 00:00:10.200]  「耶穌是與神同在的道」
[00:00:10.200 --> 00:00:17.500]  「耶穌是那真光要照亮一切生在世上的人」
[00:00:17.500 --> 00:00:24.900]  「耶穌是神的羔羊要除去世人罪孽的」
[00:00:24.900 --> 00:00:28.700]  「耶穌是尼塞亞是基督」
[00:00:29.500 --> 00:00:33.800]  「耶穌是神的兒子是以色列的王」
[00:00:33.800 --> 00:00:40.400]  但是第二章是怎樣跟著這個這麼豐富的
[00:00:40.400 --> 00:00:44.500]  耶穌基督的很多很多的名字繼續去演繹呢?
[00:00:44.500 --> 00:00:47.100]  先來再看一看第一章五十一節
[00:00:47.100 --> 00:00:48.400]  不過這個情節會沒有
[00:00:48.400 --> 00:00:49.300]  所以我讀一讀
[00:00:49.300 --> 00:00:51.300]  或者你喜歡打開聖經看一次也好
[00:00:51.300 --> 00:00:53.800]  《約翰福音》第一章五十一節我讀給你聽
[00:00:53.800 --> 00:00:58.000]  在臨二章開始之前的一章尾他這樣講
[00:00:58.000 --> 00:01:01.900]  「又說我實實在在的告訴你們」
[00:01:01.900 --> 00:01:06.600]  「你們將要看見天開了」
[00:01:06.600 --> 00:01:12.800]  「神的使者上去下來在人子身上」
[00:01:12.800 --> 00:01:18.400]  「你們將要看見天開了」
[00:01:18.400 --> 00:01:24.800]  「神的使者上去下來在人子身上」
[00:01:27.500 --> 00:01:30.300]  主應許我們我們一定要看見
[00:01:30.300 --> 00:01:33.600]  我不知道你在你的生命
[00:01:33.600 --> 00:01:34.600]  或者我的生命裏面
[00:01:34.600 --> 00:01:39.000]  我們認為我們看見了耶穌
[00:01:39.000 --> 00:01:41.600]  是誰沒有呢?
[00:01:41.600 --> 00:01:45.100]  當聖經這樣去見證著
[00:01:45.100 --> 00:01:48.300]  「我們將要看見天打開」
[00:01:48.300 --> 00:01:52.200]  「耶穌身上是有使者上去下來」
[00:01:52.200 --> 00:01:53.300]  是甚麼意思?
[00:01:53.300 --> 00:01:55.500]  其實這裡很明顯是在講
[00:01:55.500 --> 00:01:57.500]  耶穌一切的身份
[00:01:57.500 --> 00:01:58.700]  祂是太初的道
[00:01:58.700 --> 00:01:59.700]  祂是神羔羊
[00:01:59.700 --> 00:02:00.800]  祂是尼塞亞
[00:02:00.800 --> 00:02:02.000]  祂是神兒子
[00:02:02.000 --> 00:02:03.400]  祂要達成一個目的
[00:02:03.400 --> 00:02:04.400]  只有一件
[00:02:04.400 --> 00:02:06.800]  就是將天打開
[00:02:06.800 --> 00:02:11.100]  讓我們這群子本來是屬於地上的人
[00:02:11.100 --> 00:02:13.800]  我們都有神的使者
