
[00:00:00.000 --> 00:00:03.560]  好,弟兄姊妹,今天給大家分享的題目是
[00:00:03.560 --> 00:00:06.040]  做主的小驢驅
[00:00:06.040 --> 00:00:08.400]  那經文是記載在
[00:00:08.400 --> 00:00:12.840]  馬太福音的二十一章一到十一節
[00:00:12.840 --> 00:00:16.720]  我們先來一起誦讀這一段的經文
[00:00:16.720 --> 00:00:21.320]  耶穌和門徒將近耶路撒冷
[00:00:21.320 --> 00:00:23.040]  到了伯伐齊
[00:00:23.040 --> 00:00:25.120]  在橄欖山那裡
[00:00:25.120 --> 00:00:28.600]  耶穌就打發兩個門徒對他們說
[00:00:29.000 --> 00:00:31.320]  你們往對面村子裡去
[00:00:31.320 --> 00:00:33.560]  必看見一匹驢
[00:00:33.560 --> 00:00:34.520]  栓在那裡
[00:00:34.520 --> 00:00:37.360]  還有驢驅同在一處
[00:00:37.360 --> 00:00:38.680]  你們解開
[00:00:38.680 --> 00:00:40.360]  牽到我這裡來
[00:00:40.360 --> 00:00:42.400]  若有人對你們說
[00:00:42.400 --> 00:00:43.160]  什麼
[00:00:43.160 --> 00:00:44.680]  你們就說
[00:00:44.680 --> 00:00:45.960]  主要用他
[00:00:45.960 --> 00:00:49.320]  那人必立死讓你們牽來
[00:00:49.320 --> 00:00:51.480]  這事成就
[00:00:51.480 --> 00:00:54.320]  就是要應驗先師的話說
[00:00:54.320 --> 00:00:57.400]  要對西安的居民說
[00:00:57.520 --> 00:01:01.560]  看啊 你的王來到你這裡是溫柔的
[00:01:01.560 --> 00:01:02.720]  又騎著驢
[00:01:02.720 --> 00:01:05.640]  就是騎著驢驅子
[00:01:05.640 --> 00:01:09.800]  門徒就照耶穌所吩咐的去行
[00:01:09.800 --> 00:01:12.160]  牽了驢和驢驅來
[00:01:12.160 --> 00:01:15.040]  把自己的衣服搭在上面
[00:01:15.040 --> 00:01:17.040]  耶穌就騎上
[00:01:17.040 --> 00:01:20.960]  眾人多半把衣服鋪在路上
[00:01:20.960 --> 00:01:24.520]  還有人砍下樹枝來鋪在路上
[00:01:25.080 --> 00:01:28.040]  前行後隨的眾人喊著說
[00:01:28.040 --> 00:01:30.520]  和善納歸於大衛的子孫
[00:01:30.520 --> 00:01:34.080]  奉主名來的是應當稱頌的
[00:01:34.080 --> 00:01:36.400]  高高在上和善納
[00:01:36.400 --> 00:01:39.000]  耶穌既進了耶路撒冷
[00:01:39.000 --> 00:01:42.280]  合成的人就都驚動了
[00:01:42.280 --> 00:01:43.640]  說這是誰
[00:01:43.640 --> 00:01:49.000]  眾人說這是加利利拿撒勒的先知耶穌
[00:01:49.000 --> 00:01:53.840]  這段的經文短短的只有十一節
[00:01:53.840 --> 00:01:58.160]  可是它是非常戲劇性的一個情節
[00:01:58.160 --> 00:02:03.760]  而且也算是耶穌祂的侍奉生涯裡面的一個小高潮
[00:02:03.760 --> 00:02:10.800]  這段經文是講到耶穌祂要騎著驢驅要進入耶路撒冷
[00:02:10.800 --> 00:02:13.000]  就是當時的京城
[00:02:13.000 --> 00:02:17.960]  我們想到說如果是一個君王要進城
