
[00:00:00.000 --> 00:00:04.140]  今天我們會開始一個新的講道系列
[00:00:04.140 --> 00:00:06.640]  我們會一同學習《撒加利亞書》
[00:00:06.640 --> 00:00:10.480]  這本書的作者就是撒加利亞
[00:00:10.480 --> 00:00:13.840]  撒加利亞是利未之派
[00:00:13.840 --> 00:00:15.920]  出身是祭司家族
[00:00:15.920 --> 00:00:17.700]  他是先知、祭司
[00:00:17.700 --> 00:00:20.000]  也是一個族長
[00:00:20.000 --> 00:00:22.400]  撒加利亞可以說
[00:00:22.400 --> 00:00:26.160]  生長在一個很沮喪、悲傷
[00:00:26.160 --> 00:00:30.200]  但是同時又充滿希望的一個年代
[00:00:30.200 --> 00:00:34.760]  絕望的原因是因為猶大國在撒加利亞之前的幾十年
[00:00:34.760 --> 00:00:38.040]  就已經被敵國所殲滅
[00:00:38.040 --> 00:00:42.200]  聖城和聖殿都被拆毀
[00:00:42.200 --> 00:00:44.920]  但是現在到撒加利亞的時候
[00:00:44.920 --> 00:00:51.240]  他們充滿希望的原因是因為他們70年之後
[00:00:51.240 --> 00:00:53.360]  現在得到批准
[00:00:53.360 --> 00:00:58.000]  可以回到耶路撒冷重建聖殿
[00:00:58.000 --> 00:00:59.680]  是很開心的事
[00:00:59.680 --> 00:01:02.960]  不過在聖殿的根基完成之後
[00:01:02.960 --> 00:01:04.800]  卻遭到阻撓
[00:01:04.800 --> 00:01:06.640]  一阻
[00:01:06.640 --> 00:01:10.720]  停工就停了15年之久
[00:01:10.720 --> 00:01:16.480]  15年之後的百姓似乎都忘記了要建造聖殿這件事
[00:01:16.480 --> 00:01:19.520]  撒加利亞就在這本書裡面
[00:01:19.520 --> 00:01:20.920]  寫了這本書
[00:01:20.920 --> 00:01:26.760]  去勸勉百姓要恢復重建聖殿的工程
[00:01:26.760 --> 00:01:32.880]  因為大家都知道聖殿是代表著人與神之間的同在
[00:01:32.880 --> 00:01:34.880]  我們都知道了
[00:01:34.880 --> 00:01:38.680]  神在人世間的同在
[00:01:38.680 --> 00:01:41.040]  這個事實和應許
[00:01:41.040 --> 00:01:42.400]  最後
[00:01:42.400 --> 00:01:45.160]  是要到我們主耶穌基督出現的時候
[00:01:45.160 --> 00:01:49.760]  才在耶穌基督的身上被具體實現和應驗的
[00:01:49.760 --> 00:01:51.560]  大概是這個原因
[00:01:51.560 --> 00:01:57.040]  這本書裡面充滿了耶穌基督的預言
[00:01:57.040 --> 00:02:04.120]  所以這本書雖然在距離今天已經有超過2500年的時間
[00:02:04.120 --> 00:02:05.400]  但是
[00:02:05.400 --> 00:02:07.680]  和我們今天的信仰
[00:02:07.680 --> 00:02:12.840]  這本書的內容仍然相當的有關聯
[00:02:12.840 --> 00:02:15.400]  對於昔日的猶太人來說
[00:02:15.400 --> 00:02:19.600]  就算他們在重建聖殿的時候遇到很多的困難
[00:02:19.600 --> 00:02:22.080]  每一件事都好像很不順利
[00:02:22.080 --> 00:02:24.920]  他們不能夠控制得了
[00:02:24.920 --> 00:02:30.560]  但是撒加利亞仍然堅持一個信念
[00:02:30.560 --> 00:02:34.280]  這個信念就是神仍然掌控一切
[00:02:34.280 --> 00:02:37.840]  雖然在過往的歷史裡他們惹神的憤怒
[00:02:37.840 --> 00:02:39.840]  不過神的憤怒已經消散
[00:02:39.840 --> 00:02:41.840]  雖然他們受了懲罰
[00:02:41.840 --> 00:02:47.160]  不過在他們被擄的這70年的裡面
[00:02:47.160 --> 00:02:51.320]  他們吸取了很大的教訓
[00:02:51.320 --> 00:02:54.200]  雖然他們因此而失去他們的國家
[00:02:54.200 --> 00:02:57.400]  他們的聖城和聖殿
[00:02:57.400 --> 00:03:04.200]  不過現在他們也重新獲得神的愛
[00:03:04.200 --> 00:03:08.080]  在約書雅這本書裡面
[00:03:08.080 --> 00:03:12.360]  神的話語通過八個意象
[00:03:12.360 --> 00:03:14.800]  就臨到撒加利亞
[00:03:14.800 --> 00:03:18.720]  今天這段經文裡面的故事
[00:03:18.720 --> 00:03:22.720]  記載了第四個意象
[00:03:22.720 --> 00:03:24.000]  故事一開始的時候
[00:03:24.000 --> 00:03:29.480]  大祭司約書雅就站在耶和華的使者面前
[00:03:29.480 --> 00:03:33.360]  而另外一個故事人物撒丹
[00:03:33.360 --> 00:03:35.720]  也站在當中
[00:03:35.720 --> 00:03:37.920]  在約書雅的右邊
[00:03:37.920 --> 00:03:39.000]  不僅站在那裡
[00:03:39.000 --> 00:03:41.800]  還跟約書雅作對
[00:03:41.800 --> 00:03:44.000]  作對是什麼意思呢?
[00:03:44.000 --> 00:03:48.400]  這個字可以翻譯為「控告」
[00:03:48.400 --> 00:03:49.600]  我們要留意
[00:03:49.600 --> 00:03:52.000]  「作對」這個字的希伯來原文
[00:03:52.000 --> 00:03:54.400]  和撒丹的字是同一個字
[00:03:54.400 --> 00:03:55.560]  不過一個是動詞
[00:03:55.560 --> 00:03:57.240]  一個是名詞
[00:03:57.240 --> 00:04:02.000]  撒丹這個字本身的意思就是對抗者
[00:04:02.000 --> 00:04:03.560]  甚至是敵人
