
[00:00:00.000 --> 00:00:06.360]  老弟姊妹,讓我們在靈見主,道義先,讓我們一起同心低頭,禱告,仰望主人神。
[00:00:06.360 --> 00:00:13.760]  慈悲天父,多謝你,讓我們能夠再次回來,在你的說話的面前學習,求主你的靈與我同在。
[00:00:13.760 --> 00:00:27.160]  讓我們能夠聽到的是主你的信息,能夠聽見的是上帝你的拯救,能夠聽到的,並且學會如何在這個地上而活的,是你的指示,求你與我們同在。
[00:00:27.160 --> 00:00:38.440]  讓每一個屬於主你的人,都能夠在今天同蒙恩福,將這段時間,無論講的,聽的,都能夠在聖靈當中同蒙恩惠。
[00:00:38.440 --> 00:00:43.800]  很高峰的東西,靠主耶穌的德性的名字,對嗎?
[00:00:43.800 --> 00:00:53.800]  在今天我們回教會,很多時候有很多期望,教會的信徒回教會,想教會給他們一些東西。
[00:00:53.800 --> 00:01:06.760]  我自己看,當我們活在一個今天的教會環境裡,如果我們帶著這些信徒,只是在教會上祈求教會給你的時候,
[00:01:06.760 --> 00:01:16.240]  有沒有想過,我其實同樣是上帝要我在這個群體裡面,去付出給上帝的子民呢?
[00:01:16.240 --> 00:01:24.160]  但很可惜的是,很多時候人只是看自己的角度,這個也可以說是罪人本身的特點。
[00:01:24.160 --> 00:01:35.040]  於是回到教會,每個人就算有些好像很虔誠的信徒也好,他們有時候覺得,我來到這裡是要買服務。
[00:01:35.040 --> 00:01:45.360]  於是即使回到一間教會裡面,他們覺得每一樣東西,其實我都要有些回報,有些東西我要拿回來才能走。
[00:01:45.360 --> 00:01:53.200]  甚至有傳道人覺得回到教會裡面,其實好像是賣一些東西給信徒,讓他們可以買一些東西回家。
[00:01:53.200 --> 00:01:58.160]  但究竟教會是不是這樣的存在呢?
[00:01:58.160 --> 00:02:09.920]  今天我會跟大家思想這個題目,我相信大家都會很熟悉,這個題目叫做「堅持到底的門號,才被拯救」。
[00:02:09.920 --> 00:02:23.520]  我們想去看一下,究竟今天教會活在這個地上的角色,甚至去反映出究竟今天我們自己活在教會裡面的時候,當盡的責任是什麼。
[00:02:23.520 --> 00:02:35.840]  而不是只是了得,來到教會裡面,好像我出去喝一杯茶一樣,我付了幾千日,幾千金錢,我們要買到幾好的水準。
[00:02:35.840 --> 00:02:52.720]  尤其是現在的人,很喜歡吃的,漠強如吃漢,所以YouTube那些短片,都是教你去哪裡,有什麼東西吃,給什麼錢,值不值,去討論這件事。
[00:02:52.720 --> 00:03:02.480]  教會今天如果信徒回去以為,噢,我奉獻了一些錢給教會,教會就要有些什麼給我。
[00:03:02.480 --> 00:03:18.400]  既然我回來教會,我就要買一個屬靈的安慰,我來教會,我給了一些錢,我奉獻了一些錢,於是我們就要有一個什麼樣的環境,來幫助我,使我覺得很神聖。
[00:03:18.400 --> 00:03:47.840]  於是我們會留意到,今天教會很多時候就會有信徒來到,就說,我在教會支持了你多少了,於是教會就要給多少的環境給我看了,譬如建堂的,很多教會很喜歡建堂,我不是說建堂錯誤,但是建堂的時候,於是我有捐錢的,我要教會那塊彩色玻璃是我捐的。
[00:03:47.840 --> 00:04:02.160]  誰有沒有捐誰的房間,誰的椅子,不知道大家有沒有去過一些教會,那些教會的房間,或者那些椅子全部釘了名字,什麼什麼弟兄姊妹奉獻的。
[00:04:02.160 --> 00:04:15.920]  為什麼要這樣做呢?神經一電,是不是真的要由弟兄姊妹你的名字刻上去建造呢?其實很多時候這些做法是人的很好的技能。
[00:04:15.920 --> 00:04:26.160]  當人以為自己在這個教會,我有份放進去,那我就要有個名字放進去,其實這種思維是一種買賣的思維。
[00:04:26.160 --> 00:04:40.560]  上帝和我們的關係不是在一個買賣關係裡面,如果要買賣的時候,上帝根本不需要去拯救我們,因為我們根本就是一個腐壞到腐敗到不堪的人,怎麼吃都要拯救。
[00:04:40.560 --> 00:04:59.920]  不要說什麼,我昨晚半夜兩點鐘搭飛機回來,搭飛機的時候,有一個人來到搭電梯,電梯很大的,他們兩夫婦推車進去,其實還有位置可以移一移,我們可以一家四口走進去。
