
[00:00:00.000 --> 00:00:05.520]  我記得上一次跟大家介紹主禱文時
[00:00:05.520 --> 00:00:07.720]  跟大家說主禱文其實
[00:00:07.720 --> 00:00:11.960]  一個比較好的名稱
[00:00:11.960 --> 00:00:14.320]  叫它做「門徒的禱告」
[00:00:14.320 --> 00:00:18.320]  因為主禱文不是耶穌基督自己的禱告
[00:00:18.320 --> 00:00:20.920]  它是教門徒如何禱告
[00:00:20.920 --> 00:00:23.800]  主禱文亦不是讓我們用來唸
[00:00:23.800 --> 00:00:26.520]  雖然唸了對我們有好處
[00:00:26.520 --> 00:00:29.600]  其實主禱文是一個大綱
[00:00:29.600 --> 00:00:31.400]  是一個模式
[00:00:31.400 --> 00:00:35.920]  教導我們如何才能有自己的禱告
[00:00:35.920 --> 00:00:38.120]  我們見到主禱文
[00:00:38.120 --> 00:00:42.600]  其實這個大綱一開始就是用讚美開始
[00:00:42.600 --> 00:00:44.920]  我們要讚美神開始
[00:00:44.920 --> 00:00:50.600]  然後我們才看我們生命當中的優先次序
[00:00:50.600 --> 00:00:53.400]  要將神放在第一位
[00:00:53.400 --> 00:00:59.800]  然後我們就能夠求我們自己所需要的東西
[00:00:59.800 --> 00:01:02.800]  通常我們都會求物質上的需要
[00:01:02.800 --> 00:01:08.600]  但不要忘記我們亦有靈裡面的需要
[00:01:08.600 --> 00:01:10.800]  另外求完之後
[00:01:10.800 --> 00:01:13.800]  我們可以求同神同人的關係
[00:01:13.800 --> 00:01:15.200]  這個很重要
[00:01:15.200 --> 00:01:19.000]  我們同人的關係是反映出我們同神的關係
[00:01:19.000 --> 00:01:23.400]  然後我們可以求神保守我們、保護我們
[00:01:23.400 --> 00:01:27.400]  最後是再用讚美來結束
[00:01:27.400 --> 00:01:29.200]  我們亦都說過
[00:01:29.200 --> 00:01:34.600]  主禱文是有一個很精彩的首尾結構
[00:01:34.600 --> 00:01:39.400]  這個首尾結構讓我們見到有三件事需要注意
[00:01:39.400 --> 00:01:43.800]  第一件當然是要讚美進入我們的禱告
[00:01:43.800 --> 00:01:48.600]  所以一開始一收尾都是讚美神
[00:01:48.600 --> 00:01:54.200]  然後我們是可以調整我們的心
[00:01:54.200 --> 00:01:57.000]  來符合神的旨意
[00:01:57.000 --> 00:01:58.400]  這是第二步
[00:01:58.400 --> 00:02:00.000]  符合他天上的旨意
[00:02:00.000 --> 00:02:02.000]  符合他地上的旨意
[00:02:02.000 --> 00:02:05.200]  因為只有調整了我們的心之後
[00:02:05.200 --> 00:02:07.800]  我們的禱告才會大有能力
[00:02:07.800 --> 00:02:10.200]  這是聖經教我們
[00:02:10.200 --> 00:02:13.600]  然後我們可以為我們自己的需要來求
[00:02:13.600 --> 00:02:14.800]  剛才說過了
[00:02:14.800 --> 00:02:18.200]  不要忘記了有靈裡面的需要
[00:02:18.200 --> 00:02:22.400]  不要只求我們物質上的需要
[00:02:22.400 --> 00:02:25.600]  禱告一開始第一節的經文就是說
[00:02:25.600 --> 00:02:28.200]  「我們在天上的父」
[00:02:28.200 --> 00:02:32.600]  這是非常非常親密的一個關係
[00:02:32.600 --> 00:02:37.200]  我們上一次說主禱文的介紹時都說過
[00:02:37.200 --> 00:02:38.800]  有一個重傷的士兵
[00:02:38.800 --> 00:02:42.600]  他一生人都不肯接受耶穌基督做他的救主
[00:02:42.600 --> 00:02:45.800]  他最後在醫院臨死的時候他接受
[00:02:45.800 --> 00:02:48.800]  他稱這位神為他的父
[00:02:48.800 --> 00:02:51.000]  做他的個人的父
[00:02:51.000 --> 00:02:54.000]  這是非常親密的關係
[00:02:54.000 --> 00:02:57.600]  也只有接受了耶穌基督的人
[00:02:57.600 --> 00:03:01.600]  才能夠稱神為我們的父
[00:03:01.600 --> 00:03:03.400]  成為神的兒女
[00:03:03.400 --> 00:03:07.800]  有很多大兄姐妹可能會說
[00:03:07.800 --> 00:03:08.600]  不是的
[00:03:08.600 --> 00:03:11.400]  我看到有很多聖經的經文
[00:03:11.400 --> 00:03:16.400]  都說神是全世界所有人的父
[00:03:16.400 --> 00:03:20.400]  我們所有人都是神的兒女
[00:03:20.400 --> 00:03:22.600]  其中的經文
[00:03:22.600 --> 00:03:26.400]  可能是《馬拉基書》二章十節
[00:03:26.400 --> 00:03:29.400]  說「我們豈不是一位父嗎?」
[00:03:29.400 --> 00:03:33.200]  「豈不是一位神所造的嗎?」
[00:03:33.200 --> 00:03:34.600]  《仕途行傳》也說
[00:03:34.600 --> 00:03:37.400]  十七章二十六至二十八節
[00:03:37.400 --> 00:03:41.600]  「祂從一本造出萬族的人住在全地上」
[00:03:41.600 --> 00:03:45.400]  「並且預先定准他們的年限」
[00:03:45.400 --> 00:03:47.200]  「和所住的疆界」
[00:03:47.200 --> 00:03:51.400]  「我們生活、動作、存留都在乎祂」
[00:03:51.400 --> 00:03:54.400]  「就如你們作詩的有人說」
[00:03:54.400 --> 00:03:57.400]  「我們也是祂所生的」
[00:03:57.400 --> 00:03:59.400]  有沒有看到經文的確是說
[00:03:59.400 --> 00:04:02.200]  是一位父所創造
[00:04:02.200 --> 00:04:07.600]  經文亦是說「我們也是祂所生的」
[00:04:07.600 --> 00:04:10.200]  在創造的立場上
[00:04:10.200 --> 00:04:14.800]  的確神是世上每一個人的父
[00:04:14.800 --> 00:04:17.600]  這是在創造的立場上
[00:04:17.600 --> 00:04:21.400]  但這不是在關係的立場上
[00:04:21.400 --> 00:04:23.200]  在關係的立場上
[00:04:23.200 --> 00:04:28.200]  神只不過是那些接受祂成為救主的
[00:04:28.200 --> 00:04:32.400]  那些才是神的兒女
[00:04:32.400 --> 00:04:38.400]  在約翰一書三章一至三節
[00:04:38.400 --> 00:04:42.000]  我們看到經文說
[00:04:42.000 --> 00:04:46.000]  「你看父賜給我們是何等的慈愛」
[00:04:46.000 --> 00:04:48.800]  「使我們不稱為神的兒女」
[00:04:48.800 --> 00:04:51.200]  「我們也真是祂的兒女」
[00:04:51.200 --> 00:04:53.800]  「世人所不認識我們」
[00:04:53.800 --> 00:04:56.000]  「是因未曾認識祂」
