
[00:00:00.000 --> 00:00:05.360]  我在中學的時候我本身是讀中國文學的
[00:00:05.360 --> 00:00:11.160]  中國文學不只是讀一些文學作品那麼簡單
[00:00:11.160 --> 00:00:16.360]  很多時候還會同時間要學寫一些好的文章
[00:00:16.360 --> 00:00:21.360]  如何去做一個真的能夠有效運用一個語言
[00:00:21.360 --> 00:00:27.120]  去將一個訊息或者一個主題向人去好好的陳明
[00:00:27.560 --> 00:00:32.560]  所以在那時候我很記得的當我去讀到語科班的時候
[00:00:32.560 --> 00:00:35.560]  我以前讀語科班就讀兩年的
[00:00:35.560 --> 00:00:39.560]  語科班其實就是等同於大學的一年級和二年級
[00:00:39.560 --> 00:00:46.560]  在那時候讀的時候從來都沒有人好好教過我去寫作
[00:00:46.560 --> 00:00:49.560]  直至到這位老師這位中文老師他
[00:00:49.560 --> 00:00:55.560]  我還記得他當時教我們第一堂第一句的說話
[00:00:55.560 --> 00:01:01.560]  他說今天我開始做你們中文文學科的教老師
[00:01:01.560 --> 00:01:05.560]  有一件事就是要學會的
[00:01:05.560 --> 00:01:10.560]  怎樣才能夠將一篇文章寫得好
[00:01:10.560 --> 00:01:13.560]  能夠準確將你的訊息去傳遞呢
[00:01:13.560 --> 00:01:15.560]  他就給了我們一句這樣的說話
[00:01:15.560 --> 00:01:20.560]  他說就是要做到語不經人誓不休
[00:01:20.560 --> 00:01:24.560]  這個說話究竟是出自何人呢
[00:01:24.560 --> 00:01:28.560]  其實原來當我們去仔細讀過中國文學都會知道
[00:01:28.560 --> 00:01:33.560]  這句說話是出自於唐朝的時候一位的詩人杜甫
[00:01:33.560 --> 00:01:40.560]  他有一首詩叫做江上直水如海西寥短術
[00:01:40.560 --> 00:01:41.560]  其實名字很長的
[00:01:41.560 --> 00:01:45.560]  不過他們當時的詩有很多的格
[00:01:45.560 --> 00:01:47.560]  有很多的局
[00:01:47.560 --> 00:01:48.560]  很多的韻
[00:01:48.560 --> 00:01:51.560]  有些東西是需要去學的
[00:01:51.560 --> 00:01:54.560]  在裡面一開始就有一句這樣的說話
[00:01:54.560 --> 00:01:59.560]  他說為人性癖怎皆懼
[00:01:59.560 --> 00:02:01.560]  語不經人誓不休
[00:02:01.560 --> 00:02:05.560]  其實是重新說回這個作者
[00:02:05.560 --> 00:02:10.560]  當他去到這個人生的某一段時間
[00:02:10.560 --> 00:02:12.560]  他經歷了很多的事情
[00:02:12.560 --> 00:02:15.560]  他發覺有很多的時候
[00:02:15.560 --> 00:02:19.560]  怎樣才能夠去將一些說話講得
[00:02:19.560 --> 00:02:22.560]  讓人有深刻的印象呢
[00:02:22.560 --> 00:02:24.560]  他說一定要講出來
[00:02:24.560 --> 00:02:26.560]  使得人有驚訝的感覺
[00:02:26.560 --> 00:02:29.560]  為什麼我說回這一段事情呢
[00:02:29.560 --> 00:02:31.560]  因為後來我這位中文的老師
[00:02:31.560 --> 00:02:34.560]  他就不教中文了
[00:02:34.560 --> 00:02:36.560]  他教完我之後
[00:02:36.560 --> 00:02:38.560]  他就離開了教育界
[00:02:38.560 --> 00:02:40.560]  就走了去拍電影
[00:02:40.560 --> 00:02:42.560]  他後來拍了一部電影
[00:02:42.560 --> 00:02:45.560]  一生人聽他說就拍過一部
[00:02:45.560 --> 00:02:48.560]  那部電影是一個影帝
[00:02:48.560 --> 00:02:51.560]  去拍的
[00:02:51.560 --> 00:02:54.560]  後來還得到很多的國際獎項
[00:02:54.560 --> 00:02:56.560]  但那些獎項得了
[00:02:56.560 --> 00:02:59.560]  是沒有什麼財富為他帶來的
[00:02:59.560 --> 00:03:01.560]  因為只是得到一個名譽
[00:03:01.560 --> 00:03:04.560]  在這個開場白腳裡面
[00:03:04.560 --> 00:03:07.560]  就讓我去想回一件事
[00:03:07.560 --> 00:03:11.560]  會在這個世界的上面
[00:03:11.560 --> 00:03:15.560]  是否每個人只是在這個世界
[00:03:15.560 --> 00:03:18.560]  只是尋求一些
[00:03:18.560 --> 00:03:21.560]  自己在名譽上面
[00:03:21.560 --> 00:03:24.560]  去引人注目的時刻
[00:03:24.560 --> 00:03:27.560]  那你的人生就值得
[00:03:27.560 --> 00:03:33.560]  叫做不枉此生呢
[00:03:33.560 --> 00:03:36.560]  寫文章一樣
[00:03:36.560 --> 00:03:37.560]  是不是一開始第一句
[00:03:37.560 --> 00:03:39.560]  你就要引誘人
[00:03:39.560 --> 00:03:43.560]  使得人留意你所講的東西
[00:03:43.560 --> 00:03:45.560]  觸動人的心
[00:03:45.560 --> 00:03:48.560]  那就等同於你是成功呢
[00:03:48.560 --> 00:03:49.560]  而我有一位老師
[00:03:49.560 --> 00:03:51.560]  姓陳的這位老師
[00:03:51.560 --> 00:03:53.560]  他後來拍電影的時候
[00:03:53.560 --> 00:03:55.560]  他也講解過一件事
[00:03:55.560 --> 00:03:56.560]  他說電影
[00:03:56.560 --> 00:03:58.560]  你會留意好的電影
[00:03:58.560 --> 00:04:00.560]  往往是一開始
[00:04:00.560 --> 00:04:02.560]  頭兩分鐘
[00:04:02.560 --> 00:04:04.560]  就充滿動感
[00:04:04.560 --> 00:04:05.560]  觸動人的心
[00:04:05.560 --> 00:04:07.560]  然後才有人會看你的戲
[00:04:07.560 --> 00:04:09.560]  那你就能夠做到一個
[00:04:09.560 --> 00:04:12.560]  成功的電影
[00:04:12.560 --> 00:04:14.560]  我發覺如果人生
[00:04:14.560 --> 00:04:16.560]  只是為了那短短的兩分鐘
[00:04:16.560 --> 00:04:17.560]  或者你寫的文章
[00:04:17.560 --> 00:04:18.560]  只是開頭幾句
[00:04:18.560 --> 00:04:20.560]  去嘩眾取宗
[00:04:20.560 --> 00:04:22.560]  去吸引其他人的想法
[00:04:22.560 --> 00:04:24.560]  就認為你自己人生
[00:04:24.560 --> 00:04:26.560]  不枉此過的話
[00:04:26.560 --> 00:04:28.560]  我覺得如果你做人這樣
[00:04:28.560 --> 00:04:31.560]  真的比較膚淺
[00:04:31.560 --> 00:04:32.560]  不過很可惜
[00:04:32.560 --> 00:04:34.560]  這種的思維
[00:04:34.560 --> 00:04:36.560]  在我們今天每一天的生活裡面
[00:04:36.560 --> 00:04:40.560]  都不斷發生
[00:04:40.560 --> 00:04:43.560]  而且廣泛運用
[00:04:43.560 --> 00:04:46.560]  我曾經在讀書的時代
[00:04:46.560 --> 00:04:49.560]  曾經去做過一個研究
[00:04:49.560 --> 00:04:53.560]  就是批評廣告的設計
[00:04:53.560 --> 00:04:55.560]  開始有些問題
[00:04:55.560 --> 00:04:58.560]  穆斯特究竟在大學讀什麼
[00:04:58.560 --> 00:05:01.560]  你不是說你讀環境規劃
[00:05:01.560 --> 00:05:02.560]  我是讀環境規劃的
[00:05:02.560 --> 00:05:03.560]  那你還讀什麼
[00:05:03.560 --> 00:05:06.560]  我說我讀會計學
[00:05:06.560 --> 00:05:11.560]  那為什麼你會做這些研究呢
[00:05:11.560 --> 00:05:12.560]  其實這些研究
[00:05:12.560 --> 00:05:15.560]  是在我另一個學習裡面
[00:05:15.560 --> 00:05:18.560]  就是我去讀一個
[00:05:18.560 --> 00:05:22.560]  市場設計的時候
[00:05:22.560 --> 00:05:23.560]  有一個課程
[00:05:23.560 --> 00:05:26.560]  是播一些廣告出來的
[00:05:26.560 --> 00:05:28.560]  然後就讓我們去看看這些廣告
[00:05:28.560 --> 00:05:30.560]  怎樣吸引觀眾
[00:05:30.560 --> 00:05:32.560]  在十幾秒裡面
[00:05:32.560 --> 00:05:36.560]  就將你的訊息傳遞
[00:05:36.560 --> 00:05:37.560]  原來這些廣告
[00:05:37.560 --> 00:05:38.560]  每一個的廣告
[00:05:38.560 --> 00:05:41.560]  其實它最開始都是希望
[00:05:41.560 --> 00:05:44.560]  將你那個情慾帶到最高的
[00:05:44.560 --> 00:05:46.560]  那個的景況
[00:05:46.560 --> 00:05:47.560]  簡單點來講
[00:05:47.560 --> 00:05:49.560]  就是將你的腎上腺
[00:05:49.560 --> 00:05:51.560]  馬上退高
[00:05:51.560 --> 00:05:53.560]  這些科學化一點的說法
[00:05:53.560 --> 00:05:55.560]  所以你覺得很刺激
[00:05:55.560 --> 00:05:56.560]  不用它不行
[00:05:56.560 --> 00:05:58.560]  不買它不行
[00:05:58.560 --> 00:06:00.560]  於是乎我以為
[00:06:00.560 --> 00:06:02.560]  這種世俗的想法
[00:06:02.560 --> 00:06:04.560]  只是流傳在世界
[00:06:04.560 --> 00:06:06.560]  教會不會有的情況呢
[00:06:06.560 --> 00:06:09.560]  但是當我做了五十幾年之後
[00:06:09.560 --> 00:06:13.560]  並且開始回去教會聚會當中的時候
