
[00:00:00.000 --> 00:00:03.000]  首先想問問大家有沒有試過
[00:00:03.000 --> 00:00:05.000]  你答應別人做一件事
[00:00:05.000 --> 00:00:07.000]  卻忘記了做?
[00:00:07.000 --> 00:00:08.000]  對吧?
[00:00:08.000 --> 00:00:09.000]  是吧?
[00:00:09.000 --> 00:00:12.000]  有時也會是常常的
[00:00:12.000 --> 00:00:15.000]  我記得一次
[00:00:15.000 --> 00:00:17.000]  真的很不好意思
[00:00:17.000 --> 00:00:20.000]  答應了港島
[00:00:20.000 --> 00:00:22.000]  忘記了
[00:00:22.000 --> 00:00:25.000]  在一個團契裡分享
[00:00:25.000 --> 00:00:28.000]  剛好那天我放假
[00:00:28.000 --> 00:00:30.000]  一直在放假
[00:00:30.000 --> 00:00:32.000]  那是答應了的日子
[00:00:32.000 --> 00:00:34.000]  我還跟同工說我會記得回來
[00:00:34.000 --> 00:00:36.000]  放假會怎樣?
[00:00:36.000 --> 00:00:38.000]  樂極忘形
[00:00:38.000 --> 00:00:40.000]  這些事明明記得
[00:00:40.000 --> 00:00:42.000]  不過我同工很好
[00:00:42.000 --> 00:00:43.000]  很快
[00:00:43.000 --> 00:00:45.000]  一、五分鐘前見我出現
[00:00:45.000 --> 00:00:47.000]  就已經頂上了
[00:00:47.000 --> 00:00:49.000]  就安排了
[00:00:49.000 --> 00:00:51.000]  放假放得太開心了
[00:00:51.000 --> 00:00:53.000]  但是
[00:00:53.000 --> 00:00:55.000]  另一些情況就是
[00:00:55.000 --> 00:00:57.000]  沒有人可以代替你
[00:00:57.000 --> 00:01:00.000]  我記得是做《全盜》的時候
[00:01:00.000 --> 00:01:02.000]  我太太也是《全盜》人
[00:01:02.000 --> 00:01:04.000]  我們約了一些時間
[00:01:04.000 --> 00:01:06.000]  約了拍拖
[00:01:06.000 --> 00:01:07.000]  但是
[00:01:07.000 --> 00:01:09.000]  怎樣也找不到時間出來
[00:01:09.000 --> 00:01:11.000]  有時約不到
[00:01:11.000 --> 00:01:13.000]  其實很艱難
[00:01:13.000 --> 00:01:14.000]  經常在想
[00:01:14.000 --> 00:01:16.000]  我們會忙碌
[00:01:16.000 --> 00:01:18.000]  因為很多晚上要聚會
[00:01:18.000 --> 00:01:21.000]  我跟我太太的教會祈禱會
[00:01:21.000 --> 00:01:22.000]  分開兩晚
[00:01:22.000 --> 00:01:24.000]  一個星期三個星期四
[00:01:24.000 --> 00:01:26.000]  大家都不能同一晚
[00:01:26.000 --> 00:01:28.000]  有很多不同的聚會
[00:01:28.000 --> 00:01:29.000]  開會
[00:01:29.000 --> 00:01:31.000]  小組等等
[00:01:31.000 --> 00:01:33.000]  曾經兩三個星期
[00:01:33.000 --> 00:01:35.000]  都不能約一起吃飯
[00:01:35.000 --> 00:01:37.000]  晚上也是有事
[00:01:37.000 --> 00:01:40.000]  約了之後
[00:01:40.000 --> 00:01:42.000]  有時我又忘記了
[00:01:42.000 --> 00:01:44.000]  教會又有事
[00:01:44.000 --> 00:01:45.000]  後來
[00:01:45.000 --> 00:01:47.000]  經歷了這些日子
[00:01:47.000 --> 00:01:49.000]  覺得不太理想
[00:01:49.000 --> 00:01:51.000]  於是就
[00:01:51.000 --> 00:01:52.000]  回想
[00:01:52.000 --> 00:01:54.000]  原來婚前輔導的時候
[00:01:54.000 --> 00:01:57.000]  一個牧者
[00:01:57.000 --> 00:01:58.000]  大家都認識
[00:01:58.000 --> 00:01:59.000]  鄧振志牧師
[00:01:59.000 --> 00:02:00.000]  做婚前輔導
[00:02:00.000 --> 00:02:02.000]  說你們將來都會做傳道人
[00:02:02.000 --> 00:02:06.000]  記得先約了你們拍拖時間
[00:02:06.000 --> 00:02:08.000]  於是我們記得這件事
[00:02:08.000 --> 00:02:10.000]  過了幾年才記得
[00:02:10.000 --> 00:02:12.000]  於是就在日記簿裡寫下
[00:02:12.000 --> 00:02:14.000]  這個約了一天
[00:02:14.000 --> 00:02:16.000]  每個星期有一天
[00:02:16.000 --> 00:02:17.000]  一晚
[00:02:17.000 --> 00:02:20.000]  我們會拍拖
[00:02:20.000 --> 00:02:22.000]  會吃飯等等
[00:02:22.000 --> 00:02:24.000]  就算不是都會回家
[00:02:24.000 --> 00:02:27.000]  所以變成這些情況下
[00:02:27.000 --> 00:02:30.000]  當約教會的會議
[00:02:30.000 --> 00:02:33.000]  教會的各項工作
[00:02:33.000 --> 00:02:34.000]  要約時間的時候
[00:02:34.000 --> 00:02:36.000]  我看到約了
[00:02:36.000 --> 00:02:39.000]  心安地得一點
[00:02:39.000 --> 00:02:41.000]  因為真的約了太太
[00:02:41.000 --> 00:02:42.000]  不好又忘記了
[00:02:42.000 --> 00:02:44.000]  不好又好像忘記了
[00:02:44.000 --> 00:02:46.000]  這些約定
[00:02:46.000 --> 00:02:48.000]  只有「講」字就不行了
[00:02:48.000 --> 00:02:50.000]  還有約了太太
[00:02:50.000 --> 00:02:52.000]  你不可以找人頂替你
