
[00:00:00.000 --> 00:00:04.000]  如果你今晚拿到一本新的《聖經》
[00:00:04.000 --> 00:00:09.000]  請你打開彼得後書二章
[00:00:09.000 --> 00:00:14.000]  舊的《聖經》也是一樣打開彼得後書二章
[00:00:14.000 --> 00:00:20.000]  我們繼續思想這段《聖經》給我們的提醒
[00:00:20.000 --> 00:00:26.000]  彼得知道他在人世間的日子不是很多
[00:00:26.000 --> 00:00:32.000]  他就要將一些很重要的說話告訴弟兄姊妹
[00:00:32.000 --> 00:00:37.000]  為了堅固他們的信心
[00:00:37.000 --> 00:00:41.000]  如果你看彼得前書彼得後書
[00:00:41.000 --> 00:00:43.000]  一口氣看下去的話
[00:00:43.000 --> 00:00:46.000]  我相信你不難發現
[00:00:46.000 --> 00:00:48.000]  那一個的核心
[00:00:48.000 --> 00:00:52.000]  總是離不開盤石
[00:00:52.000 --> 00:00:55.000]  離不開防角石
[00:00:55.000 --> 00:00:58.000]  離不開那一位真正的主角
[00:00:58.000 --> 00:01:02.000]  是哪一位?
[00:01:02.000 --> 00:01:05.000]  耶穌基督
[00:01:05.000 --> 00:01:08.000]  一切盡在於他
[00:01:08.000 --> 00:01:11.000]  純正的信仰
[00:01:11.000 --> 00:01:16.000]  特別是最優秀的福音信仰
[00:01:16.000 --> 00:01:23.000]  一定是好像彼得在彼得書信裡面所教導的
[00:01:23.000 --> 00:01:25.000]  不偏不倚
[00:01:25.000 --> 00:01:29.000]  永遠以基督為防角石
[00:01:29.000 --> 00:01:31.000]  為核心
[00:01:31.000 --> 00:01:35.000]  在神和人中間只有一條路
[00:01:35.000 --> 00:01:37.000]  聖靈充滿
[00:01:37.000 --> 00:01:42.000]  也是要叫人和基督緊密相連
[00:01:42.000 --> 00:01:46.000]  並且聖靈在屬基督的人身上
[00:01:46.000 --> 00:01:49.000]  持續不斷的工作
[00:01:49.000 --> 00:01:53.000]  最主要的也始終必定要成就的
[00:01:53.000 --> 00:01:59.000]  就是將人徹底改變到完完全全的
[00:01:59.000 --> 00:02:01.000]  不折不扣的
[00:02:01.000 --> 00:02:05.000]  是與基督一樣
[00:02:05.000 --> 00:02:10.000]  我們的盼望是在於這一處
[00:02:10.000 --> 00:02:12.000]  偏離了這個焦點
[00:02:12.000 --> 00:02:17.000]  往往會出問題
[00:02:17.000 --> 00:02:19.000]  真正的認識
[00:02:19.000 --> 00:02:21.000]  真正的相信
[00:02:21.000 --> 00:02:23.000]  真正的堅固
[00:02:23.000 --> 00:02:26.000]  就一定有一個活潑的生命
[00:02:26.000 --> 00:02:30.000]  這是唯一的弱勢
[00:02:30.000 --> 00:02:33.000]  很可惜有時候我們在教會歷史裡面都會看到
[00:02:33.000 --> 00:02:35.000]  有一種偏差
[00:02:35.000 --> 00:02:37.000]  有時候偏差到一個地步
[00:02:37.000 --> 00:02:41.000]  好像將聖父、聖子、聖靈
[00:02:41.000 --> 00:02:46.000]  分為三個不同的階段
[00:02:46.000 --> 00:02:48.000]  不同的重點
[00:02:48.000 --> 00:02:51.000]  其實不應該這樣
[00:02:51.000 --> 00:02:55.000]  我很喜歡老師所提醒的
[00:02:55.000 --> 00:03:01.000]  我們的生命永遠是在三一神裡面的生命
[00:03:01.000 --> 00:03:03.000]  是在聖靈裡
[00:03:03.000 --> 00:03:07.000]  藉著基督是親近父神
[00:03:07.000 --> 00:03:13.000]  而基督永遠都是天父與人交往的
[00:03:13.000 --> 00:03:16.000]  那一個不變的盤石
[00:03:16.000 --> 00:03:17.000]  不變的核心
[00:03:17.000 --> 00:03:20.000]  任何的教導偏離了基督
[00:03:20.000 --> 00:03:22.000]  貶低了基督
[00:03:22.000 --> 00:03:25.000]  削醜了基督某一部分
[00:03:25.000 --> 00:03:28.000]  就是一個偏廢了的信仰
[00:03:28.000 --> 00:03:30.000]  有些人覺得說說基督
[00:03:30.000 --> 00:03:31.000]  說得太多基督了
[00:03:31.000 --> 00:03:33.000]  不如我們說說其他吧
[00:03:33.000 --> 00:03:34.000]  不行的
[00:03:34.000 --> 00:03:39.000]  永遠都是以基督為核心
[00:03:39.000 --> 00:03:41.000]  第二章之前
[00:03:41.000 --> 00:03:43.000]  彼得候書第二章之前
[00:03:43.000 --> 00:03:48.000]  是在論述我們蒙基督的恩典
[00:03:48.000 --> 00:03:51.000]  與他一樣有得到這個義
[00:03:51.000 --> 00:03:54.000]  然後靠著神去認識耶穌基督
[00:03:54.000 --> 00:03:57.000]  就得著基督的生命
[00:03:57.000 --> 00:04:00.000]  然後最終就是要進入那個
[00:04:00.000 --> 00:04:05.000]  永恆救主耶穌基督永遠的國度
[00:04:05.000 --> 00:04:08.000]  是從基督的生命
[00:04:08.000 --> 00:04:10.000]  從基督的恩典
[00:04:10.000 --> 00:04:12.000]  然後繼續發展那個
[00:04:12.000 --> 00:04:15.000]  會成熟的基督的生命
[00:04:15.000 --> 00:04:17.000]  然後彼得在第一章那裡
[00:04:17.000 --> 00:04:20.000]  跟我們溫習了幾件事情
[00:04:20.000 --> 00:04:22.000]  他說我所說的
[00:04:22.000 --> 00:04:26.000]  不是隨從乖巧的說話捏造出來的
[00:04:26.000 --> 00:04:30.000]  乃是按著聖旨在聖山上
[00:04:30.000 --> 00:04:32.000]  的一個改變面貌
[00:04:32.000 --> 00:04:35.000]  彰顯他的榮耀
[00:04:35.000 --> 00:04:36.000]  然後在這個聖山上
[00:04:36.000 --> 00:04:38.000]  發生了一件很奇妙的事
[00:04:38.000 --> 00:04:41.000]  除了聖旨自己本身的面貌
[00:04:41.000 --> 00:04:42.000]  榮耀改變
[00:04:42.000 --> 00:04:45.000]  有天父開聲說
[00:04:45.000 --> 00:04:47.000]  這是我的愛旨
[00:04:47.000 --> 00:04:49.000]  我所起約定
[00:04:49.000 --> 00:04:52.000]  然後彼得接著就說
[00:04:52.000 --> 00:04:54.000]  因為我們知道這一切
[00:04:54.000 --> 00:04:57.000]  不單只是聖旨自己榮光的彰顯
[00:04:57.000 --> 00:05:02.000]  聖父威榮的聲音來見證
[00:05:02.000 --> 00:05:05.000]  並且我們有先知
[00:05:05.000 --> 00:05:08.000]  更確定的寓言
[00:05:08.000 --> 00:05:10.000]  就是聖經寓言
[00:05:10.000 --> 00:05:12.000]  錄在下來
[00:05:12.000 --> 00:05:14.000]  給我們可以參考
[00:05:14.000 --> 00:05:16.000]  可以依靠
[00:05:16.000 --> 00:05:18.000]  可以去到變形
[00:05:18.000 --> 00:05:19.000]  然後彼得就說
[00:05:19.000 --> 00:05:22.000]  這些的寓言從來不是出於人意
[00:05:22.000 --> 00:05:24.000]  乃是人被神的靈
[00:05:24.000 --> 00:05:25.000]  來感動
[00:05:25.000 --> 00:05:28.000]  說出神的話來
[00:05:28.000 --> 00:05:30.000]  我忽然間看一看就說
[00:05:30.000 --> 00:05:33.000]  哦原來我們今天的信仰
[00:05:33.000 --> 00:05:36.000]  我們接受彼得的見證
[00:05:36.000 --> 00:05:39.000]  那一個的重心
[00:05:39.000 --> 00:05:41.000]  是一個三一神
[00:05:41.000 --> 00:05:44.000]  同樣工作的那個重心
[00:05:44.000 --> 00:05:46.000]  是聖旨榮光的彰顯
[00:05:46.000 --> 00:05:49.000]  是聖父他開口來見證
[00:05:49.000 --> 00:05:51.000]  是聖靈
[00:05:51.000 --> 00:05:53.000]  藉著先知
[00:05:53.000 --> 00:05:55.000]  來放下了
[00:05:55.000 --> 00:05:57.000]  確鑿的寓言
