
[00:00:00.000 --> 00:00:02.840]  今日呢我哋大家讀嘅呢段經文呢
[00:00:02.840 --> 00:00:05.140]  都應該係好熟悉呀可
[00:00:05.140 --> 00:00:09.160]  可能呢即係背都背得出呀可
[00:00:09.160 --> 00:00:12.900]  咁今日呢所讀嘅呢段經文呢
[00:00:12.900 --> 00:00:15.320]  嚟自就係哥林多前書喎
[00:00:15.320 --> 00:00:18.160]  咁我好想講一講哥林
[00:00:18.160 --> 00:00:20.160]  嗯 睇先
[00:00:20.160 --> 00:00:21.200]  OK
[00:00:21.200 --> 00:00:25.160]  哥林多嘅呢個城市嘅背景啦
[00:00:25.160 --> 00:00:27.160]  咁佢呢係
[00:00:27.160 --> 00:00:29.700]  係我哋會睇到從地圖嗰度呢
[00:00:29.700 --> 00:00:32.600]  你會睇到其實佢係一個呢好窄嘅
[00:00:32.600 --> 00:00:34.600]  一個峽道
[00:00:34.600 --> 00:00:38.080]  咁呢亦都係兩邊都有港口㗎喎
[00:00:38.080 --> 00:00:41.400]  咁所以呢其實佢喺商業嚟講呢係一個
[00:00:41.400 --> 00:00:44.080]  好繁榮嘅一個城市嚟㗎
[00:00:44.080 --> 00:00:47.160]  因為佢左右兩邊都有船啦
[00:00:47.160 --> 00:00:50.840]  即係可以將啲貨物運到嚟哥林多城呢度
[00:00:50.840 --> 00:00:54.000]  而且呢佢中間呢一條嘅峽道呢
[00:00:54.000 --> 00:00:57.480]  都係一條好重要嘅道路去將
[00:00:57.480 --> 00:01:00.680]  東同埋西呢去連繫起嚟㗎
[00:01:00.680 --> 00:01:04.040]  咁所以呢佢嘅商業呢都係好繁榮嘅
[00:01:04.040 --> 00:01:07.000]  咁而喺教育方面呢
[00:01:07.000 --> 00:01:11.960]  咁其實哥林多嘅文化呢就即係有好多嘅
[00:01:11.960 --> 00:01:14.960]  具有好
[00:01:14.960 --> 00:01:18.720]  好有呢個希臘文化嘅特徵
[00:01:18.720 --> 00:01:22.600]  咁當地嘅人呢亦都好最深呢個嘅
[00:01:22.600 --> 00:01:24.240]  希臘嘅哲學
[00:01:24.240 --> 00:01:27.280]  對於智慧呢都好推崇㗎喎
[00:01:27.280 --> 00:01:31.720]  咁亦都呢因為呢個地方係一個港口啦
[00:01:31.720 --> 00:01:33.120]  貿易中心
[00:01:33.120 --> 00:01:37.920]  所以哥林多城呢亦都包含咗好多各式各樣嘅
[00:01:37.920 --> 00:01:43.080]  人種啦文化啦風俗啦同埋宗教㗎喎
[00:01:43.080 --> 00:01:47.440]  咁而佢喺運動方面呢就係哥林多城最出名呢
[00:01:47.440 --> 00:01:50.960]  就係每兩年一次嘅地下運動會喎
[00:01:50.960 --> 00:01:54.440]  咁即係有少少似我哋嘅奧林匹克運動會咁樣啦
[00:01:54.440 --> 00:01:58.080]  咁係都好繁榮嘅即係當佢
[00:01:58.080 --> 00:02:02.080]  要舉行運動會嘅時候呢其實係一項盛事嚟㗎
[00:02:02.080 --> 00:02:06.480]  所以呢佢為咗哥林多城呢就帶嚟好多嘅相機
[00:02:06.480 --> 00:02:08.840]  同時亦都呢迎接咗
[00:02:08.840 --> 00:02:13.640]  形成咗呢當地嘅人呢會好好勝啦
[00:02:13.640 --> 00:02:17.560]  好英雄主義啦好增進嘅心態
[00:02:17.560 --> 00:02:20.320]  咁而喺宗教方面呢
[00:02:20.320 --> 00:02:23.840]  咁其實哥林多呢都有好多嘅唔同嘅
[00:02:23.840 --> 00:02:26.560]  神奇啦同埋唔同嘅教派
[00:02:26.560 --> 00:02:29.280]  咁所以你會睇到呢其實哥林多城呢
[00:02:29.280 --> 00:02:34.080]  係一個城市呢裏面集合咗好多唔同嘅文化
[00:02:34.080 --> 00:02:36.840]  亦都有好多唔同嘅機遇
[00:02:36.840 --> 00:02:40.800]  咁因此呢喺嗰度即係當地嘅人呢
[00:02:40.800 --> 00:02:45.440]  其實佢哋係好好
[00:02:45.440 --> 00:02:47.560]  成功主義
[00:02:47.560 --> 00:02:51.320]  咁可能呢有少少似我哋香港人啦
[00:02:51.320 --> 00:02:57.760]  即係都係好需要去搵機會啦同埋好努力啦
