
[00:00:00.000 --> 00:00:02.360]  剛才我提到我們今天的講道
[00:00:02.360 --> 00:00:05.300]  我們的主角就是以利
[00:00:05.300 --> 00:00:07.540]  我不知道大家有多熟悉以利
[00:00:07.540 --> 00:00:12.580]  以利這個家庭究竟是何時的人物呢?
[00:00:12.580 --> 00:00:16.180]  我就很快地去講一講這個家庭
[00:00:16.180 --> 00:00:18.580]  以利其實是舊約裏面
[00:00:18.580 --> 00:00:21.280]  士詩時代的大祭司
[00:00:21.280 --> 00:00:22.980]  以利有兩個兒子
[00:00:22.980 --> 00:00:26.320]  分別叫做荷芬妮和菲妮蝦
[00:00:26.320 --> 00:00:28.820]  以利作為大祭司
[00:00:28.820 --> 00:00:32.700]  而他們兩個兒子是一個祭司身份
[00:00:32.700 --> 00:00:34.740]  即是他們整個家族
[00:00:34.740 --> 00:00:37.640]  都是在回眸裏面去服侍神
[00:00:37.640 --> 00:00:39.100]  是一名祭司
[00:00:39.100 --> 00:00:40.540]  而我們現在
[00:00:40.540 --> 00:00:42.500]  你說我們服侍
[00:00:42.500 --> 00:00:43.940]  我們作為傳道
[00:00:43.940 --> 00:00:45.680]  作為牧師那些
[00:00:45.680 --> 00:00:47.380]  我們會有招聘廣告
[00:00:47.380 --> 00:00:49.880]  就看這間教會請人
[00:00:49.880 --> 00:00:51.780]  我們去應徵
[00:00:51.780 --> 00:00:54.520]  在舊約時代其實就不是這樣
[00:00:54.520 --> 00:00:55.860]  在舊約時代
[00:00:55.860 --> 00:00:58.460]  《出埃及記》就清楚記載
[00:00:58.460 --> 00:01:02.360]  是祭司必須屬於利美茲派
[00:01:02.360 --> 00:01:04.300]  是亞倫的後裔
[00:01:04.300 --> 00:01:09.340]  祭司是神托付了一班以色列人給他們
[00:01:09.340 --> 00:01:11.440]  作為一個屬靈的帶領
[00:01:11.440 --> 00:01:13.840]  協助以色列人去獻祭
[00:01:13.840 --> 00:01:16.440]  其實祭司亦都好似一個中介
[00:01:16.440 --> 00:01:18.080]  一個agent
[00:01:18.080 --> 00:01:22.640]  他是代表百姓去到神面前去禱告
[00:01:22.640 --> 00:01:28.580]  亦都代表神向以色列人頒佈律例典章
[00:01:28.580 --> 00:01:32.820]  教導以色列人怎樣去作為神的子民
[00:01:32.820 --> 00:01:34.260]  所以當我們說
[00:01:34.260 --> 00:01:36.000]  我們今天作為牧者
[00:01:36.000 --> 00:01:37.460]  很多時候有些人就會說
[00:01:37.460 --> 00:01:40.400]  哦 你是在教會服侍的
[00:01:40.400 --> 00:01:42.940]  你牧養的群體有多少人啊?
[00:01:42.940 --> 00:01:44.640]  今天很常會這樣問
[00:01:44.640 --> 00:01:46.040]  我都會問的
[00:01:46.040 --> 00:01:47.540]  是的 以利呢?
[00:01:47.540 --> 00:01:51.280]  以利祭司那時他又要負責
[00:01:51.280 --> 00:01:53.980]  帶領多少個以色列人呢?
[00:01:53.980 --> 00:01:55.240]  我們看聖經
[00:01:55.240 --> 00:01:57.440]  聖經沒有很清楚的記載
[00:01:57.440 --> 00:02:01.020]  但我們可以去參考一段聖經
[00:02:01.020 --> 00:02:03.220]  就是在《文素記》那裏
[00:02:03.220 --> 00:02:06.860]  那時摩西他帶領以色列人
[00:02:06.860 --> 00:02:09.820]  出埃及去到曠野的時候
