
[00:00:00.000 --> 00:00:16.000]  各位朋友大家好,我是劉少康牧師。感謝神的恩典,我們又一塊來讀聖經了。
[00:00:16.000 --> 00:00:22.000]  今天很想邀請各位跟我一塊來讀詩篇第八篇。
[00:00:22.000 --> 00:00:33.000]  這篇詩篇的作者就是大衛王。大衛實在是一個多才的作家,他寫了許許多多的詩篇。
[00:00:33.000 --> 00:00:45.000]  每一篇都那麼精彩,每一篇都那麼吸引,就讓我們一同翻開聖經,來慢慢地念詩篇第八篇。
[00:00:45.000 --> 00:00:53.000]  這篇詩篇有一個主題,就是我們該怎麼樣來讚美我們的上帝。
[00:00:53.000 --> 00:01:08.000]  祂是創造我們的主宰,是掌管天地萬有的獨一的真神,我們應該去敬畏祂、敬拜祂跟讚美、稱頌祂。
[00:01:08.000 --> 00:01:21.000]  有很多基督徒覺得我們來到神面前,我們很會向神祈求,把我們心裡面的需要都向神說出來。
[00:01:21.000 --> 00:01:33.000]  但是我發現有很多基督徒,他們不懂得去讚美。讚美的話,只說了兩句、三句就完了。
[00:01:33.000 --> 00:01:44.000]  「阿神,祢是那位創造的主,祢是那麼充滿恩典的主,我讚美祢,我稱頌祢,我將榮耀聖戰都歸給祢。」
[00:01:44.000 --> 00:01:54.000]  接下去,就好像沒有話可以講了。那到底我們基督徒該怎麼樣來稱頌我們的上帝呢?
[00:01:54.000 --> 00:02:06.000]  為什麼我們要稱頌祂呢?那麼,就讓我們慢慢地從詩篇第八篇,一句一句,一節一節地來看。
[00:02:06.000 --> 00:02:15.000]  首先,讓我簡單介紹一下,這篇詩篇可以分成三個段落。
[00:02:15.000 --> 00:02:34.000]  第一個段落,就是第一節和第二節。這兩節,詩篇頭這兩節,就是將我們向神應該去高舉祂、頌揚祂、仰望祂。
[00:02:34.000 --> 00:02:45.000]  很多時候我們的眼目看世上的事情,我們每天擔心的都是我們要上班啊、家裡面的事情啊、孩子的事情啊。
[00:02:45.000 --> 00:02:59.000]  勉強一些的,就是我們孫女兒啊、孫子們的事情啊。很多事情環繞我們,我們的注意力不會集中在我們的神的上面。
[00:02:59.000 --> 00:03:08.000]  這篇詩篇,讓我們轉眼向上來仰望,向我們的神來仰望。
[00:03:08.000 --> 00:03:19.000]  第一節,就是這樣說的:「耶和華,我們的主啊,祢的名在全地,何其美?」
[00:03:19.000 --> 00:03:27.000]  「耶和華,我們的主啊,祢的名在全地,何其美?」
[00:03:27.000 --> 00:03:35.000]  這句話不但在第一節出現,在第九節結束的時候也出現。
[00:03:35.000 --> 00:03:48.000]  所以這句話是非常非常重要的。也可以說,一開頭的時候,大衛就這樣主旨、主題很鮮明的表達出來了。
[00:03:48.000 --> 00:03:55.000]  我們跟神有什麼關係呢?「耶和華」就是神的名字。
[00:03:55.000 --> 00:04:06.000]  記得嗎?摩西當他在曠野,看見燒著了的荊棘,但是很奇怪,荊棘沒有毀壞。
[00:04:06.000 --> 00:04:13.000]  他就跑過去,看看發生什麼事情。突然間就聽到一個聲音:
