
[00:00:00.000 --> 00:00:02.000]  領子妹新年蒙福
[00:00:02.000 --> 00:00:06.000]  在新的一年願意我們好像剛才喜樂斯班所唱的詩
[00:00:06.000 --> 00:00:11.000]  讓我們心真是渴慕我們這位主耶穌基督
[00:00:11.000 --> 00:00:14.000]  祂是那位永活的主
[00:00:14.000 --> 00:00:17.000]  也是全人類的救贖主
[00:00:17.000 --> 00:00:21.000]  其實今天這個世界是變得非常混亂
[00:00:21.000 --> 00:00:24.000]  也充滿著很多不確定性
[00:00:24.000 --> 00:00:27.000]  有很多科技日新月異
[00:00:27.000 --> 00:00:31.000]  快到幾個月前的事情已經發生了
[00:00:31.000 --> 00:00:36.000]  我們今天究竟在神的面前應該如何自處呢
[00:00:36.000 --> 00:00:38.000]  我覺得有一件事
[00:00:38.000 --> 00:00:41.000]  你不要只看書也不要只看報紙
[00:00:41.000 --> 00:00:44.000]  你一定要看聖經
[00:00:44.000 --> 00:00:46.000]  只有神的話是永存的
[00:00:46.000 --> 00:00:50.000]  而且我們知道耶穌應許我們有一天要榮耀的再來
[00:00:50.000 --> 00:00:53.000]  也是千真萬確
[00:00:53.000 --> 00:00:56.000]  所以我們活在這個雖然大時代
[00:00:56.000 --> 00:00:58.000]  有很多的變異
[00:00:58.000 --> 00:01:01.000]  真的令我們可能甚至意想不到
[00:01:01.000 --> 00:01:03.000]  但我們心中沒有徬徨
[00:01:03.000 --> 00:01:07.000]  我們是需要有充滿內心的力量
[00:01:07.000 --> 00:01:10.000]  是因為神的話就是我們的明燈
[00:01:10.000 --> 00:01:13.000]  聖靈光照和充滿我們的時候
[00:01:13.000 --> 00:01:17.000]  我們心中就滿有這份喜樂和力量
[00:01:17.000 --> 00:01:19.000]  我們一起同心去侍奉
[00:01:19.000 --> 00:01:21.000]  Amen
[00:01:21.000 --> 00:01:25.000]  盼望我們每一個弟兄姊妹都有這個心智
[00:01:25.000 --> 00:01:31.000]  上一次在啟示錄講義弗所書
[00:01:31.000 --> 00:01:36.000]  我們有Karen傳道跟我們講得非常精彩的一篇講章
[00:01:36.000 --> 00:01:38.000]  講得非常好
[00:01:38.000 --> 00:01:40.000]  講到義弗所的教會
[00:01:40.000 --> 00:01:42.000]  這是第一間教會
[00:01:42.000 --> 00:01:47.000]  義弗所的教會有祂被主稱讚的地方
[00:01:47.000 --> 00:01:49.000]  祂們那種勞苦
[00:01:49.000 --> 00:01:51.000]  祂們那種忠心
[00:01:51.000 --> 00:01:56.000]  但是祂們也有一些需要改正的
[00:01:56.000 --> 00:01:58.000]  就是祂們失落了起初的愛心
[00:01:58.000 --> 00:02:00.000]  要重新研點
[00:02:00.000 --> 00:02:02.000]  我們今天看的另外兩間教會
[00:02:02.000 --> 00:02:05.000]  就是包括善會拿的教會
[00:02:05.000 --> 00:02:09.000]  祂們是被主 是肯定的
[00:02:09.000 --> 00:02:13.000]  祂們那種堅忍受苦 至死忠心
[00:02:13.000 --> 00:02:15.000]  可以說是唯一一間教會
[00:02:15.000 --> 00:02:17.000]  跟老弟家教會一樣
[00:02:17.000 --> 00:02:19.000]  是沒有任何的責備
[00:02:19.000 --> 00:02:22.000]  而別家摩的教會就是第三間
[00:02:22.000 --> 00:02:26.000]  祂們抗拒異端 堅守主道
[00:02:26.000 --> 00:02:29.000]  我們看這七個教會的時候
[00:02:29.000 --> 00:02:32.000]  我曾經有兩次帶領教會的領子妹
[00:02:32.000 --> 00:02:35.000]  去到土耳其和希臘
[00:02:35.000 --> 00:02:38.000]  我們是追蹤保羅的宣教行蹤
[00:02:38.000 --> 00:02:44.000]  我們七個教會就是由土耳其的西南邊
[00:02:44.000 --> 00:02:47.000]  這幾個都是海港城的
