
[00:00:00.000 --> 00:00:06.000]  上帝現在在這裡就等同了基督
[00:00:06.000 --> 00:00:11.000]  尼賽亞國道就等同了基督的國道
[00:00:11.000 --> 00:00:16.000]  是一個很強烈的基督論的味道
[00:00:16.000 --> 00:00:20.000]  舊約是不可以思議的
[00:00:20.000 --> 00:00:24.000]  在這裡耶和華的話等同了我的話
[00:00:24.000 --> 00:00:25.000]  耶穌基督的話
[00:00:25.000 --> 00:00:28.000]  耶和華的國道、耶和華的將來
[00:00:28.000 --> 00:00:32.000]  成為了基督的國道和基督的將來
[00:00:32.000 --> 00:00:37.000]  這個比喻是比較特別的
[00:00:37.000 --> 00:00:41.000]  我們解釋了這四節聖經的比喻
[00:00:41.000 --> 00:00:43.000]  我們現在要試問一下
[00:00:43.000 --> 00:00:47.000]  到底這個比喻對當日是什麼意思
[00:00:47.000 --> 00:00:50.000]  對我們又有什麼意思
[00:00:50.000 --> 00:00:56.000]  整個比喻的中心就是人子近了
[00:00:56.000 --> 00:01:00.000]  這個人子近了所帶來的希望
[00:01:00.000 --> 00:01:03.000]  這個希望是有兩層意義的
[00:01:03.000 --> 00:01:08.000]  就是那個保世性的意義和個人性的意義
[00:01:08.000 --> 00:01:13.000]  我們先看了什麼是我們一般人所看為有希望的
[00:01:13.000 --> 00:01:17.000]  我們發覺原來我們基督徒所為的有希望
[00:01:17.000 --> 00:01:22.000]  常常都是脫離了上帝的話
[00:01:22.000 --> 00:01:24.000]  脫離了聖經的啟示
[00:01:24.000 --> 00:01:26.000]  來了解那個希望
[00:01:26.000 --> 00:01:31.000]  結果搞到我們的希望和世人是沒有什麼分別的
[00:01:31.000 --> 00:01:33.000]  譬如我們一般人說
[00:01:33.000 --> 00:01:40.000]  我們常常要作最好的希望
[00:01:40.000 --> 00:01:45.000]  作最好的希望又要作最壞的打算
[00:01:45.000 --> 00:01:54.000]  Hope for the best and prepare for the worst
[00:01:54.000 --> 00:01:57.000]  我們基督徒都是這樣看的
[00:01:57.000 --> 00:02:02.000]  我們和世界和希臘人完全沒有分別
[00:02:02.000 --> 00:02:11.000]  結果我們的希望就嘗試有一些悲觀的認命的思想
[00:02:11.000 --> 00:02:15.000]  和希臘的希望非常相似
[00:02:15.000 --> 00:02:20.000]  和聖經的希望毫無關係
[00:02:20.000 --> 00:02:26.000]  希臘人他怎樣了解他們的希望呢
[00:02:26.000 --> 00:02:30.000]  這種希臘式的希望和我們今天香港式的
[00:02:30.000 --> 00:02:39.000]  或是說加拿大式、台灣式、美國式有什麼不同呢
[00:02:39.000 --> 00:02:42.000]  希臘人他所了解的希望
[00:02:42.000 --> 00:02:48.000]  是一種人對將來那種忠誠的期待
[00:02:48.000 --> 00:02:54.000]  內容可以是好也可以是不好的
[00:02:54.000 --> 00:02:56.000]  在我們現代人
[00:02:56.000 --> 00:03:00.000]  我們的宿命論就是很近這種形式的希望
[00:03:00.000 --> 00:03:02.000]  譬如我們說
[00:03:02.000 --> 00:03:03.000]  是你的就是你的
[00:03:03.000 --> 00:03:07.000]  不是你的就不是你的
[00:03:07.000 --> 00:03:10.000]  這是我們整定的
[00:03:10.000 --> 00:03:15.000]  我們說我們一生人吃多少穿多少是整定的
[00:03:15.000 --> 00:03:18.000]  你不會穿多件又不會穿少件的
