
[00:00:00.000 --> 00:00:01.440]  徒弟:空想之妹 早晨
[00:00:01.440 --> 00:00:02.520]  主持人:空想之妹 早上好
[00:00:02.520 --> 00:00:04.540]  徒弟:各位聽神的道義 先讓我誠心祈禱
[00:00:04.540 --> 00:00:07.180]  主持人:聽到神的樣子 我們先誠心祈禱
[00:00:07.180 --> 00:00:08.420]  徒弟:慈悲的父神 多謝祢
[00:00:08.420 --> 00:00:12.480]  讓我們能夠再次回到祢的道理上學習
[00:00:12.480 --> 00:00:17.440]  求恩主祢 保守我們在聽祢的道的過程當中
[00:00:17.440 --> 00:00:23.060]  讓祢的道理成為我們生命栽培的動力
[00:00:23.060 --> 00:00:27.720]  保守我們被滋養在祢的真道裡面
[00:00:27.720 --> 00:00:31.980]  成長起來 更活著主祢的心思意念
[00:00:31.980 --> 00:00:33.520]  和主祢的方法
[00:00:33.520 --> 00:00:36.020]  讓我們無論聽的 講的
[00:00:36.020 --> 00:00:39.120]  都在祢的聖靈引導之下
[00:00:39.120 --> 00:00:42.080]  一步一步地貼近主祢的心
[00:00:42.080 --> 00:00:43.640]  慈愛的父神 感謝祢給我們
[00:00:43.640 --> 00:00:46.840]  能夠再次由這個生命來到主祢的跟前
[00:00:46.840 --> 00:00:48.760]  學習祢的道理
[00:00:48.760 --> 00:00:51.600]  求祢讓我們在學習的過程當中
[00:00:51.600 --> 00:00:54.040]  無論是我們的心思意念
[00:00:54.040 --> 00:00:58.400]  都在祢的聖靈裡面 夢審祢的掌管
[00:00:58.400 --> 00:01:00.120]  也在這個時候
[00:01:00.120 --> 00:01:02.920]  求祢帶領無論聽的 講的
[00:01:02.920 --> 00:01:05.400]  還是我們都能夠把祢的真道
[00:01:05.400 --> 00:01:09.160]  成為我們生命得到滋養
[00:01:09.160 --> 00:01:11.520]  活得更像我們的恩主
[00:01:11.520 --> 00:01:14.200]  這一方面 求聖靈帶領
[00:01:14.200 --> 00:01:15.520]  求祢的幫助
[00:01:15.520 --> 00:01:18.640]  我們達到公主耶穌的領袖
[00:01:18.640 --> 00:01:20.160]  Amen
[00:01:20.160 --> 00:01:23.360]  以前有一間我認識的小學裡面
[00:01:23.360 --> 00:01:26.080]  以前在一間我認識的小學裡面
[00:01:26.080 --> 00:01:28.840]  就有兩個很白艷的學生
[00:01:28.840 --> 00:01:31.160]  就有兩個很俏皮的學生
[00:01:31.160 --> 00:01:33.280]  說真的 我很喜歡做老師的
[00:01:33.280 --> 00:01:35.200]  所以我喜歡做老師
[00:01:35.200 --> 00:01:37.640]  所以發展業之後沒多久
[00:01:37.640 --> 00:01:38.760]  除了做完會計之後
[00:01:38.760 --> 00:01:40.280]  我們就去過教書
[00:01:40.280 --> 00:01:42.080]  之後我畢業以後
[00:01:42.080 --> 00:01:44.400]  做了一段時間筷子緣 我就去教書
[00:01:44.400 --> 00:01:47.960]  不過教書就看你教什麼程度
[00:01:47.960 --> 00:01:50.520]  教書看你教到什麼程度
[00:01:50.520 --> 00:01:52.680]  教小學 教中學 教大學
[00:01:52.680 --> 00:01:53.560]  都不同的
[00:01:53.560 --> 00:01:56.040]  教小學 中學和大學
[00:01:56.040 --> 00:01:56.960]  肯定是不一樣的
[00:01:56.960 --> 00:02:00.240]  因為教的東西的範圍不同
[00:02:00.240 --> 00:02:02.560]  因為教育的範圍不一樣
[00:02:02.560 --> 00:02:05.040]  教大學 我想好像都不用怎麼做
[00:02:05.040 --> 00:02:06.560]  就是不用怎麼管學生
[00:02:06.560 --> 00:02:09.320]  教大學恐怕你就不用怎麼去管理學生
[00:02:09.320 --> 00:02:11.240]  因為他們都大了 應該自律了
[00:02:11.240 --> 00:02:13.840]  因為他們已經應該學會自律了
[00:02:13.840 --> 00:02:15.440]  但教小學就很不同了
[00:02:15.440 --> 00:02:16.600]  教小學就不一樣
[00:02:16.600 --> 00:02:19.040]  你不就是教他課本上的東西
[00:02:19.040 --> 00:02:20.920]  你不光要教課本上的東西
[00:02:20.920 --> 00:02:22.480]  要教他怎麼做人
[00:02:22.480 --> 00:02:24.040]  還要教他怎麼去做人
[00:02:24.040 --> 00:02:27.120]  有一間小學有兩個很白眼的學生
[00:02:27.120 --> 00:02:30.360]  就是那間小學有兩個很調皮的學生
[00:02:30.360 --> 00:02:34.480]  他們在學校就經常犯校規的
[00:02:34.480 --> 00:02:37.080]  就是在學校經常犯規
[00:02:37.080 --> 00:02:38.920]  那為什麼學校為了防
[00:02:38.920 --> 00:02:41.440]  就是去教導學生才有這樣的規矩
[00:02:41.440 --> 00:02:44.360]  就是學校為了教導學生有這麼一個規矩
[00:02:44.360 --> 00:02:47.040]  如果學生犯校規的話呢
[00:02:47.040 --> 00:02:50.560]  如果學生犯了校規的話
[00:02:50.560 --> 00:02:53.680]  除了正常要回去罰抄書之外
[00:02:53.680 --> 00:02:57.240]  除了要抄書和抄寫課本以外
[00:02:57.240 --> 00:03:00.880]  抄書你知不知道在外國叫做什麼
[00:03:00.880 --> 00:03:02.000]  copy lines
[00:03:02.000 --> 00:03:02.640]  OK
[00:03:02.640 --> 00:03:03.760]  就是抄就抄
[00:03:03.760 --> 00:03:04.760]  罰抄之外呢
[00:03:04.760 --> 00:03:06.920]  除了罰抄之外
[00:03:06.920 --> 00:03:10.040]  這間學校就有這樣的規定
[00:03:10.040 --> 00:03:11.560]  學校有這麼一個規定
[00:03:11.560 --> 00:03:14.160]  犯了校規的學生就要罰站
[00:03:14.160 --> 00:03:16.920]  就是犯了規的學生要罰站
[00:03:16.920 --> 00:03:19.920]  這間學校每一天就有兩個小時的時間
[00:03:19.920 --> 00:03:25.640]  因為學校每天有兩個小時的休息時間
[00:03:25.640 --> 00:03:27.280]  那這兩個小時的時間呢
[00:03:27.280 --> 00:03:31.760]  就要罰在教員室的門口罰站
[00:03:31.760 --> 00:03:36.360]  就是說要在老師的門口罰站
[00:03:36.360 --> 00:03:37.800]  如果嚴重一點呢
[00:03:37.800 --> 00:03:38.600]  嚴重一點呢
[00:03:38.600 --> 00:03:40.200]  就不單止罰小息
[00:03:40.200 --> 00:03:45.520]  不是在兩個課室之間罰站
[00:03:45.520 --> 00:03:49.640]  而且還要在返學前和返學之後
[00:03:49.640 --> 00:03:51.400]  那段時間罰站
[00:03:51.400 --> 00:03:54.480]  就是在返學之前和返學之後
[00:03:54.480 --> 00:03:56.480]  到放學之後都要罰站
[00:03:56.480 --> 00:03:57.720]  那你可能會問
[00:03:57.720 --> 00:03:58.880]  那有什麼作用呢
[00:03:58.880 --> 00:04:00.640]  罰站有什麼作用呢
[00:04:00.640 --> 00:04:02.640]  他們的目的是這樣的
