
[00:00:00.000 --> 00:00:03.000]  感覺如何?回到聖經的教會
[00:00:03.000 --> 00:00:05.000]  嘩,好凹喔
[00:00:05.000 --> 00:00:07.000]  證明很久沒有回來
[00:00:07.000 --> 00:00:08.000]  回來覺得怎樣?
[00:00:08.000 --> 00:00:09.000]  (好開心)
[00:00:09.000 --> 00:00:11.000]  好開心是吧,OK
[00:00:11.000 --> 00:00:13.000]  一齊敬拜是不同的
[00:00:13.000 --> 00:00:15.000]  以及朗讀神的話語
[00:00:15.000 --> 00:00:19.000]  也是讓我們對神的話語加深印象
[00:00:19.000 --> 00:00:23.000]  以及對我們心靈上的一個影響是正面的
[00:00:23.000 --> 00:00:25.000]  所以都鼓勵大家多點讀聖經
[00:00:25.000 --> 00:00:27.000]  所以其實我們崇拜裡面
[00:00:27.000 --> 00:00:29.000]  特別今天你們發覺經文比較長
[00:00:29.000 --> 00:00:32.000]  剛才有沒有留意三張的膠片
[00:00:32.000 --> 00:00:34.000]  三張剪輯
[00:00:34.000 --> 00:00:36.000]  其實有BST的弟兄姐妹問我
[00:00:36.000 --> 00:00:38.000]  可不可以中間那張比較多字
[00:00:38.000 --> 00:00:40.000]  調到前面和後面
[00:00:40.000 --> 00:00:42.000]  我說不可以的,為什麼呢?
[00:00:42.000 --> 00:00:43.000]  因為如果你們剛才有讀
[00:00:43.000 --> 00:00:44.000]  其實你們有留意
[00:00:44.000 --> 00:00:46.000]  其實三張各有主題
[00:00:46.000 --> 00:00:48.000]  有沒有留意到?
[00:00:48.000 --> 00:00:49.000]  要不要再看一次?
[00:00:49.000 --> 00:00:52.000]  很快給你們看一次
[00:00:52.000 --> 00:00:55.000]  這個第一張其實就是一個簡介
[00:00:55.000 --> 00:00:56.000]  這個比喻的重點就是
[00:00:56.000 --> 00:00:59.000]  殺了在四種肚子裡面
[00:00:59.000 --> 00:01:01.000]  第二張其實就是解釋為什麼要用比喻
[00:01:01.000 --> 00:01:02.000]  所以這裡不可以剪輯的
[00:01:02.000 --> 00:01:06.000]  第三張,等我按,你後面不要按
[00:01:06.000 --> 00:01:10.000]  第三張就是解釋這個比喻為什麼
[00:01:10.000 --> 00:01:14.000]  這樣大家就有了物樂很清晰的
[00:01:14.000 --> 00:01:18.000]  其實我很想跟大家說比喻很久了
[00:01:18.000 --> 00:01:20.000]  因為在新約聖經裡面
[00:01:20.000 --> 00:01:23.000]  特別耶穌基督的言行和教訓
[00:01:23.000 --> 00:01:25.000]  有很多很寶貴的地方
[00:01:25.000 --> 00:01:30.000]  其中一系列很寶貴的就是比喻
[00:01:30.000 --> 00:01:34.000]  我希望能夠今天開始講一個系列
[00:01:34.000 --> 00:01:36.000]  就是天國的比喻
[00:01:36.000 --> 00:01:37.000]  今天講第一講
[00:01:37.000 --> 00:01:41.000]  就是我們很熟悉的叫做殺種的比喻
[00:01:41.000 --> 00:01:44.000]  講之前我們有個引言
[00:01:44.000 --> 00:01:45.000]  我就想起比喻
