
[00:00:00.000 --> 00:00:06.040]  今日想和大家一起思想如何跟隨耶穌
[00:00:06.040 --> 00:00:09.040]  我們一起打開聖經
[00:00:09.040 --> 00:00:11.040]  《瑪達福音》第五章
[00:00:11.040 --> 00:00:14.040]  我們只讀一節聖經
[00:00:14.040 --> 00:00:19.040]  《瑪達福音》第五章第二十節
[00:00:19.040 --> 00:00:24.040]  找到我們同聲動俗這段聖經
[00:00:24.040 --> 00:00:33.040]  我告訴你們,你們的義若不勝於民事和法理採人的義,斷不能進天國。
[00:00:33.040 --> 00:00:37.040]  今日我們來思想一個主題
[00:00:37.040 --> 00:00:40.040]  跟隨耶穌學道德抉擇
[00:00:40.040 --> 00:00:43.040]  什麼是道德的抉擇
[00:00:43.040 --> 00:00:45.040]  我們一會兒會講
[00:00:45.040 --> 00:00:47.040]  這一節的經文說
[00:00:47.040 --> 00:00:50.040]  我告訴你們,你們的義
[00:00:50.040 --> 00:00:55.040]  如果我改一改你們的道德標準
[00:00:55.040 --> 00:01:00.040]  不勝於民事和法理採人的標準
[00:01:00.040 --> 00:01:03.040]  斷不能進天國
[00:01:03.040 --> 00:01:05.040]  什麼東西
[00:01:05.040 --> 00:01:07.040]  當你說道德的時候
[00:01:07.040 --> 00:01:09.040]  你很快就想到
[00:01:09.040 --> 00:01:16.040]  我們今天來思想這個主題
[00:01:16.040 --> 00:01:19.040]  也思想我們做耶穌的門徒
[00:01:19.040 --> 00:01:21.040]  我們跟隨耶穌
[00:01:21.040 --> 00:01:23.040]  做一個道德的抉擇的時候
[00:01:23.040 --> 00:01:26.040]  我們要注意幾方面的事
[00:01:26.040 --> 00:01:28.040]  當戴完封之後
[00:01:28.040 --> 00:01:30.040]  你去街市買菜
[00:01:30.040 --> 00:01:32.040]  可能姐妹會清楚一點
[00:01:32.040 --> 00:01:36.040]  那些菜,特別是蔬菜
[00:01:36.040 --> 00:01:37.040]  會貴了一點
[00:01:37.040 --> 00:01:44.040]  以前經常聽人說
[00:01:44.040 --> 00:01:47.040]  戴完封去街市買菜
[00:01:47.040 --> 00:01:49.040]  貴很多的
[00:01:49.040 --> 00:01:52.040]  究竟那些商人
[00:01:52.040 --> 00:01:54.040]  是因為來貨貴
[00:01:54.040 --> 00:01:55.040]  所以要加你價
[00:01:55.040 --> 00:01:58.040]  還是坐地起價
[00:01:58.040 --> 00:02:00.040]  你覺得是怎樣
[00:02:00.040 --> 00:02:04.040]  昨晚有些人說坐地起價
[00:02:04.040 --> 00:02:06.040]  來貨貴
[00:02:06.040 --> 00:02:09.040]  當沙士03年的時候
[00:02:09.040 --> 00:02:11.040]  你買一個口罩
[00:02:11.040 --> 00:02:13.040]  比平日貴幾倍
[00:02:13.040 --> 00:02:15.040]  你覺得他是坐地起價
[00:02:15.040 --> 00:02:17.040]  還是來貨貴了呢
[00:02:17.040 --> 00:02:21.040]  兩樣都有也說不定
[00:02:21.040 --> 00:02:23.040]  如果他是來貨貴
[00:02:23.040 --> 00:02:24.040]  加你價
[00:02:24.040 --> 00:02:25.040]  這個很合理
[00:02:25.040 --> 00:02:27.040]  因為這個
[00:02:27.040 --> 00:02:30.040]  只是反映可能供求的需要
[00:02:30.040 --> 00:02:32.040]  如果他是坐地起價
[00:02:32.040 --> 00:02:35.040]  這個就不是一個經濟的問題
[00:02:35.040 --> 00:02:37.040]  這個是一個道德的問題
[00:02:37.040 --> 00:02:44.040]  你在這個自由經濟市場
[00:02:44.040 --> 00:02:48.040]  你那個道德的操守
[00:02:48.040 --> 00:02:50.040]  是怎樣呢
[00:02:50.040 --> 00:02:52.040]  當說道德
[00:02:52.040 --> 00:02:55.040]  我不知道大家想到什麼
[00:02:55.040 --> 00:02:59.040]  我們會思想什麼叫道德
[00:02:59.040 --> 00:03:03.040]  最近我來讀了一本書
[00:03:03.040 --> 00:03:06.040]  叫做公正義
[00:03:06.040 --> 00:03:08.040]  這本書是一位大學教授
[00:03:08.040 --> 00:03:14.040]  將他在課堂討論的一些東西
[00:03:14.040 --> 00:03:16.040]  寫了一本書
[00:03:16.040 --> 00:03:25.040]  給我一些刺激道德的思想
[00:03:25.040 --> 00:03:29.040]  這本書寫了很多例子
[00:03:29.040 --> 00:03:31.040]  今天我也引用了一些例子
[00:03:31.040 --> 00:03:33.040]  在2004年
[00:03:33.040 --> 00:03:36.040]  佛羅特州被颱風吹襲
[00:03:36.040 --> 00:03:39.040]  造成有22人死亡
[00:03:39.040 --> 00:03:41.040]  90億元財物損失
[00:03:41.040 --> 00:03:43.040]  颱風之後
[00:03:43.040 --> 00:03:46.040]  當時停電
