
[00:00:00.000 --> 00:00:05.280]  我們今天來看三文魚記上的22章
[00:00:05.280 --> 00:00:09.240]  今天跟大家說這兩節的經文
[00:00:09.240 --> 00:00:14.000]  如果大家記得在上一次
[00:00:14.000 --> 00:00:16.720]  我想都不會記得 因為隔了兩個禮拜
[00:00:16.720 --> 00:00:19.720]  一個禮拜可能都不記得 別說兩個禮拜
[00:00:19.720 --> 00:00:22.560]  兩個禮拜之前是說什麼 有沒有記得
[00:00:22.560 --> 00:00:27.520]  (笑聲)
[00:00:27.520 --> 00:00:32.720]  啊 厲害 E6厲害
[00:00:32.720 --> 00:00:35.360]  究竟什麼是我們真正的要求
[00:00:35.360 --> 00:00:39.240]  我們知道這段期間大衛發覺
[00:00:39.240 --> 00:00:42.320]  很多事情都不能夠成為他真正的要求
[00:00:42.320 --> 00:00:46.880]  無論他的妻子 無論他的好朋友 或者良師
[00:00:46.880 --> 00:00:51.320]  這些全部他的權勢忽然間就沒有了
[00:00:51.320 --> 00:00:54.680]  他越來越發覺這些不是他真正的要求
[00:00:54.680 --> 00:00:57.040]  究竟什麼是他真正的要求呢
[00:00:57.040 --> 00:01:01.760]  在這段時間裏 他很深刻的寫了很多的詩篇
[00:01:01.760 --> 00:01:06.000]  表達他自己對神的愛慕和敬拜
[00:01:06.000 --> 00:01:11.160]  他越來越發覺 真是神是我們真正的要求
[00:01:11.160 --> 00:01:15.200]  所以今天我們來看這22章這兩節的經文
[00:01:15.200 --> 00:01:19.360]  就可以體會到有大衛的心境
[00:01:19.360 --> 00:01:22.200]  因為從第22章開始的後幾章
[00:01:22.200 --> 00:01:26.440]  其實大衛是漂流在曠野的時候
[00:01:26.440 --> 00:01:30.680]  而很多時候他在睡覺和生活的時候
[00:01:30.680 --> 00:01:34.560]  躲在哪裡呢?就是躲在山洞裏面
[00:01:34.560 --> 00:01:37.320]  所以在這幅相大家都可以留意到
[00:01:37.320 --> 00:01:41.480]  就是在山洞裏面 在洞穴裏面的生活
[00:01:41.480 --> 00:01:46.120]  以至他能夠逃避蘇羅對他的追殺
[00:01:46.120 --> 00:01:48.920]  所以在22章開始的時候第一節就這樣說
[00:01:48.920 --> 00:01:51.240]  我們一起讀這節經文好嗎?請讀
[00:01:51.240 --> 00:01:56.760]  大衛就離開那裏 逃到阿道蘭洞
[00:01:56.760 --> 00:02:02.080]  他的弟兄和他父親的全家聽見了
[00:02:02.080 --> 00:02:05.840]  就都下到他那裏
[00:02:05.840 --> 00:02:11.200]  所以我們看見大衛逃到阿道蘭洞
[00:02:11.200 --> 00:02:14.120]  發覺有很多的人跟著他
[00:02:14.120 --> 00:02:17.120]  聽見的時候都到他那裏去
[00:02:17.120 --> 00:02:20.160]  除了父家之外 待會讀到第二節
[00:02:20.160 --> 00:02:24.280]  我們更加見到有差不多有400名的
[00:02:24.280 --> 00:02:27.960]  這些跟從者都去到他那裏
