
[00:00:00.000 --> 00:00:02.000]  讓我們一起同心祈禱
[00:00:02.000 --> 00:00:05.000]  掛點我們要感謝祢自己的恩典
[00:00:05.000 --> 00:00:07.000]  讓我們在主耶穌的清晨
[00:00:07.000 --> 00:00:09.000]  可以在這裡聚集
[00:00:09.000 --> 00:00:11.000]  敬拜祢
[00:00:11.000 --> 00:00:13.000]  聆聽祢的話語
[00:00:13.000 --> 00:00:15.000]  求祢幫助我們了解
[00:00:15.000 --> 00:00:17.000]  主耶穌為我們死
[00:00:17.000 --> 00:00:19.000]  是要叫我們為義而活
[00:00:19.000 --> 00:00:22.000]  求祢帶領我們今天的崇拜
[00:00:22.000 --> 00:00:24.000]  帶領我們的精度
[00:00:24.000 --> 00:00:27.000]  讓祢的聖靈在我心裡面指教我們
[00:00:27.000 --> 00:00:30.000]  奉耶穌基督的名祈禱
[00:00:30.000 --> 00:00:37.000]  人生裡面很難避免有苦難
[00:00:37.000 --> 00:00:40.000]  而苦難是一個很難解釋的問題
[00:00:40.000 --> 00:00:43.000]  很多時候基督徒講到苦難
[00:00:43.000 --> 00:00:46.000]  就會想起約伯記
[00:00:46.000 --> 00:00:48.000]  甚至讀約伯記
[00:00:48.000 --> 00:00:51.000]  希望找出一個苦難的原因
[00:00:51.000 --> 00:00:55.000]  但是約伯雖然是很苦
[00:00:55.000 --> 00:00:58.000]  但上帝並沒有向他解釋
[00:00:58.000 --> 00:01:00.000]  受苦的原因
[00:01:00.000 --> 00:01:02.000]  反而有一位學者指出
[00:01:02.000 --> 00:01:05.000]  這句話我從前都忽略了
[00:01:05.000 --> 00:01:08.000]  約伯記真正要討論的問題
[00:01:08.000 --> 00:01:11.000]  其實不是義人為何受苦
[00:01:11.000 --> 00:01:13.000]  而是怎樣的人
[00:01:13.000 --> 00:01:17.000]  才算是真正敬畏上帝的人
[00:01:17.000 --> 00:01:19.000]  但是我們今天不是講約伯記
[00:01:19.000 --> 00:01:21.000]  也不是研究約伯記的苦難
[00:01:21.000 --> 00:01:24.000]  而是詩篇二十二篇
[00:01:24.000 --> 00:01:27.000]  一篇完全可以應用在
[00:01:27.000 --> 00:01:31.000]  微塞受苦和死的詩篇
[00:01:31.000 --> 00:01:34.000]  這篇詩也是大衛的詩
[00:01:34.000 --> 00:01:38.000]  根據我們對大衛生平的了解
[00:01:38.000 --> 00:01:42.000]  他最苦最苦的期間
[00:01:42.000 --> 00:01:44.000]  很可能是被掃落
[00:01:44.000 --> 00:01:46.000]  追殺了他十幾年
[00:01:46.000 --> 00:01:48.000]  那段時期
[00:01:48.000 --> 00:01:51.000]  那段時期根據聖經記載
[00:01:51.000 --> 00:01:54.000]  有一次是為了逃避掃羅
[00:01:54.000 --> 00:01:57.000]  走到外族人的地方
[00:01:57.000 --> 00:02:00.000]  他當時很怕被人殺害
[00:02:00.000 --> 00:02:04.000]  於是就扮成是瘋的
[00:02:04.000 --> 00:02:08.000]  結果撿回了性命
[00:02:08.000 --> 00:02:11.000]  我想詩篇二十二篇
[00:02:11.000 --> 00:02:14.000]  是很有可能是那時寫的
[00:02:14.000 --> 00:02:17.000]  你扮成瘋瘋癲癲就被人玩了
[00:02:17.000 --> 00:02:19.000]  就有很多痛苦
[00:02:19.000 --> 00:02:24.000]  不過同時是上帝給他的磨練
[00:02:24.000 --> 00:02:28.000]  並且促成他寫下了這篇詩
[00:02:28.000 --> 00:02:32.000]  預言到主耶穌所受的痛苦
[00:02:32.000 --> 00:02:37.000]  這篇詩從內容去分析
[00:02:37.000 --> 00:02:40.000]  很多神學家都將它歸類為
[00:02:40.000 --> 00:02:44.000]  哀歌或者申訴詩
[00:02:44.000 --> 00:02:49.000]  一般來說在詩篇裏面的申訴詩
[00:02:49.000 --> 00:02:52.000]  都包含了六個元素
[00:02:52.000 --> 00:02:54.000]  不一定每一篇都有
[00:02:54.000 --> 00:02:57.000]  但這一篇就有了這六個元素
[00:02:57.000 --> 00:03:00.000]  首先就是向神呼求
[00:03:00.000 --> 00:03:04.000]  就是二十二篇一到二節
[00:03:04.000 --> 00:03:07.000]  然後就是表明信靠
[00:03:07.000 --> 00:03:09.000]  有兩段經文
[00:03:09.000 --> 00:03:11.000]  三至五節和九節到十一節
[00:03:11.000 --> 00:03:14.000]  然後就是向神訴苦
[00:03:14.000 --> 00:03:17.000]  就是六至八節和十二至十八節
[00:03:17.000 --> 00:03:19.000]  然後就是祈求
[00:03:19.000 --> 00:03:21.000]  你想怎樣
[00:03:21.000 --> 00:03:24.000]  就將你的心願向神祈求
[00:03:24.000 --> 00:03:26.000]  有許願的
[00:03:26.000 --> 00:03:28.000]  二十二至二十五節
[00:03:28.000 --> 00:03:30.000]  然後就是讚美結束
[00:03:30.000 --> 00:03:32.000]  二十六至三十一節
[00:03:32.000 --> 00:03:34.000]  我們留意到
