
[00:00:00.000 --> 00:00:04.000]  讓我們一齊的同聲祈禱
[00:00:30.000 --> 00:00:34.000]  能夠藉著祢的話 淺信於行
[00:00:34.000 --> 00:00:36.000]  我們這樣的祈禱
[00:00:36.000 --> 00:00:40.000]  是藉群洋大目者耶穌基督的命求
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:44.000]  復興的前奏
[00:00:44.000 --> 00:00:50.000]  近幾年我相信大家會一直用Facebook又或者Twitter
[00:00:50.000 --> 00:00:56.000]  更加我經常在每一天大概檢視過自己
[00:00:56.000 --> 00:01:01.000]  我大大話話每一天都應該要來回回覆50個WhatsApp
[00:01:01.000 --> 00:01:05.000]  群組就不得了了
[00:01:05.000 --> 00:01:08.000]  所以昨晚當我和自己的團契說
[00:01:08.000 --> 00:01:13.000]  可不可以讓我這個目者進入你們每一個小組的群組
[00:01:13.000 --> 00:01:17.000]  他們都說牧師你進來就有很多群組
[00:01:17.000 --> 00:01:21.000]  我說不要緊 四十幾個加起來你們也只是四十七八個
[00:01:21.000 --> 00:01:25.000]  我知道自己有時候也要學習
[00:01:25.000 --> 00:01:28.000]  好好處理一些溝通聯絡的事
[00:01:28.000 --> 00:01:31.000]  但有一件事我特別留意到這幾年
[00:01:31.000 --> 00:01:33.000]  就是當我的手機一直用的時候
[00:01:33.000 --> 00:01:35.000]  不知為何慢慢會慢
[00:01:35.000 --> 00:01:38.000]  還有開始好像停滯不前
[00:01:38.000 --> 00:01:41.000]  我知道原來有一件事我是忘記了做的
[00:01:41.000 --> 00:01:43.000]  大家知道是什麼吧
[00:01:43.000 --> 00:01:45.000]  就是要定時定候
[00:01:45.000 --> 00:01:50.000]  將一些裡面積累的東西要清理
[00:01:50.000 --> 00:01:53.000]  我不敢說全部都是沒用的
[00:01:53.000 --> 00:01:56.000]  但總是有些東西已經談好了或做好了
[00:01:56.000 --> 00:01:59.000]  有時甚至乎如果你再放在那裡
[00:01:59.000 --> 00:02:02.000]  就真的會有時卡住了
[00:02:02.000 --> 00:02:05.000]  令你會機慢
[00:02:05.000 --> 00:02:10.000]  今天當我們試圖面對自己生命的成長的時候
[00:02:10.000 --> 00:02:12.000]  有時我們都可能不自覺
[00:02:12.000 --> 00:02:14.000]  悄悄問了很多的事
[00:02:14.000 --> 00:02:17.000]  這些事我經常都用這個說話說
[00:02:17.000 --> 00:02:19.000]  要結帳的
[00:02:19.000 --> 00:02:21.000]  你可以今天不結帳
[00:02:21.000 --> 00:02:24.000]  但生命裡面如果有些東西積累了
[00:02:24.000 --> 00:02:26.000]  而沒有去處理
[00:02:26.000 --> 00:02:28.000]  沒有去面對的時候
[00:02:28.000 --> 00:02:30.000]  它一定有一天會外露
[00:02:30.000 --> 00:02:33.000]  又或者不在今天這個地上外露
[00:02:33.000 --> 00:02:36.000]  在神的面前都會外露
[00:02:36.000 --> 00:02:39.000]  所以今天早上我們去講復興的時候
[00:02:39.000 --> 00:02:41.000]  我的意思是復興這個字句
[00:02:41.000 --> 00:02:44.000]  按著基督教的名詞這樣分析
[00:02:44.000 --> 00:02:47.000]  就是告訴我們當一個生命
[00:02:47.000 --> 00:02:50.000]  或者當一個活物這樣說
[00:02:50.000 --> 00:02:52.000]  在他的人生裡面
[00:02:52.000 --> 00:02:54.000]  有時他經歷到外濟
[00:02:54.000 --> 00:02:56.000]  甚至乎無力
[00:02:56.000 --> 00:02:58.000]  甚至他的生命開始處於一種
[00:02:58.000 --> 00:03:00.000]  慢慢停滯下來
[00:03:00.000 --> 00:03:02.000]  以致低落下來的時候
[00:03:02.000 --> 00:03:04.000]  他需要重新灌注
[00:03:04.000 --> 00:03:06.000]  神給他一種敏銳的心靈
[00:03:06.000 --> 00:03:08.000]  或者一個passion
[00:03:08.000 --> 00:03:11.000]  以致他能夠在凡事上
[00:03:11.000 --> 00:03:13.000]  體會到神自己
[00:03:13.000 --> 00:03:15.000]  貼近到神自己的心
[00:03:15.000 --> 00:03:19.000]  而行出神要他所做的一切
[00:03:19.000 --> 00:03:23.000]  復興對於我們來說
[00:03:23.000 --> 00:03:26.000]  可以說是一種火熱的熾熱
[00:03:26.000 --> 00:03:27.000]  但不是一時
[00:03:27.000 --> 00:03:29.000]  是一路不斷地
[00:03:29.000 --> 00:03:30.000]  好像一排火柴
[00:03:30.000 --> 00:03:32.000]  一路點燃下去
[00:03:32.000 --> 00:03:35.000]  過去在教會歷史裡面
[00:03:35.000 --> 00:03:38.000]  有眾多不同的復興運動
[00:03:38.000 --> 00:03:40.000]  但我們見到復興運動
[00:03:40.000 --> 00:03:41.000]  不只是煞時
[00:03:41.000 --> 00:03:44.000]  而是慢慢根植人心
[00:03:44.000 --> 00:03:45.000]  保羅就說
[00:03:45.000 --> 00:03:47.000]  提摩泰
[00:03:47.000 --> 00:03:48.000]  神要藉著我
[00:03:48.000 --> 00:03:50.000]  將你身上的恩賜
[00:03:50.000 --> 00:03:53.000]  再如火挑旺起來
[00:03:53.000 --> 00:03:54.000]  因為神賜給我們
[00:03:54.000 --> 00:03:55.000]  已經實實在在
[00:03:55.000 --> 00:03:57.000]  有一樣東西在這裡
[00:03:57.000 --> 00:03:59.000]  就是不是膽怯
[00:03:59.000 --> 00:04:01.000]  是剛強仁愛謹守的心
[00:04:01.000 --> 00:04:02.000]  這些東西在你裡面
[00:04:02.000 --> 00:04:03.000]  不過不知道為什麼
[00:04:03.000 --> 00:04:06.000]  被很多其他的雜物
[00:04:06.000 --> 00:04:07.000]  或者雜質
[00:04:07.000 --> 00:04:10.000]  慢慢地堆積在你的生命裡面
[00:04:10.000 --> 00:04:12.000]  以致你停滯不前
[00:04:12.000 --> 00:04:14.000]  甚至低落
[00:04:14.000 --> 00:04:17.000]  所以要再一次燃點
[00:04:17.000 --> 00:04:18.000]  就願意今早上
[00:04:18.000 --> 00:04:21.000]  我們一起來思想
[00:04:21.000 --> 00:04:25.000]  復興是在我們的生命出現
