
[00:00:00.000 --> 00:00:03.720]  我們現在怎樣去明白約書亞記呢?
[00:00:03.720 --> 00:00:04.960]  其實聖經學者告訴我們
[00:00:04.960 --> 00:00:08.640]  約書亞記的架構其實很簡單
[00:00:08.640 --> 00:00:09.920]  有四個架構
[00:00:09.920 --> 00:00:11.680]  一至五章一個
[00:00:11.680 --> 00:00:13.160]  六至十二章
[00:00:13.160 --> 00:00:16.480]  十三至二十二章一個部分
[00:00:16.480 --> 00:00:20.160]  最後二十三至二十四章一部分
[00:00:20.160 --> 00:00:22.040]  第一章第一部分是講
[00:00:22.040 --> 00:00:24.840]  新摩西探迦南
[00:00:24.840 --> 00:00:29.280]  又是猜遣探子
[00:00:29.280 --> 00:00:31.000]  第二章是探完
[00:00:31.000 --> 00:00:34.480]  現在要征戰成功失敗
[00:00:34.480 --> 00:00:36.160]  我們喜歡一個成功的故事
[00:00:36.160 --> 00:00:37.640]  其中一個就是耶利哥
[00:00:37.640 --> 00:00:39.120]  我們最熟悉的
[00:00:39.120 --> 00:00:41.920]  失敗的故事你記不記得是甚麼
[00:00:41.920 --> 00:00:45.600]  有沒有記得那個阿肝的故事
[00:00:45.600 --> 00:00:46.400]  艾成
[00:00:46.400 --> 00:00:47.200]  有沒有聽過
[00:00:47.200 --> 00:00:47.800]  艾成
[00:00:47.800 --> 00:00:49.120]  他們去攻艾成
[00:00:49.120 --> 00:00:51.160]  他以為很容易攻
[00:00:51.160 --> 00:00:52.360]  結果攻不到
[00:00:52.360 --> 00:00:55.000]  原因是因為阿肝偷了一些東西
[00:00:55.000 --> 00:00:57.760]  上帝說所有的東西都要獻給他
[00:00:57.760 --> 00:00:58.520]  要火燒
[00:00:58.520 --> 00:01:00.080]  但是阿肝自己看到
[00:01:00.080 --> 00:01:02.280]  哇金銀珠寶
[00:01:02.280 --> 00:01:03.280]  他自己留著
[00:01:03.280 --> 00:01:04.280]  於是不行
[00:01:04.280 --> 00:01:08.000]  接著要找回阿肝才可以攻城
[00:01:08.000 --> 00:01:09.920]  征戰的成功與失敗
[00:01:09.920 --> 00:01:12.080]  其實在整個故事來講
[00:01:12.080 --> 00:01:15.080]  耶利哥的城不是很重要
[00:01:15.080 --> 00:01:15.760]  接著
[00:01:15.760 --> 00:01:20.400]  第十三至二十二章是講土地的分配
[00:01:20.400 --> 00:01:21.280]  不同的支牌
[00:01:21.280 --> 00:01:22.280]  因為我們會看
[00:01:22.280 --> 00:01:24.120]  最後立約
[00:01:24.120 --> 00:01:25.880]  你們要不要侍奉上帝
[00:01:25.880 --> 00:01:27.800]  在整個故事裡面
[00:01:27.800 --> 00:01:29.120]  你會發現
[00:01:29.120 --> 00:01:31.040]  有一個叫做應許成全
[00:01:31.040 --> 00:01:32.200]  應許未成
[00:01:32.200 --> 00:01:34.400]  Already and not yet
[00:01:34.400 --> 00:01:35.680]  已經成全的地方
[00:01:35.680 --> 00:01:37.480]  終於他們回到土地
[00:01:37.480 --> 00:01:40.080]  就是自從阿巴拉罕離開了
[00:01:40.080 --> 00:01:43.040]  或者應該是阿巴拉罕
[00:01:43.040 --> 00:01:45.320]  以薩雅閣
[00:01:45.320 --> 00:01:46.480]  去約瑟那一帶
[00:01:46.480 --> 00:01:48.400]  離開了這個應許之地之後
[00:01:48.400 --> 00:01:49.800]  都沒有回去
[00:01:49.800 --> 00:01:50.280]  是吧
[00:01:50.280 --> 00:01:53.400]  現在終於可以回到這個應許
[00:01:53.400 --> 00:01:55.560]  從某個角度來講是成就了的
[00:01:55.560 --> 00:01:57.040]  但是從另一個角度來講
[00:01:57.040 --> 00:01:58.080]  是還沒有成就的
[00:01:58.080 --> 00:01:58.840]  為什麼呢
[00:01:58.840 --> 00:02:02.360]  因為如果你去看最後那兩章
[00:02:02.360 --> 00:02:04.360]  約瑟在這裡
[00:02:04.360 --> 00:02:05.600]  跟他們挑戰
[00:02:05.600 --> 00:02:06.560]  我們大家都很熟悉
[00:02:06.560 --> 00:02:08.040]  至於我和我家
