
[00:00:00.000 --> 00:00:02.240]  剛才見到很多年青人
[00:00:02.240 --> 00:00:04.800]  一起跟我們敬拜讚美主有感恩
[00:00:04.800 --> 00:00:08.040]  今天很多代言之會在我們當中聚集
[00:00:08.040 --> 00:00:10.560]  今天第一主日我們有主餐
[00:00:10.560 --> 00:00:11.760]  今天很特別
[00:00:11.760 --> 00:00:14.400]  簡直港島經文也用了主餐的經文
[00:00:14.400 --> 00:00:18.600]  可能我們有時忽略了上文下理的框架
[00:00:18.600 --> 00:00:22.280]  為何會在哥倫巴前書提到主餐呢
[00:00:22.280 --> 00:00:24.840]  你見到我們今天的經文是三十四節
[00:00:24.840 --> 00:00:26.080]  剛才讀到二十六節
[00:00:26.080 --> 00:00:27.720]  待會二十七至三十四節
[00:00:27.720 --> 00:00:31.560]  我去到我的港島後半部才讀
[00:00:31.560 --> 00:00:34.240]  我很喜歡這幅圖畫帶出主餐
[00:00:34.240 --> 00:00:35.320]  不過時間關係
[00:00:35.320 --> 00:00:38.840]  希望我將來最有機會分享這幅圖畫
[00:00:38.840 --> 00:00:41.920]  這個圓代表主餐是一個合一
[00:00:41.920 --> 00:00:43.840]  一個不分界限
[00:00:43.840 --> 00:00:46.520]  彼此分享的圓形
[00:00:46.520 --> 00:00:48.400]  我們見到很多人舉手讚美
[00:00:48.400 --> 00:00:49.720]  有些人在洗腳
[00:00:49.720 --> 00:00:50.920]  其實背景在裡面
[00:00:50.920 --> 00:00:53.080]  待會我會再提及到
[00:00:53.080 --> 00:00:54.880]  其實大家都知道
[00:00:54.880 --> 00:00:56.960]  這段時間我在讀江蘭多前書
[00:00:56.960 --> 00:00:59.920]  有個系列叫「教會問題多系列」
[00:00:59.920 --> 00:01:04.520]  究竟保羅在講江蘭多教會有甚麼問題呢
[00:01:04.520 --> 00:01:05.200]  其實很簡單
[00:01:05.200 --> 00:01:06.880]  一個字「分黨分裂」
[00:01:06.880 --> 00:01:09.520]  將整個問題點出來
[00:01:09.520 --> 00:01:11.280]  連續三次經文
[00:01:11.280 --> 00:01:12.760]  在一章十節
[00:01:12.760 --> 00:01:13.680]  十一章十八節
[00:01:13.680 --> 00:01:16.800]  十二章廿節都有提到「分裂」這個字
[00:01:16.800 --> 00:01:17.840]  在一章十節都提到
[00:01:17.840 --> 00:01:20.160]  他們分裂到有些崇尚
[00:01:20.160 --> 00:01:21.280]  有些不同的領袖
[00:01:21.280 --> 00:01:22.960]  保羅派
[00:01:22.960 --> 00:01:25.240]  亞科羅派
[00:01:25.240 --> 00:01:26.640]  基法派
[00:01:26.640 --> 00:01:27.960]  基督派等等
[00:01:27.960 --> 00:01:29.080]  在剛才讀經文時
[00:01:29.080 --> 00:01:30.160]  在「聚會」中
[00:01:30.160 --> 00:01:31.040]  「聚會」是甚麼意思
[00:01:31.040 --> 00:01:32.640]  「聚會」即是聚在一起
[00:01:32.640 --> 00:01:34.280]  都有些分黨分裂的事出現
[00:01:34.280 --> 00:01:36.080]  待會我會再看多一點
[00:01:36.080 --> 00:01:37.760]  下一次看十二章
[00:01:37.760 --> 00:01:38.720]  又會提到
[00:01:38.720 --> 00:01:41.320]  基督的身體分門別類
[00:01:41.320 --> 00:01:42.240]  按照因次
[00:01:42.240 --> 00:01:43.240]  按照很多問題
[00:01:43.240 --> 00:01:47.080]  大家都分了很多的分黨分派
[00:01:47.080 --> 00:01:49.200]  這就是江蘭多教會的問題
[00:01:49.200 --> 00:01:52.320]  其實如果教會的領袖
[00:01:52.320 --> 00:01:56.480]  將熟悉的分黨鬥爭
[00:01:56.480 --> 00:01:58.040]  熟悉的驕傲
[00:01:58.040 --> 00:01:59.360]  歧視的手法
[00:01:59.360 --> 00:02:00.640]  帶到教會
[00:02:00.640 --> 00:02:02.800]  教會就會不斷出現很多問題
[00:02:02.800 --> 00:02:04.520]  就好像在過去這個系列中
[00:02:04.520 --> 00:02:05.800]  我們見到
[00:02:05.800 --> 00:02:07.000]  當時江蘭多教會
[00:02:07.000 --> 00:02:09.400]  就是因為熟悉的驕傲
[00:02:09.400 --> 00:02:11.200]  很多人都是自己照顧自己
[00:02:11.200 --> 00:02:12.240]  不理會其他人
[00:02:12.240 --> 00:02:14.080]  很多分黨分派的問題
[00:02:14.080 --> 00:02:15.480]  將問題越來越大
[00:02:15.480 --> 00:02:17.280]  好像雪球效應一樣
[00:02:17.280 --> 00:02:19.040]  出現了很多很多的事
[00:02:19.040 --> 00:02:20.360]  輕視了別人
[00:02:20.360 --> 00:02:21.760]  濫用了自己的自由
[00:02:21.760 --> 00:02:23.120]  有淫亂的問題
[00:02:23.120 --> 00:02:24.680]  我不再重複了
