
[00:00:00.000 --> 00:00:01.400]  今日我們一起在這裡
[00:00:01.400 --> 00:00:05.500]  敬拜主 也都思想主的話語
[00:00:05.500 --> 00:00:10.200]  我們打開《已忽所書》第四章
[00:00:10.200 --> 00:00:12.200]  十七到三十二節
[00:00:12.200 --> 00:00:16.400]  《已忽所書》四章十七至三十二節
[00:00:16.400 --> 00:00:18.200]  大家先掀著在這裡
[00:00:18.200 --> 00:00:20.100]  我們暫時不讀
[00:00:20.100 --> 00:00:24.400]  我們一會兒先分開幾段來讀
[00:00:24.400 --> 00:00:29.700]  我們先一起低頭祈禱
[00:00:29.700 --> 00:00:33.100]  三位一體的真神我們敬拜禰
[00:00:33.100 --> 00:00:37.100]  唯有禰值得我們尊崇
[00:00:37.100 --> 00:00:39.400]  在這個世代裡面
[00:00:39.400 --> 00:00:42.400]  求禰成為我們唯一的根基
[00:00:42.400 --> 00:00:44.200]  唯一的依靠
[00:00:44.200 --> 00:00:45.900]  求禰幫助我們
[00:00:45.900 --> 00:00:49.700]  今日當我們打開禰的話語來思想
[00:00:49.700 --> 00:00:53.600]  求聖靈引導我們進入真理
[00:00:53.600 --> 00:00:56.000]  幫助我們檢視自己
[00:00:56.000 --> 00:01:00.200]  也都被禰的靈來更新
[00:01:00.200 --> 00:01:03.000]  願主帶領我們 願我們同在
[00:01:03.000 --> 00:01:04.700]  使說的聽的
[00:01:04.700 --> 00:01:06.900]  都在你面前蒙福
[00:01:06.900 --> 00:01:08.700]  奉耶穌基督的聖名
[00:01:08.700 --> 00:01:12.700]  阿們
[00:01:12.700 --> 00:01:15.400]  在這個世代
[00:01:15.400 --> 00:01:18.400]  我們知道在香港生活
[00:01:18.400 --> 00:01:23.600]  那些人對基督徒都有很特別的看法
[00:01:23.600 --> 00:01:26.200]  所以我們也都生活在
[00:01:26.200 --> 00:01:31.100]  其他人特別的眼光當中
[00:01:31.100 --> 00:01:34.300]  一般的人對基督徒的操守
[00:01:34.300 --> 00:01:38.100]  都有一個比較高的要求
[00:01:38.100 --> 00:01:42.400]  所以在報紙在傳媒上面我們見到
[00:01:42.400 --> 00:01:46.200]  如果有一個信主的人犯了事
[00:01:46.200 --> 00:01:48.100]  那些報紙都會特別
[00:01:48.100 --> 00:01:52.800]  標示他是一個虔誠基督徒
[00:01:52.800 --> 00:01:54.300]  什麼意思
[00:01:54.300 --> 00:01:57.700]  就是你看看基督徒是什麼樣子
[00:01:57.700 --> 00:02:00.200]  如果他有其他宗教信仰
[00:02:00.200 --> 00:02:04.900]  很少說他是一個虔誠的基督徒
[00:02:04.900 --> 00:02:09.900]  就是基督徒特別被人來
[00:02:09.900 --> 00:02:12.000]  標示出來
[00:02:12.000 --> 00:02:15.200]  在公司裡面如果有一個基督徒
[00:02:15.200 --> 00:02:17.000]  做得不好的
[00:02:17.000 --> 00:02:18.400]  其他人會怎樣
[00:02:18.400 --> 00:02:20.200]  你看看這些基督徒
[00:02:20.200 --> 00:02:22.000]  假冒為善
[00:02:22.000 --> 00:02:24.800]  不外如是
[00:02:24.800 --> 00:02:28.300]  其實不單止人對基督徒的要求
[00:02:28.300 --> 00:02:30.600]  特別高
[00:02:30.600 --> 00:02:34.400]  我們發覺連基督徒自己對自己的要求
[00:02:34.400 --> 00:02:36.700]  都比一般人高
[00:02:36.700 --> 00:02:39.300]  在教會裡面我們都會見到
[00:02:39.300 --> 00:02:41.200]  有一些信徒
[00:02:41.200 --> 00:02:46.100]  如果他不能夠完全明白救恩的意義
[00:02:46.100 --> 00:02:48.200]  當他看到自己
[00:02:48.200 --> 00:02:51.200]  內里的一些罪的時候
[00:02:51.200 --> 00:02:53.100]  他們會感到很內疚
[00:02:53.100 --> 00:02:55.300]  很沮喪
