
[00:00:00.000 --> 00:00:04.140]  我今次曾讓我再有機會和大家宣講講解他的話語
[00:00:04.140 --> 00:00:08.740]  雖然到十二月踏入這個章林期
[00:00:08.740 --> 00:00:12.340]  我們都會帶著比往年更加沉重的心情
[00:00:12.340 --> 00:00:14.680]  進入這段等候的季節
[00:00:14.680 --> 00:00:20.800]  在大埔黃福縣的大火奪去超過一百五十人的生命
[00:00:20.800 --> 00:00:24.340]  千幾戶家庭需要撤離
[00:00:24.340 --> 00:00:25.920]  再安置
[00:00:25.920 --> 00:00:29.340]  我們看到新聞裏面的影片
[00:00:29.680 --> 00:00:30.680]  圖片
[00:00:30.680 --> 00:00:34.260]  他用失去家人的相通
[00:00:34.260 --> 00:00:36.380]  火牆後焦黑的家園
[00:00:36.380 --> 00:00:39.600]  徬徨等待安置的群眾
[00:00:39.600 --> 00:00:41.160]  我們心裏面都會問
[00:00:41.160 --> 00:00:43.660]  主呀,究竟平安在哪裏呢?
[00:00:43.660 --> 00:00:46.240]  章林期提醒我們
[00:00:46.240 --> 00:00:48.240]  基督第一次降臨的時候
[00:00:48.240 --> 00:00:50.240]  為世界帶來救恩
[00:00:50.240 --> 00:00:52.680]  當基督第二次災臨
[00:00:52.680 --> 00:00:55.720]  就是徹底帶來公義和和平
[00:00:55.720 --> 00:00:58.740]  在世界的痛苦當中
[00:00:58.740 --> 00:01:02.140]  是需要聽到有安慰、有盼望的福音
[00:01:02.140 --> 00:01:05.780]  因為我們所面對的現實
[00:01:05.780 --> 00:01:08.920]  不論是剛才馬牧師報告我們城寨頂
[00:01:08.920 --> 00:01:11.520]  姐妹們參與實際的幫助行動
[00:01:11.520 --> 00:01:14.160]  或者是祈禱支援災民
[00:01:14.160 --> 00:01:19.980]  教會亦都有責任去宣講安慰和盼望的訊息
[00:01:19.980 --> 00:01:25.680]  準備人心去迎接一個再無罪惡和痛苦的新的角度
[00:01:28.380 --> 00:01:30.380]  今日我們讀詩篇七十二篇
[00:01:30.380 --> 00:01:34.200]  樓上廣告
[00:01:34.200 --> 00:01:39.060]  詩篇七十二篇是詩篇卷二最後的一篇聖經
[00:01:39.060 --> 00:01:42.700]  就是第二十節那裏亦都提到
[00:01:42.700 --> 00:01:44.700]  耶穌的兒子大衛的祈禱完畢了
