
[00:00:00.000 --> 00:00:04.800]  剛才李星跟我們讀的那個經文裡面
[00:00:04.800 --> 00:00:08.300]  我們看到那一段的經文可能我們都很熟悉
[00:00:08.300 --> 00:00:14.000]  那段的經文是講到耶穌和門徒要渡船
[00:00:14.000 --> 00:00:18.800]  到一個地方叫做格拉申的這個地方去
[00:00:18.800 --> 00:00:22.000]  所以他們所渡的這個船的時候
[00:00:22.000 --> 00:00:26.500]  他們所處的這個位置就是在加利利湖
[00:00:26.500 --> 00:00:34.000]  可能前弟兄去過嗎?加利利湖?
[00:00:34.000 --> 00:00:38.500]  沒有,你去利比亞的時候沒有去加利利湖
[00:00:38.500 --> 00:00:43.500]  我看一下,我不曉得你們去過以色列的了嗎?
[00:00:43.500 --> 00:00:48.000]  沒有人去過以色列,有,去過加利利湖
[00:00:48.000 --> 00:00:52.000]  以後我們組團要到以色列去好不好?
[00:00:52.000 --> 00:00:54.000]  我們存錢開始存錢了
[00:00:54.000 --> 00:00:59.500]  兩年後我們就一起去以色列一起去那邊聚會
[00:00:59.500 --> 00:01:01.500]  去耶誕,好不好?
[00:01:01.500 --> 00:01:05.000]  好,加利利湖的這個地方的時候是很特別
[00:01:05.000 --> 00:01:07.500]  有時在聖經裡面我們叫做加利利海
[00:01:07.500 --> 00:01:12.500]  可是其實它不是一個海,它是一個很大的湖
[00:01:12.500 --> 00:01:15.000]  這湖它處在的一個地方就是
[00:01:15.000 --> 00:01:20.500]  它在三峽,它是在三峽之間又有峽谷
[00:01:20.500 --> 00:01:28.000]  所以這些峽谷就形成什麼?形成一個強風的一個孔道
[00:01:28.000 --> 00:01:34.500]  所以有時大風一來的時候,它突然,湖本來是很平靜的
[00:01:34.500 --> 00:01:39.500]  可是突然大風一來的時候,它就會強烈吹動這個湖水
[00:01:39.500 --> 00:01:52.500]  所以就變成說,整個的湖面就嗨爛,就變成很危險
[00:01:52.500 --> 00:01:56.500]  所以我們看到,剛才我們讀到的那一段的經文裡面的時候
[00:01:56.500 --> 00:02:00.500]  我們看到說,本來他們一上船,很好的
[00:02:00.500 --> 00:02:05.500]  甚至耶穌一進去的時候就什麼?可以什麼?可以睡覺啊
[00:02:05.500 --> 00:02:08.500]  換句話說,剛開始是很平靜的
[00:02:08.500 --> 00:02:14.500]  可是一下子的時候,我們看到他說,湖上突然起了什麼?暴風
[00:02:14.500 --> 00:02:21.500]  湖上起了暴風,所以突然間,加利利湖有這樣的一個情況
[00:02:21.500 --> 00:02:29.500]  所以,我們看到這一段的經文裡面,只是四節的經文裡面
[00:02:29.500 --> 00:02:36.500]  我們可以看到的,看到的一個畫面當中的時候
[00:02:36.500 --> 00:02:45.500]  我們看到說,只是從乘搭渡船到格拉山的旅程當中的時候
[00:02:45.500 --> 00:02:52.500]  我們看到這成為耶穌,甚至是門徒的人生的一個經歷
[00:02:52.500 --> 00:03:01.500]  今天我們沈億弟兄,他有這樣的一個經歷,剛才他跟我們分享了
[00:03:01.500 --> 00:03:06.500]  我想他完完全全之前都沒有想到有這個經歷的
[00:03:06.500 --> 00:03:11.500]  因為到年紀大的時候,為什麼他有這個經歷
[00:03:11.500 --> 00:03:15.500]  本來我們看到應該是很平靜,是平靜的生活
[00:03:15.500 --> 00:03:18.500]  突然間有這個經歷
[00:03:18.500 --> 00:03:25.500]  所以我相信這個經歷當中,對於我們的沈億弟兄是一個很深刻的印象
[00:03:25.500 --> 00:03:29.500]  對他的家人是一個很深刻的印象
[00:03:29.500 --> 00:03:31.500]  其實在我們的人生中也是的
[00:03:31.500 --> 00:03:33.500]  有時候我們以為這是一盤風順
[00:03:33.500 --> 00:03:38.500]  可是呢,我們在我們人生當中也會經歷到一些的問題
[00:03:38.500 --> 00:03:43.500]  一些的困境,一些的無奈,一些的難過的事情
[00:03:43.500 --> 00:03:50.500]  這些都成為什麼我們人生當中一個深刻的印象
[00:03:50.500 --> 00:04:00.500]  可是當我們繼續看這個渡湖的里程當中的時候,不但是門徒的一個深刻的印象
[00:04:00.500 --> 00:04:11.500]  他也要告訴我們一樣的就是,在經歷當中也要看到我們的信心是否能夠經得起考驗
[00:04:11.500 --> 00:04:19.500]  我相信耶穌很清楚會有這個暴風浪的事情的
[00:04:19.500 --> 00:04:29.500]  可是當門徒來經歷這個事的時候,他也要看看,也要考驗門徒的信心
[00:04:29.500 --> 00:04:35.500]  所以我們看到二十三二十四節之後,我們看到什麼呢?
[00:04:35.500 --> 00:04:38.500]  我們一起來到二十三二十四節
[00:04:38.500 --> 00:05:06.500]  我們看到說,門徒當中有誰?
[00:05:06.500 --> 00:05:11.500]  一定有彼得吧,一定有約翰吧,當中一定有些是漁夫嘛,對不對?
[00:05:11.500 --> 00:05:20.500]  對漁夫來講的時候,在船上航行的時候是很習慣的一件事情
[00:05:20.500 --> 00:05:24.500]  即使是暴風雨的時候,我相信過去他們也有經歷過的
[00:05:24.500 --> 00:05:28.500]  而且他們應該什麼?他們很熟悉水性的
[00:05:28.500 --> 00:05:31.500]  他們應該曉得怎樣去應付這個暴風雨的
[00:05:31.500 --> 00:05:36.500]  我相信他們是打船打漁的人,他們常常會經歷過的
[00:05:36.500 --> 00:05:38.500]  可是我們看到他們的表現是什麼呢?
[00:05:38.500 --> 00:05:43.500]  他們表現是什麼?是很慌張
[00:05:43.500 --> 00:05:54.500]  換句話說,這時候門徒沒有辦法靠自己的知識和經驗來救自己
[00:05:54.500 --> 00:05:57.500]  他們知道,唯有誰能夠幫助他?
[00:05:57.500 --> 00:06:01.500]  他們有時候,耶穌是他唯一的求救的一個人
[00:06:01.500 --> 00:06:04.500]  所以他說夫子,夫子,我們要三命的
[00:06:04.500 --> 00:06:08.500]  他叫耶穌的時候,他是向耶穌求救
[00:06:08.500 --> 00:06:13.500]  他並沒有什麼,不然的話,他應該開始的時候知道有暴風雨的時候
[00:06:13.500 --> 00:06:20.500]  他應該跑去找耶穌說,耶穌,暴風雨要來了,你快點醒來啊,暴風雨要來了
[00:06:20.500 --> 00:06:22.500]  所以他應該是這樣的,而且是他的夫子
[00:06:22.500 --> 00:06:25.500]  可是他不是啊,他是等到暴風雨來了
[00:06:25.500 --> 00:06:30.500]  甚至他水滿了船了,很危急的
[00:06:30.500 --> 00:06:33.500]  這時候他知道沒有辦法了,要去叫耶穌了
[00:06:33.500 --> 00:06:38.500]  夫子,夫子,你來,我們快沒有得活命了
[00:06:38.500 --> 00:06:41.500]  我們快失去性命了
[00:06:41.500 --> 00:06:47.500]  是的,很多的時候我們很有膚淺的一個性心
