
[00:00:00.000 --> 00:00:02.300]  好 我們一起低頭禱告
[00:00:02.300 --> 00:00:06.920]  愛我們的主 我們來到你的面前
[00:00:06.920 --> 00:00:11.780]  我們恭敬服服敬拜 因為你是全能者
[00:00:11.780 --> 00:00:15.620]  你是創造天地萬物的主宰
[00:00:15.620 --> 00:00:22.020]  你是拯救我們從罪惡裡面進入光明國度 愛子的國度裡面
[00:00:22.020 --> 00:00:27.140]  讓我們今天一起敬拜的時候 我們尊主為大
[00:00:27.400 --> 00:00:31.760]  因為你已經向我們顯明 也拯救我們
[00:00:31.760 --> 00:00:36.620]  也是我們經歷到神大能的作為在我們生命中
[00:00:36.620 --> 00:00:42.000]  我們也感謝主使我們眾弟兄姊妹都可以一起聚集
[00:00:42.000 --> 00:00:46.340]  在你的名下我們一起來敬拜你
[00:00:46.340 --> 00:00:50.700]  也讓在座不論是信的還未信的
[00:00:50.700 --> 00:00:55.560]  願作主你自己的大能福音 我們都能得到
[00:00:55.560 --> 00:00:57.100]  那永生
[00:00:58.120 --> 00:01:00.940]  主啊 我們祈求你在教會中
[00:01:00.940 --> 00:01:04.260]  掌權 施行大能
[00:01:04.260 --> 00:01:07.080]  因為我們人不過是僕人
[00:01:07.080 --> 00:01:10.400]  我們在教會中服事
[00:01:10.400 --> 00:01:12.460]  沒有任何一個專權
[00:01:12.460 --> 00:01:14.760]  也沒有任何一個獨裁
[00:01:14.760 --> 00:01:18.600]  乃是我們按照主你的心意
[00:01:18.600 --> 00:01:20.140]  我們在這裡
[00:01:20.140 --> 00:01:22.700]  一起來奔走天路
[00:01:22.960 --> 00:01:27.580]  每個地方的教會他們都是高舉著你自己的聖名
[00:01:27.580 --> 00:01:31.660]  只要我們眾弟兄姊妹可以得到造就
[00:01:31.660 --> 00:01:33.980]  教會對我們就有益處
[00:01:33.980 --> 00:01:36.020]  因為你的眼目
[00:01:36.020 --> 00:01:38.060]  遍查全地
[00:01:38.060 --> 00:01:42.680]  要顯大能給那些心存誠實的人
[00:01:42.680 --> 00:01:46.000]  眾生怎樣圍繞耶路撒冷
[00:01:46.000 --> 00:01:48.820]  耶和華也照樣
[00:01:48.820 --> 00:01:51.380]  圍繞敬畏祂的人
[00:01:51.640 --> 00:01:54.200]  因為你的信誓永不改變
[00:01:54.200 --> 00:01:57.020]  你的誠實存到永遠
[00:01:57.020 --> 00:02:01.120]  這也是我們來到主的面前我們自己的卑微
[00:02:01.120 --> 00:02:03.160]  我們自己的有限
[00:02:03.160 --> 00:02:05.720]  但是在那無限
[00:02:05.720 --> 00:02:09.560]  全能之下我們只有付付的敬拜
[00:02:09.560 --> 00:02:12.120]  感謝禱告奉主耶穌的名
[00:02:12.120 --> 00:02:15.200]  Amen
[00:02:15.200 --> 00:02:21.340]  因為我們也是每一年在這個時候我們也是換
[00:02:21.600 --> 00:02:23.640]  服侍的童宮
[00:02:23.640 --> 00:02:26.720]  所以我在準備的時候
