
[00:00:00.000 --> 00:00:08.520]  好,在《曠野》裏面,上帝開始成就應許
[00:00:08.520 --> 00:00:10.000]  成就甚麼應許呢?
[00:00:10.000 --> 00:00:12.520]  所有的應許都是出於《阿伯拉罕》的
[00:00:12.520 --> 00:00:16.360]  你要記得,這五本書是一本書
[00:00:16.360 --> 00:00:18.120]  創出來紋身
[00:00:18.120 --> 00:00:20.720]  所以,他所說的上帝的應許
[00:00:20.720 --> 00:00:23.880]  其實是《創世紀》裏面的應許
[00:00:23.880 --> 00:00:26.120]  有話對《阿伯蘭說》
[00:00:26.120 --> 00:00:27.480]  《創世紀》十二章第一節
[00:00:27.480 --> 00:00:30.440]  你要離開本地本族附加
[00:00:30.440 --> 00:00:35.480]  往我所要指示的你的地去
[00:00:35.480 --> 00:00:37.960]  我必使你成為大國
[00:00:37.960 --> 00:00:39.920]  我必賜福給你
[00:00:39.920 --> 00:00:41.600]  使你的名為大
[00:00:41.600 --> 00:00:43.920]  你要使別人得福
[00:00:43.920 --> 00:00:48.760]  這是上帝給《阿伯拉罕》的應許
[00:00:48.760 --> 00:00:51.320]  之後還有兩節,一會兒再讀
[00:00:51.320 --> 00:00:53.360]  我想告訴你,在《文素記》裏面
[00:00:53.360 --> 00:00:57.480]  上帝已經開始成就應許
[00:00:57.480 --> 00:00:58.280]  包括甚麼呢?
[00:00:58.280 --> 00:00:59.560]  當他數人的時候
[00:00:59.560 --> 00:01:03.600]  我想你不會有機會計算有多少人
[00:01:03.600 --> 00:01:07.200]  有人數過,兩次的點人
[00:01:07.200 --> 00:01:09.840]  結果男丁二十歲以上
[00:01:09.840 --> 00:01:11.800]  都是六十萬
[00:01:11.800 --> 00:01:13.440]  一次是六十萬三千
[00:01:13.440 --> 00:01:14.760]  第二次是六十萬一千
[00:01:14.760 --> 00:01:15.840]  無論你怎麼計算
[00:01:15.840 --> 00:01:17.560]  都是一個很巨大的數字
[00:01:17.560 --> 00:01:20.640]  甚至現在有很多不信主的人
[00:01:20.640 --> 00:01:21.760]  質疑這個數字
[00:01:21.760 --> 00:01:23.480]  不可能有這麼多人
