
[00:00:00.000 --> 00:00:03.000]  可否請我們同心低頭或同祈禱
[00:00:03.000 --> 00:00:05.000]  天父我們再一次感謝祢
[00:00:05.000 --> 00:00:09.000]  給祢寶貴的話語作為我們生命的指引
[00:00:09.000 --> 00:00:17.000]  求祢藉著祢的話語提醒、勸勉、教導、安慰、督責、改變我們
[00:00:17.000 --> 00:00:20.000]  向我們每一個人說祢所說的話
[00:00:20.000 --> 00:00:22.000]  以致我們踏出這個教堂門口
[00:00:22.000 --> 00:00:24.000]  跟我們已經不同了
[00:00:24.000 --> 00:00:26.000]  因為聖靈已經在我們心裏面
[00:00:26.000 --> 00:00:28.000]  藉著祢的話語動功
[00:00:28.000 --> 00:00:29.000]  改變我們
[00:00:29.000 --> 00:00:31.000]  祈禱奉耶穌基督命求
[00:00:31.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:35.000]  人算甚麼
[00:00:35.000 --> 00:00:38.000]  從來沒有一個西方記者或任何人士
[00:00:38.000 --> 00:00:43.000]  有機會去過蘇聯的西伯利亞集中營探問過
[00:00:43.000 --> 00:00:46.000]  但每一個蘇聯人都知道
[00:00:46.000 --> 00:00:49.000]  你一旦進入西伯利亞的集中營
[00:00:49.000 --> 00:00:55.000]  你能夠出來的機會幾乎是微乎其微
[00:00:55.000 --> 00:01:01.000]  尤其是在史太林這個恐怖的時代
[00:01:01.000 --> 00:01:08.000]  成千上萬的政治犯被拉到獄中受虐待而死
[00:01:08.000 --> 00:01:10.000]  但是偶然之間
[00:01:10.000 --> 00:01:14.000]  從一些能夠從獄中走出來的逃犯
[00:01:14.000 --> 00:01:16.000]  或者一些被釋放的人士
[00:01:16.000 --> 00:01:20.000]  我們略知一些非常感人的故事
[00:01:20.000 --> 00:01:22.000]  開始講聖經的時候
[00:01:22.000 --> 00:01:27.000]  我跟大家講一個叫Boris Konfil醫生的故事
[00:01:27.000 --> 00:01:29.000]  Konfil醫生是一個猶太人
[00:01:29.000 --> 00:01:33.000]  自從他的祖父被沙皇所害之後
[00:01:33.000 --> 00:01:35.000]  就好像他爸爸一樣
[00:01:35.000 --> 00:01:39.000]  是一個徹頭徹底的馬克思主義者
[00:01:39.000 --> 00:01:44.000]  他對所有的信仰已經完全破滅
[00:01:44.000 --> 00:01:45.000]  不知為何
[00:01:45.000 --> 00:01:48.000]  他講了一兩句批評政府的話
[00:01:48.000 --> 00:01:53.000]  就被拉到西伯利亞集中營過著非人的生活
[00:01:53.000 --> 00:01:55.000]  幸好他是一個醫生
[00:01:55.000 --> 00:01:57.000]  在冰天雪地的地方裡面
[00:01:57.000 --> 00:01:59.000]  醫生很稀少
[00:01:59.000 --> 00:02:01.000]  加上他的醫術精明
[00:02:01.000 --> 00:02:03.000]  很多的囚犯有病的時候
[00:02:03.000 --> 00:02:06.000]  或者是那些獄卒有病的時候都要靠他
[00:02:06.000 --> 00:02:08.000]  所以在這麼多的囚犯裡面
[00:02:08.000 --> 00:02:11.000]  他是比較一個接受優待的待遇
[00:02:11.000 --> 00:02:15.000]  但始終他是一個有思想有理想的人
[00:02:15.000 --> 00:02:17.000]  當他看到周圍的人被剝削
[00:02:17.000 --> 00:02:19.000]  被踐踏被殺
[00:02:19.000 --> 00:02:23.000]  人的尊嚴人的價值好像垃圾一樣的時候
[00:02:23.000 --> 00:02:25.000]  他對整個的國家
[00:02:25.000 --> 00:02:27.000]  他對黨
[00:02:27.000 --> 00:02:29.000]  他對這個系統
[00:02:29.000 --> 00:02:35.000]  他對人類已經是失去了他所有的信仰
[00:02:35.000 --> 00:02:39.000]  他不單止被他拉去坐牢
[00:02:39.000 --> 00:02:41.000]  是剝奪了他的自由
[00:02:41.000 --> 00:02:43.000]  剝奪了他的物質的享受
[00:02:43.000 --> 00:02:47.000]  但是剝奪了他最重要的一件事
[00:02:47.000 --> 00:02:49.000]  他做人的價值
[00:02:49.000 --> 00:02:51.000]  他的信仰
[00:02:51.000 --> 00:02:53.000]  對國家對群體的效忠
[00:02:53.000 --> 00:02:57.000]  在監獄裡面他認識了一個知識份子
[00:02:57.000 --> 00:02:59.000]  成為了老友記
[00:02:59.000 --> 00:03:01.000]  後來他發現這個知識份子是一個基督徒
[00:03:01.000 --> 00:03:05.000]  這個基督徒事實上和他談及信仰的問題
[00:03:05.000 --> 00:03:07.000]  他不喜歡聽
