
[00:00:00.000 --> 00:00:05.240]  威廉·巴克利是蘇格蘭的一個神學家
[00:00:05.240 --> 00:00:08.600]  他首先看到主禱文
[00:00:08.600 --> 00:00:14.520]  其實是包括了過去、現在和將來的祈求
[00:00:14.520 --> 00:00:16.880]  我們以前也說過
[00:00:16.880 --> 00:00:20.640]  求神是赦免我們的罪
[00:00:20.640 --> 00:00:26.480]  赦免罪是赦免我們已經過去的罪
[00:00:26.480 --> 00:00:31.880]  也就是赦免現在甚至將來我們會犯的罪
[00:00:31.880 --> 00:00:35.640]  我們也說過賜我們的飲食
[00:00:35.640 --> 00:00:37.520]  我們日用的飲食
[00:00:37.520 --> 00:00:39.280]  今日賜給我們
[00:00:39.280 --> 00:00:41.680]  這個飲食是今天的飲食
[00:00:41.680 --> 00:00:46.480]  我們不去思慮到將來明日的飲食
[00:00:46.480 --> 00:00:49.240]  一天的憂慮一天就夠了
[00:00:49.240 --> 00:00:51.480]  所以是現在
[00:00:51.480 --> 00:00:55.960]  今天要和大家說的是不叫我們遇見試探
[00:00:55.960 --> 00:01:00.040]  這個試探是包括現在的試探
[00:01:00.040 --> 00:01:04.440]  是包括將來的試探
[00:01:04.440 --> 00:01:06.200]  我們也說過
[00:01:06.200 --> 00:01:09.600]  其實主禱文是一個模式
[00:01:09.600 --> 00:01:12.960]  是給我們用來學習如何禱告
[00:01:12.960 --> 00:01:14.920]  是有點像一個清單
[00:01:14.920 --> 00:01:16.880]  好像一個購物清單
[00:01:16.880 --> 00:01:20.640]  提醒我們有甚麼重要的事不要忘記了
[00:01:20.640 --> 00:01:22.040]  當我們禱告的時候
[00:01:22.040 --> 00:01:25.880]  可以跟著主禱文的格式來禱告
[00:01:25.880 --> 00:01:29.920]  前面三個祈求是關於神
[00:01:29.920 --> 00:01:33.000]  願人都尊祢的名為聖
[00:01:33.000 --> 00:01:34.800]  願祢的國降臨
[00:01:34.800 --> 00:01:38.240]  願祢的旨意行在地上
[00:01:38.240 --> 00:01:43.400]  後面三個祈求是關於我們自己
[00:01:43.400 --> 00:01:45.800]  如果你真的去數一數的話
[00:01:45.800 --> 00:01:49.560]  你會發覺為我們自己祈求的時候
[00:01:49.560 --> 00:01:52.800]  有八個我們這麼多
[00:01:52.800 --> 00:01:55.880]  如果你看和合本就看不到八個了
[00:01:55.880 --> 00:01:57.640]  最多看見六個
[00:01:57.640 --> 00:02:00.880]  但如果你看原文的希臘文
[00:02:00.880 --> 00:02:03.000]  或者你看英文的版本
[00:02:03.000 --> 00:02:06.440]  有很多是跟原文跟得很貼切
[00:02:06.440 --> 00:02:10.800]  你是找得到有八個我們在裏面
[00:02:10.800 --> 00:02:15.120]  例如有人問今天的這個祈求
[00:02:15.120 --> 00:02:18.520]  究竟是一個祈求還是兩個祈求
[00:02:18.520 --> 00:02:23.760]  不叫我們遇見試探 救我們脫離凶惡
[00:02:23.760 --> 00:02:27.480]  如果你看原文或者英文的版本
[00:02:27.480 --> 00:02:30.960]  你會看見中間有一個連接詞
[00:02:30.960 --> 00:02:31.720]  英文說
[00:02:31.720 --> 00:02:34.360]  Lead us not into temptation
[00:02:34.360 --> 00:02:36.920]  But deliver us from evil
[00:02:36.920 --> 00:02:39.560]  是有個「不」在中間
[00:02:39.560 --> 00:02:42.000]  有個「但是」有個「不過」
[00:02:42.000 --> 00:02:45.120]  有個是「反而」的連接詞
[00:02:45.120 --> 00:02:48.520]  你看中文版本和和合本就看不到
[00:02:48.520 --> 00:02:52.160]  所以今天的祈求其實是一個祈求
[00:02:52.160 --> 00:02:56.400]  不是兩個祈求
[00:02:56.400 --> 00:02:59.640]  我們看看
[00:02:59.640 --> 00:03:03.040]  這個經文究竟是甚麼解釋
[00:03:03.040 --> 00:03:06.680]  其實這一節的經文並不容易解釋
[00:03:06.680 --> 00:03:09.560]  和合本是譯作「試探」
[00:03:09.560 --> 00:03:13.720]  很多的英文版本都譯作「Temptation」
[00:03:13.720 --> 00:03:17.080]  賜飲食 神賜飲食給我們
[00:03:17.080 --> 00:03:18.840]  神赦免我們的罪
[00:03:18.840 --> 00:03:20.760]  我們覺得理所當然
[00:03:20.760 --> 00:03:23.680]  我們覺得是很合情合理
[00:03:23.680 --> 00:03:28.360]  但是求神不要讓我們遇見試探
[00:03:28.360 --> 00:03:30.560]  我們就覺得很奇怪
[00:03:30.560 --> 00:03:33.040]  因為我們信的這位神是一位
[00:03:33.040 --> 00:03:35.960]  是聖潔公義又愛我們的神
[00:03:35.960 --> 00:03:40.480]  祂怎麼可能讓我們遇見試探
[00:03:40.480 --> 00:03:44.160]  求飲食 求免罪
[00:03:44.160 --> 00:03:47.920]  理所當然 因為神施予的是憐憫
[00:03:47.920 --> 00:03:51.360]  但是求不要讓我們遇見試探
[00:03:51.360 --> 00:03:53.280]  我們就覺得怪怪
