
[00:00:00.000 --> 00:00:01.760]  新的一年開始的時候
[00:00:01.760 --> 00:00:05.040]  我發覺原來十一點半的崇拜
[00:00:05.040 --> 00:00:06.500]  是多一些年輕人的
[00:00:06.500 --> 00:00:09.780]  我不知道你們年輕的人
[00:00:09.780 --> 00:00:12.240]  或者曾經年輕過的人
[00:00:12.240 --> 00:00:13.480]  有沒有想過
[00:00:13.480 --> 00:00:14.420]  你在年輕的時候
[00:00:14.420 --> 00:00:15.580]  每一次新年的時候
[00:00:15.580 --> 00:00:16.680]  就會立願
[00:00:16.680 --> 00:00:18.980]  我有什麼新的願望
[00:00:18.980 --> 00:00:20.980]  很宏觀
[00:00:20.980 --> 00:00:22.980]  但是很快
[00:00:22.980 --> 00:00:24.980]  這些願望就成為泡影了
[00:00:24.980 --> 00:00:26.480]  怎麼好好的親近神會
[00:00:26.480 --> 00:00:27.480]  又好好的靈修
[00:00:27.480 --> 00:00:29.280]  一到農曆年已經沒有了
[00:00:29.280 --> 00:00:30.780]  所以到了某一個年齡
[00:00:30.780 --> 00:00:32.780]  我們不會再去立願了
[00:00:32.780 --> 00:00:34.280]  那有什麼意思呢
[00:00:34.280 --> 00:00:36.280]  但我仍然想跟大家說
[00:00:36.280 --> 00:00:38.780]  原來你的目標是對你有幫助的
[00:00:38.780 --> 00:00:40.280]  我分享一點
[00:00:40.280 --> 00:00:42.780]  現在我經常都說我是萬步人生路
[00:00:42.780 --> 00:00:44.780]  不是鄧麗君那一手
[00:00:44.780 --> 00:00:47.780]  就是很想保持好一點的身體
[00:00:47.780 --> 00:00:49.780]  我叫人安裝了一個APP
[00:00:49.780 --> 00:00:51.280]  那個APP是怎樣呢
[00:00:51.280 --> 00:00:52.780]  是你走每一步路的時候
[00:00:52.780 --> 00:00:54.280]  它都會記住的
[00:00:54.280 --> 00:00:56.280]  所以我帶著電話在這裡
[00:00:56.280 --> 00:00:58.780]  希望每一天都過一萬步
[00:00:58.780 --> 00:01:01.780]  原來當你這樣做的時候
[00:01:01.780 --> 00:01:03.780]  可能有一天你會看到
[00:01:03.780 --> 00:01:05.280]  我今天走得少一點
[00:01:05.280 --> 00:01:06.780]  我明天可能會走多一點
[00:01:06.780 --> 00:01:08.780]  還有可以調教到你的心情
[00:01:08.780 --> 00:01:10.280]  很簡單舉個例子
[00:01:10.280 --> 00:01:12.280]  我真的發覺原來我離開了美人堂了
[00:01:12.280 --> 00:01:14.780]  我三個月沒有回九龍灣廣道
[00:01:14.780 --> 00:01:17.280]  剛剛過去的星期五回九龍灣廣道
[00:01:17.280 --> 00:01:19.280]  他們已經幫我收拾好所有的東西
[00:01:19.280 --> 00:01:20.780]  跟我說牧師這些是你的東西
[00:01:20.780 --> 00:01:22.280]  你今晚拿走吧
[00:01:22.280 --> 00:01:24.280]  因為我們的Tray已經滿了
[00:01:24.280 --> 00:01:25.280]  東西不夠了
[00:01:25.280 --> 00:01:26.280]  你拿走吧
[00:01:26.280 --> 00:01:28.280]  兩袋東西給我拿走
[00:01:28.280 --> 00:01:31.280]  那天剛剛有個婆婆多了一個孫子
[00:01:31.280 --> 00:01:32.780]  又給了一些薑醋給我
[00:01:32.780 --> 00:01:34.780]  總之前後有四袋東西
[00:01:34.780 --> 00:01:37.780]  於是我們就從九龍灣一直回大埔
[00:01:37.780 --> 00:01:40.780]  我在寶香橋那裡坐Van
[00:01:40.780 --> 00:01:43.780]  應該就在我們大安縣有一個小巴站
[00:01:43.780 --> 00:01:45.780]  為什麼前面有幾輛車頂著呢
[00:01:45.780 --> 00:01:48.280]  它很快就開門叫我下車了
[00:01:48.280 --> 00:01:49.780]  我只要走遠了
[00:01:49.780 --> 00:01:51.780]  平時我就會遷就了
[00:01:51.780 --> 00:01:52.780]  怎麼搞的
[00:01:52.780 --> 00:01:53.780]  都不是在那個站下車
[00:01:53.780 --> 00:01:54.780]  還著這麼多東西
[00:01:54.780 --> 00:01:56.780]  但是因為我有萬步人生路
[00:01:56.780 --> 00:01:58.780]  我要過一萬步
