
[00:00:00.000 --> 00:00:02.000]  今日嘅題目
[00:00:02.000 --> 00:00:06.000]  係嚟自燕京大學嘅校訓
[00:00:06.000 --> 00:00:09.000]  最後一個燕京嘅校徽
[00:00:09.000 --> 00:00:12.000]  北京大學最靚嘅校園
[00:00:12.000 --> 00:00:13.000]  係燕京大學
[00:00:13.000 --> 00:00:18.000]  因真理得自由以服務
[00:00:18.000 --> 00:00:22.000]  呢段嘅經文
[00:00:22.000 --> 00:00:25.000]  亦都嚟自我哋今日嘅經課
[00:00:25.000 --> 00:00:26.000]  最後一段
[00:00:26.000 --> 00:00:29.000]  我哋崇拜
[00:00:29.000 --> 00:00:31.000]  每個禮拜
[00:00:31.000 --> 00:00:32.000]  係讀出經課
[00:00:32.000 --> 00:00:36.000]  我哋稱佢為三代嘅經題
[00:00:36.000 --> 00:00:38.000]  即係三年一個循環
[00:00:38.000 --> 00:00:40.000]  讀完三卷
[00:00:40.000 --> 00:00:42.000]  重點唔同嘅符類復音
[00:00:42.000 --> 00:00:45.000]  譬如馬太強調耶穌係教師
[00:00:45.000 --> 00:00:48.000]  先講先講嘅道理
[00:00:48.000 --> 00:00:50.000]  馬可係指出
[00:00:50.000 --> 00:00:53.000]  耶穌嘅權能驅魔醫病
[00:00:53.000 --> 00:00:55.000]  服侍有需要嘅人
[00:00:55.000 --> 00:00:58.000]  路加顯明耶穌嘅憐憫
[00:00:59.000 --> 00:01:01.000]  關心貧窮嘅人
[00:01:01.000 --> 00:01:03.000]  同埋弱勢嘅群體
[00:01:03.000 --> 00:01:06.000]  今年係馬可年
[00:01:06.000 --> 00:01:10.000]  馬可孕孫係偏福最少嘅
[00:01:10.000 --> 00:01:12.000]  二十三月
[00:01:12.000 --> 00:01:13.000]  路加四十月
[00:01:13.000 --> 00:01:14.000]  馬太三十七月
[00:01:14.000 --> 00:01:16.000]  約翰二十九月
[00:01:16.000 --> 00:01:17.000]  係最少嘅
[00:01:17.000 --> 00:01:21.000]  佢語句好濃縮嘅
[00:01:21.000 --> 00:01:23.000]  但係佢好鮮活嘅
[00:01:23.000 --> 00:01:24.000]  一點短一句
[00:01:24.000 --> 00:01:26.000]  有好多嘅行動嘅
[00:01:27.000 --> 00:01:30.000]  同埋佢鋪排有序
[00:01:30.000 --> 00:01:32.000]  有設計嘅
[00:01:32.000 --> 00:01:34.000]  譬如作者馬可
[00:01:34.000 --> 00:01:37.000]  係有意喺第八九十
[00:01:37.000 --> 00:01:38.000]  呢三章呢
[00:01:38.000 --> 00:01:41.000]  三次嚟到提及
[00:01:41.000 --> 00:01:44.000]  耶穌對門徒嘅預兆
[00:01:44.000 --> 00:01:47.000]  佢以信任路撒冷
[00:01:47.000 --> 00:01:48.000]  以民事長老
[00:01:48.000 --> 00:01:50.000]  祭司長氣絕
