
[00:00:00.000 --> 00:00:02.120]  當神呼召摩西的時候
[00:00:02.120 --> 00:00:05.180]  摩西是一個逃亡海外的殺人犯
[00:00:05.180 --> 00:00:09.980]  那時候 他說我怎麼可以去見法祿呢
[00:00:09.980 --> 00:00:12.200]  神就說我與你同在
[00:00:12.200 --> 00:00:15.000]  當約書要承擔這個責任
[00:00:15.000 --> 00:00:17.540]  繼續帶領以色列人進入埃及的時候
[00:00:17.540 --> 00:00:21.440]  上次說到我們千萬不要衰修眉
[00:00:21.440 --> 00:00:24.520]  其實記住 神對每一個熟悉的人
[00:00:24.520 --> 00:00:26.280]  都有一個很獨特的心意
[00:00:26.280 --> 00:00:28.280]  給他們有使命
[00:00:28.280 --> 00:00:31.900]  希望他們能夠達成神的心願
[00:00:31.900 --> 00:00:34.480]  有不少人都很清楚神的呼召
[00:00:34.480 --> 00:00:36.760]  也都回應神的呼召
[00:00:36.760 --> 00:00:39.680]  但是是不是一生可以堅持
[00:00:39.680 --> 00:00:43.360]  是不是一生的能夠去忠於神呢
[00:00:43.360 --> 00:00:45.600]  確實是有時候成為疑問的
[00:00:45.600 --> 00:00:49.860]  有些人可能在信仰的路上退了下來
[00:00:49.860 --> 00:00:54.200]  同樣有些牧者在侍奉的路上都退了下來
[00:00:54.200 --> 00:00:57.940]  甚至很可悲地 有些人會放棄他們的信仰
[00:00:57.940 --> 00:01:02.300]  我第一個學位是見到神學院畢業的
[00:01:02.300 --> 00:01:06.100]  我也都會有那些代討信的
[00:01:06.100 --> 00:01:09.500]  有時候會收回 譬如哪一班的同學
[00:01:09.500 --> 00:01:12.500]  他們有些什麼 會列出這些資料出來
[00:01:12.500 --> 00:01:14.380]  有時候都見到有些人已經
[00:01:14.380 --> 00:01:18.420]  不再是在目的裡面 有些感慨的
[00:01:18.420 --> 00:01:21.760]  這個時候我自己很深的體會到
[00:01:21.760 --> 00:01:23.960]  其實當我們每一個基督徒
[00:01:23.960 --> 00:01:25.700]  我們走上這條路的時候
[00:01:25.700 --> 00:01:30.040]  記住不只是傳道人 這條路不容易走的
[00:01:30.040 --> 00:01:32.280]  耶穌說這是十字架的道路
[00:01:32.280 --> 00:01:33.840]  主耶穌呼召我們的時候
