
[00:00:00.000 --> 00:00:01.600]  各位領主,主要是平安
[00:00:01.600 --> 00:00:05.160]  今天我們的講題是「真知灼見」
[00:00:05.160 --> 00:00:09.320]  其實在疫情這兩年多裡面
[00:00:09.320 --> 00:00:11.520]  我想我們的日常生活
[00:00:11.520 --> 00:00:15.880]  甚至我們的經濟都深深地受影響
[00:00:15.880 --> 00:00:19.920]  我相信應該是整個世界都受影響的
[00:00:19.920 --> 00:00:22.760]  不單止只是你,不單止只是我
[00:00:22.760 --> 00:00:25.880]  整個世界都在疫情的困擾當中
[00:00:25.880 --> 00:00:28.680]  不過可能香港有些不同
[00:00:29.200 --> 00:00:31.200]  因為香港的地方比較小
[00:00:31.200 --> 00:00:34.000]  所以我們因為這樣的緣故
[00:00:34.000 --> 00:00:39.400]  導致很多家庭的衝突和家庭的矛盾更加日益嚴重
[00:00:39.400 --> 00:00:41.600]  所以近日有一些的調查
[00:00:41.600 --> 00:00:42.840]  它告訴我們
[00:00:42.840 --> 00:00:48.320]  當然這個調查只是對一些家裡有小朋友的家長做的調查
[00:00:48.320 --> 00:00:53.280]  那個調查說有半數的家長已經有抑鬱的徵狀
[00:00:53.280 --> 00:00:55.880]  而其中有兩成四
[00:00:55.880 --> 00:00:57.120]  即是四分一
[00:00:57.520 --> 00:01:00.640]  幾乎有中度至嚴重的抑鬱
[00:01:00.640 --> 00:01:04.920]  你可不可以想像這個比率呢?
[00:01:04.920 --> 00:01:11.000]  然後有54%的家庭是抗疫能力相對低
[00:01:11.000 --> 00:01:17.440]  它的寬裕41%的程度,它的融洽度又低了
[00:01:17.440 --> 00:01:18.760]  所以其實
[00:01:18.760 --> 00:01:20.640]  我想這個調查告訴我們
[00:01:20.640 --> 00:01:23.360]  我們香港有小朋友的家庭
[00:01:23.360 --> 00:01:25.760]  真是陷在一個水深火熱裡面
[00:01:26.760 --> 00:01:29.680]  其實不止有小朋友的家庭
[00:01:29.680 --> 00:01:33.640]  我相信你和我經歷了兩年多的抗疫
[00:01:33.640 --> 00:01:36.440]  事實上抗疫疲勞這個字
[00:01:36.440 --> 00:01:39.840]  都時常提在我們的日常生活裡面
[00:01:39.840 --> 00:01:41.880]  其實都不止疲勞
[00:01:41.880 --> 00:01:45.040]  可能是抗疫衰弱來的
[00:01:45.040 --> 00:01:47.760]  甚至都可能不止衰弱
[00:01:47.760 --> 00:01:52.080]  甚至心靈也有些接近崩潰的邊緣
[00:01:52.080 --> 00:01:55.680]  所以我們人際關係也好
[00:01:55.920 --> 00:01:58.640]  我們自己心靈的需要也好
[00:01:58.640 --> 00:02:01.200]  其實我們都需要重新得力
[00:02:01.200 --> 00:02:05.680]  我們都需要學會如何面對我們自己的情緒
[00:02:05.680 --> 00:02:07.600]  如何面對我們的沮喪
[00:02:07.600 --> 00:02:09.840]  如何面對我們的困擾
[00:02:09.840 --> 00:02:13.920]  所以今天我們希望透過這段寶樂的經文
[00:02:13.920 --> 00:02:16.960]  幫助我們能夠重新得力
[00:02:16.960 --> 00:02:22.240]  其實今天菲律賓書已經不是第一次講了
