
[00:00:00.000 --> 00:00:01.680]  今天很想和大家分享這段經文
[00:00:01.680 --> 00:00:04.320]  帖撒羅尼加前書第二章一至十二節
[00:00:04.320 --> 00:00:07.840]  我們會分享宗主託付這個主題
[00:00:07.840 --> 00:00:10.080]  我們一起讀這段經文
[00:00:10.080 --> 00:00:14.320]  帖撒羅尼加前書二章一至十二節
[00:00:14.320 --> 00:00:20.040]  「頂門你們自己原曉得我們進到你們那裡
[00:00:20.040 --> 00:00:21.600]  並不是徒然的
[00:00:21.600 --> 00:00:25.200]  我們從前在菲律賓被害受辱
[00:00:25.200 --> 00:00:27.000]  這是你們知道的
[00:00:27.640 --> 00:00:31.280]  然而還是靠我們的神放開膽量
[00:00:31.280 --> 00:00:35.120]  在大爭戰中把神的福音傳給你們
[00:00:35.120 --> 00:00:38.360]  我們的怨念不是出於錯誤
[00:00:38.360 --> 00:00:40.000]  不是出於污穢
[00:00:40.000 --> 00:00:41.880]  也不是出於詭詐
[00:00:41.880 --> 00:00:44.560]  但神既然驗中了我們
[00:00:44.560 --> 00:00:46.520]  把福音託付我們
[00:00:46.520 --> 00:00:48.040]  我們就照樣說
[00:00:48.040 --> 00:00:50.000]  不是要討人喜歡
[00:00:50.000 --> 00:00:53.880]  乃是要討那察驗我們心的神喜歡
[00:00:53.880 --> 00:00:57.320]  因為我們從來沒有用過慈悲的話
[00:00:57.320 --> 00:00:58.760]  這是你們知道的
[00:00:58.760 --> 00:01:01.000]  也沒有藏著貪心
[00:01:01.000 --> 00:01:03.640]  這是神可以作見證的
[00:01:03.640 --> 00:01:07.320]  我們作基督的使徒雖然可以叫人尊重
[00:01:07.320 --> 00:01:10.680]  卻沒有向你們或向別人求榮耀
[00:01:10.680 --> 00:01:13.880]  只在你們中間存心溫柔
[00:01:13.880 --> 00:01:16.760]  如同母親養自己的孩子
[00:01:16.760 --> 00:01:18.880]  我們既是這樣愛你們
[00:01:18.880 --> 00:01:21.520]  不但願意將神的福音給你們
[00:01:21.520 --> 00:01:24.160]  連自己的性命也願意給你們
