
[00:00:00.000 --> 00:00:06.200]  我哋今日呢係嚟到去講我哋嘅呢個興奮嘅旅程嘅
[00:00:06.200 --> 00:00:08.800]  第五講 1 2 3 4 5 第五講
[00:00:08.800 --> 00:00:11.800]  就常喜樂嘅秘訣
[00:00:11.800 --> 00:00:18.200]  常喜樂嘅秘訣
[00:00:18.200 --> 00:00:24.000]  你冇發覺呢而家即係人呢唔係幾開心㗎
[00:00:24.000 --> 00:00:26.200]  即係好多Anger喺裏面
[00:00:26.200 --> 00:00:27.800]  即係好多嬲怒呀
[00:00:27.800 --> 00:00:31.000]  咁大家睇電視呀睇新聞都知道呢
[00:00:31.000 --> 00:00:32.400]  即係你小心啲呀
[00:00:32.400 --> 00:00:35.400]  因為你好多人呢即係好好嬲怒呀
[00:00:35.400 --> 00:00:39.800]  無論你每日開車返工呀返到公司呀咁樣呢
[00:00:39.800 --> 00:00:43.000]  你發覺好多人呢都好懵整㗎
[00:00:43.000 --> 00:00:45.600]  即係嗰度氣好犀利㗎
[00:00:45.600 --> 00:00:49.600]  即係呀我琴日聽一個牧師講到
[00:00:49.600 --> 00:00:52.200]  佢話呢呢個世界有兩種人喎
[00:00:52.200 --> 00:00:55.800]  邊兩種人呢一種人一入到嚟間房呢就Brighten up
[00:00:55.800 --> 00:00:58.400]  成間房嘅人好Cheer up好開心嘅
[00:00:58.400 --> 00:01:00.600]  一種人呢就係佢離開間房之後呢
[00:01:00.600 --> 00:01:02.400]  間房先Cheer up嘅
[00:01:02.400 --> 00:01:04.800]  我唔知你係邊種人呀
[00:01:04.800 --> 00:01:07.800]  我哋呢究竟係一個係好快樂嘅人啦
[00:01:07.800 --> 00:01:12.200]  然後快樂一個Contagious係傳染畀人哋嘅
[00:01:12.200 --> 00:01:15.400]  你唔開心亦都可以傳染畀人哋
[00:01:15.400 --> 00:01:17.200]  究竟我哋快唔快樂呢
[00:01:17.200 --> 00:01:18.400]  我哋開唔開心呢
[00:01:18.400 --> 00:01:21.600]  其實每一個人都追求快樂追求開心
[00:01:21.600 --> 00:01:25.200]  不過呢對快樂嘅定義呢有少少唔一樣
[00:01:25.200 --> 00:01:27.800]  咁我上個禮拜我仔有個Banquet
[00:01:27.800 --> 00:01:31.000]  即係佢嘅結婚Banquet
[00:01:31.000 --> 00:01:35.400]  咁佢就娶咗個上海媳婦
[00:01:35.400 --> 00:01:37.200]  咁我仔琴日幫我講
[00:01:37.200 --> 00:01:41.000]  佢話我去到嗰度接我新娘嘅時候呢
