
[00:00:00.000 --> 00:00:03.800]  今天我們要講的是《以塞雅書》
[00:00:03.800 --> 00:00:07.320]  《以塞雅書》是一本非常偉大的鉅著
[00:00:07.320 --> 00:00:11.200]  總共有66章的聖經
[00:00:11.200 --> 00:00:14.480]  如果我要用一句說話或者幾個字
[00:00:14.480 --> 00:00:17.400]  去總結這麼偉大的書卷
[00:00:17.400 --> 00:00:18.680]  我會怎樣說呢?
[00:00:18.680 --> 00:00:21.440]  我用三個字叫做《雙城記》
[00:00:21.440 --> 00:00:24.680]  《以塞雅書》是關於《雙城記》
[00:00:24.680 --> 00:00:28.520]  《以塞雅書》所講的是兩個耶路撒冷的故事
[00:00:28.520 --> 00:00:32.400]  《以塞雅書》講的是一個除舊迎新的旅程
[00:00:32.400 --> 00:00:38.200]  從一箇舊的耶路撒冷進入一個新的耶路撒冷
[00:00:38.200 --> 00:00:39.520]  聖約學者告訴我們
[00:00:39.520 --> 00:00:43.800]  《以塞雅書》可以分爲三個主要的部分
[00:00:43.800 --> 00:00:45.520]  第一章至三十九章
[00:00:45.520 --> 00:00:47.760]  第四十章至五十章
[00:00:47.760 --> 00:00:51.800]  還有第五十六章至六十六章
[00:00:51.800 --> 00:00:53.160]  在第一部分裏面
[00:00:53.160 --> 00:00:58.600]  以塞雅寓言的對象是當時猶大的耶城
[00:00:58.600 --> 00:01:04.240]  是以塞雅自己活在的時代
[00:01:04.240 --> 00:01:09.880]  而寓言的主題就是這個拜偶像的耶城
[00:01:09.880 --> 00:01:13.000]  它將要被撈去巴比倫
[00:01:13.000 --> 00:01:14.600]  你們將要亡國
[00:01:14.600 --> 00:01:16.360]  上帝將要審判你
[00:01:16.360 --> 00:01:18.560]  這是第一部分的主題
[00:01:18.560 --> 00:01:23.680]  第二部分的寓言對象是上帝已經被撈的子民
[00:01:23.680 --> 00:01:26.280]  其實講到這羣被撈的子民的時候
[00:01:26.280 --> 00:01:28.280]  以塞雅自己已經死了
[00:01:28.280 --> 00:01:30.800]  死了可能已經百年了
[00:01:30.800 --> 00:01:34.200]  但是她很早就寓言上帝的子民會被撈
[00:01:34.200 --> 00:01:38.600]  然後她再向這羣被撈的子民去寓言
[00:01:38.600 --> 00:01:41.960]  說他們有一天會迴歸
[00:01:41.960 --> 00:01:47.160]  上帝會帶他們回到以往的耶路撒冷
[00:01:47.160 --> 00:01:49.160]  第三部分更加遠
[00:01:49.160 --> 00:01:53.280]  這個寓言的對象是講到
[00:01:53.280 --> 00:01:57.720]  以色人已經迴歸到耶路撒冷
[00:01:57.720 --> 00:02:03.360]  距離以塞雅自己的時間可能是一百五十年至二百年那麼遠的時候
